dep(sent-2, Congress-1)
prep(strikes-8, by-9)
pobj(by-9, miners-10)
punct(miners-10, ,-11)
nn(workers-13, Boeing-12)
dep(miners-10, workers-13)
punct(miners-10, ,-14)
nn(workers-16, telephone-15)
appos(miners-10, workers-16)
punct(miners-10, ,-17)
dep(miners-10, etc.-18)
punct(strikes-8, ---19)
mark(resisted-29, that-20)
det(attack-22, this-21)
nsubjpass(resisted-29, attack-22)
prep(attack-22, on-23)
dep(on-23, wages-24)
aux(resisted-29, is-25)
auxpass(resisted-29, being-26)
advmod(fiercely-28, more-27)
advmod(resisted-29, fiercely-28)
dep(signs-4, resisted-29)
punct(are-3, .-30)

dep(readings-5, These-1)
cop(readings-5, are-2)
amod(readings-5, long-term-3)
nn(readings-5, Richter-4)
root(ROOT-0, readings-5)
prep(readings-5, on-6)
amod(capitalism-8, American-7)
pobj(on-6, capitalism-8)
punct(readings-5, .-9)

det(structure-3, The-1)
amod(structure-3, whole-2)
nsubj(shaky-6, structure-3)
cop(shaky-6, is-4)
advmod(shaky-6, extremely-5)
root(ROOT-0, shaky-6)
punct(shaky-6, .-7)

dep(become-3, Governments-1)
aux(become-3, have-2)
root(ROOT-0, become-3)
dep(become-3, sophisticated-4)
prep(become-3, in-5)
pcomp(in-5, handling-6)
dobj(handling-6, moments-7)
prep(moments-7, of-8)
pobj(of-8, panic-9)
punct(word-12, -LRB--10)
det(word-12, a-11)
dep(panic-9, word-12)
det(Times-15, the-13)
nn(Times-15, London-14)
nsubj(forbade-16, Times-15)
rcmod(word-12, forbade-16)
poss(father-18, my-17)
dobj(forbade-16, father-18)
aux(use-20, to-19)
xcomp(forbade-16, use-20)
advmod(reporting-24, when-21)
dep(reporting-24, he-22)
aux(reporting-24, was-23)
ccomp(forbade-16, reporting-24)
det(crash-28, the-25)
nn(crash-28, Wall-26)
nn(crash-28, Street-27)
dobj(reporting-24, crash-28)
prep(reporting-24, in-29)
dep(in-29, 1929-30)
punct(word-12, -RRB--31)
punct(become-3, .-32)

cc(has-3, But-1)
dep(has-3, sophistication-2)
root(ROOT-0, has-3)
poss(limits-5, its-4)
dobj(has-3, limits-5)
punct(has-3, .-6)

det(bailout-3, The-1)
nn(bailout-3, S&L-2)
nsubj(cost-5, bailout-3)
aux(cost-5, could-4)
root(ROOT-0, cost-5)
dobj(cost-5, $-6)
number(billion-8, 300-7)
num($-6, billion-8)
punct(cost-5, ,-9)
vmod(cost-5, computing-10)
dobj(computing-10, interest-11)
prep(interest-11, on-12)
det(government-14, the-13)
poss(loans-16, government-14)
possessive(government-14, 's-15)
pobj(on-12, loans-16)
punct(cost-5, .-17)

dep(costs-4, These-1)
cop(costs-4, are-2)
amod(costs-4, real-3)
root(ROOT-0, costs-4)
punct(costs-4, .-5)

prep(totter-10, Under-1)
det(weights-3, what-2)
pobj(Under-1, weights-3)
aux(totter-10, will-4)
det(Corporation-9, the-5)
nn(Corporation-9, Federal-6)
nn(Corporation-9, Deposit-7)
nn(Corporation-9, Insurance-8)
nsubj(totter-10, Corporation-9)
root(ROOT-0, totter-10)
punct(totter-10, ?-11)

dep(engineered-5, Capitalism-1)
aux(engineered-5, may-2)
advmod(engineered-5, now-3)
auxpass(engineered-5, be-4)
root(ROOT-0, engineered-5)
aux(withstand-7, to-6)
xcomp(engineered-5, withstand-7)
amod(shocks-9, sudden-8)
dobj(withstand-7, shocks-9)
punct(engineered-5, ,-10)
cc(engineered-5, but-11)
dep(are-13, there-12)
conj(engineered-5, are-13)
nn(lines-15, fault-14)
dep(are-13, lines-15)
punct(crisis-18, ---16)
det(crisis-18, the-17)
dep(lines-15, crisis-18)
prep(crisis-18, in-19)
dep(in-19, profits-20)
punct(crisis-18, ,-21)
det(assault-23, the-22)
appos(crisis-18, assault-23)
prep(assault-23, on-24)
dep(on-24, wages-25)
punct(crisis-18, ,-26)
det(inequity-29, the-27)
amod(inequity-29, structural-28)
appos(crisis-18, inequity-29)
prep(inequity-29, of-30)
det(system-32, the-31)
pobj(of-30, system-32)
punct(crisis-18, ---33)
dep(make-35, that-34)
dep(lines-15, make-35)
dep(make-35, fools-36)
prep(make-35, of-37)
pobj(of-37, those-38)
dep(claim-40, who-39)
dep(those-38, claim-40)
mark(is-44, that-41)
det(future-43, the-42)
nsubj(is-44, future-43)
ccomp(claim-40, is-44)
advmod(is-44, here-45)
cc(is-44, and-46)
mark(is-49, that-47)
dep(is-49, history-48)
conj(is-44, is-49)
advmod(is-49, over-50)
punct(engineered-5, .-51)

nn(Cockburn-2, Mr.-1)
nsubj(columnist-5, Cockburn-2)
cop(columnist-5, is-3)
det(columnist-5, a-4)
root(ROOT-0, columnist-5)
prep(columnist-5, for-6)
det(Nation-8, The-7)
pobj(for-6, Nation-8)
cc(Nation-8, and-9)
nn(Weekly-11, LA-10)
conj(Nation-8, Weekly-11)
punct(columnist-5, .-12)

nn(Lines-3, Japan-1)
nn(Lines-3, Air-2)
nsubj(plan-12, Lines-3)
punct(Lines-3, ,-4)
nn(Airlines-7, Lufthansa-5)
nn(Airlines-7, German-6)
conj(Lines-3, Airlines-7)
cc(Lines-3, and-8)
nn(France-10, Air-9)
conj(Lines-3, France-10)
advmod(plan-12, reportedly-11)
root(ROOT-0, plan-12)
aux(form-14, to-13)
xcomp(plan-12, form-14)
det(company-18, an-15)
amod(company-18, international-16)
nn(company-18, air-freight-17)
dobj(form-14, company-18)
det(year-20, this-19)
tmod(form-14, year-20)
punct(plan-12, ,-21)
det(move-23, a-22)
dobj(plan-12, move-23)
dep(consolidate-27, that-24)
aux(consolidate-27, could-25)
advmod(consolidate-27, further-26)
dep(move-23, consolidate-27)
det(industry-29, the-28)
dobj(consolidate-27, industry-29)
punct(plan-12, .-30)

amod(Shimbun-5, Japanese-1)
nn(Shimbun-5, newspaper-2)
nn(Shimbun-5, Nihon-3)
nn(Shimbun-5, Keizai-4)
nsubj(reported-6, Shimbun-5)
root(ROOT-0, reported-6)
mark(plan-11, that-7)
det(giants-10, the-8)
num(giants-10, three-9)
nsubj(plan-11, giants-10)
ccomp(reported-6, plan-11)
aux(integrate-13, to-12)
xcomp(plan-11, integrate-13)
poss(computers-16, their-14)
nn(computers-16, cargo-15)
dobj(integrate-13, computers-16)
cc(computers-16, and-17)
amod(systems-21, ground-cargo-18)
cc(ground-cargo-18, and-19)
conj(ground-cargo-18, air-cargo-20)
conj(computers-16, systems-21)
punct(reported-6, .-22)

dep(invest-4, They-1)
advmod(invest-4, reportedly-2)
aux(invest-4, will-3)
root(ROOT-0, invest-4)
det(total-6, a-5)
dobj(invest-4, total-6)
prep(total-6, of-7)
number(billion-9, 20-8)
num(yen-10, billion-9)
pobj(of-7, yen-10)
punct($-12, -LRB--11)
dep(yen-10, $-12)
number(million-14, 140-13)
num($-12, million-14)
punct($-12, -RRB--15)
prep(invest-4, in-16)
det(venture-18, the-17)
pobj(in-16, venture-18)
punct(venture-18, ,-19)
poss(headquarters-21, whose-20)
nsubj(be-23, headquarters-21)
aux(be-23, would-22)
rcmod(venture-18, be-23)
prep(be-23, in-24)
pobj(in-24, France-25)
cc(France-25, or-26)
nn(Germany-28, West-27)
conj(France-25, Germany-28)
punct(invest-4, .-29)

det(action-2, The-1)
nsubj(follows-3, action-2)
root(ROOT-0, follows-3)
nn(Corp.-6, Federal-4)
nn(Corp.-6, Express-5)
poss(acquisition-8, Corp.-6)
possessive(Corp.-6, 's-7)
dobj(follows-3, acquisition-8)
prep(acquisition-8, of-9)
nn(Inc.-13, Flying-10)
nn(Inc.-13, Tiger-11)
nn(Inc.-13, Line-12)
pobj(of-9, Inc.-13)
prep(acquisition-8, in-14)
dep(in-14, August-15)
punct(follows-3, .-16)

prep(make-7, After-1)
dep(After-1, that-2)
punct(make-7, ,-3)
punct(make-7, ``-4)
nsubj(make-7, it-5)
aux(make-7, would-6)
dep(said-19, make-7)
dep(make-7, sense-8)
mark(talk-12, for-9)
dep(talk-12, airlines-10)
aux(talk-12, to-11)
advcl(make-7, talk-12)
prep(talk-12, about-13)
pcomp(about-13, doing-14)
dep(doing-14, things-15)
advmod(doing-14, jointly-16)
punct(make-7, ,-17)
punct(make-7, ''-18)
root(ROOT-0, said-19)
nn(Daly-21, Cotton-20)
nsubj(said-19, Daly-21)
punct(Daly-21, ,-22)
appos(Daly-21, director-23)
prep(director-23, of-24)
nn(services-26, cargo-25)
pobj(of-24, services-26)
prep(director-23, for-27)
nn(Inc-37, New-28)
nn(Inc-37, York-29)
nn(Inc-37, consulting-30)
nn(Inc-37, firm-31)
nn(Inc-37, Simat-32)
punct(Simat-32, ,-33)
conj(Simat-32, Helliesen-34)
cc(Simat-32, &-35)
conj(Simat-32, Eichner-36)
pobj(for-27, Inc-37)
punct(said-19, .-38)

nn(Daly-2, Mr.-1)
nsubj(said-3, Daly-2)
root(ROOT-0, said-3)
amod(discussions-5, such-4)
nsubjpass(motivated-7, discussions-5)
auxpass(motivated-7, are-6)
ccomp(said-3, motivated-7)
prep(motivated-7, by-8)
det(threat-11, the-9)
amod(threat-11, competitive-10)
pobj(by-8, threat-11)
vmod(threat-11, posed-12)
prep(posed-12, by-13)
nn(Express-15, Federal-14)
pobj(by-13, Express-15)
punct(Express-15, ,-16)
nn(Service-19, United-17)
nn(Service-19, Parcel-18)
conj(Express-15, Service-19)
prep(Service-19, of-20)
nn(Inc.-22, America-21)
pobj(of-20, Inc.-22)
cc(Express-15, and-23)
amod(companies-27, other-24)
amod(companies-27, fast-growing-25)
nn(companies-27, air-freight-26)
conj(Express-15, companies-27)
punct(said-3, .-28)

amod(airlines-2, Many-1)
nsubj(talking-4, airlines-2)
aux(talking-4, are-3)
root(ROOT-0, talking-4)
prep(talking-4, about-5)
nn(ventures-7, cargo-6)
pobj(about-5, ventures-7)
punct(talking-4, ,-8)
cc(talking-4, and-9)
dep(rumors-13, there-10)
aux(rumors-13, have-11)
cop(rumors-13, been-12)
conj(talking-4, rumors-13)
prep(rumors-13, about-14)
amod(tie-17, such-15)
det(tie-17, a-16)
pobj(about-14, tie-17)
prep(tie-17, between-18)
pobj(between-18, JAL-19)
cc(JAL-19, and-20)
amod(airlines-22, European-21)
conj(JAL-19, airlines-22)
punct(talking-4, .-23)

prep(said-7, In-1)
dep(In-1, Tokyo-2)
punct(said-7, ,-3)
det(spokesman-6, a-4)
nn(spokesman-6, JAL-5)
nsubj(said-7, spokesman-6)
root(ROOT-0, said-7)
dep(confirm-11, he-8)
aux(confirm-11, could-9)
neg(confirm-11, n't-10)
ccomp(said-7, confirm-11)
cc(confirm-11, or-12)
conj(confirm-11, deny-13)
det(report-17, the-14)
amod(report-17, latest-15)
amod(report-17, Japanese-16)
dobj(confirm-11, report-17)
punct(said-7, .-18)

cc(said-3, But-1)
dep(said-3, he-2)
root(ROOT-0, said-3)
dep(talking-6, JAL-4)
aux(talking-6, is-5)
ccomp(said-3, talking-6)
prep(talking-6, to-7)
pobj(to-7, Lufthansa-8)
cc(Lufthansa-8, and-9)
nn(France-11, Air-10)
conj(Lufthansa-8, France-11)
prep(talking-6, about-12)
det(sort-14, some-13)
pobj(about-12, sort-14)
prep(sort-14, of-15)
nn(venture-17, cargo-16)
pobj(of-15, venture-17)
punct(said-3, .-18)

punct(said-39, ``-1)
dep(one-5, It-2)
cop(one-5, is-3)
advmod(one-5, just-4)
ccomp(said-39, one-5)
prep(one-5, of-6)
det(number-8, a-7)
pobj(of-6, number-8)
prep(number-8, of-9)
pobj(of-9, strategies-10)
dep(embarked-13, JAL-11)
aux(embarked-13, has-12)
ccomp(strategies-10, embarked-13)
prep(embarked-13, upon-14)
aux(come-16, to-15)
xcomp(embarked-13, come-16)
prep(come-16, to-17)
dep(to-17, terms-18)
prep(come-16, with-19)
det(situation-21, the-20)
pobj(with-19, situation-21)
prep(situation-21, in-22)
dep(in-22, Europe-23)
prep(situation-21, after-24)
num(deadline-29, 1992-25)
punct(deadline-29, ,-26)
punct(deadline-29, ''-27)
det(deadline-29, the-28)
pobj(after-24, deadline-29)
prep(deadline-29, for-30)
pcomp(for-30, ending-31)
nn(barriers-33, trade-32)
dobj(ending-31, barriers-33)
prep(barriers-33, in-34)
det(EC-36, the-35)
pobj(in-34, EC-36)
punct(said-39, ,-37)
dep(said-39, he-38)
root(ROOT-0, said-39)
punct(said-39, .-40)

prep(confirmed-7, In-1)
dep(In-1, Frankfurt-2)
punct(confirmed-7, ,-3)
det(spokesman-6, a-4)
nn(spokesman-6, Lufthansa-5)
nsubj(confirmed-7, spokesman-6)
root(ROOT-0, confirmed-7)
dep(are-9, talks-8)
ccomp(confirmed-7, are-9)
prep(are-9, under-10)
dep(under-10, way-11)
punct(confirmed-7, ,-12)
cc(confirmed-7, but-13)
conj(confirmed-7, declined-14)
xcomp(declined-14, to-15)
dep(to-15, comment-16)
punct(confirmed-7, .-17)

det(spokeswoman-3, A-1)
nn(spokeswoman-3, Lufthansa-2)
nsubj(said-6, spokeswoman-3)
prep(said-6, in-4)
dep(in-4, Tokyo-5)
root(ROOT-0, said-6)
det(head-8, the-7)
nsubj(week-19, head-8)
prep(head-8, of-9)
poss(operations-13, Lufthansa-10)
possessive(Lufthansa-10, 's-11)
nn(operations-13, cargo-12)
pobj(of-9, operations-13)
aux(week-19, had-14)
cop(week-19, been-15)
prep(week-19, in-16)
dep(in-16, Toyko-17)
amod(week-19, last-18)
ccomp(said-6, week-19)
prep(week-19, for-20)
pobj(for-20, talks-21)
prep(talks-21, with-22)
dep(with-22, JAL-23)
punct(said-6, .-24)

prep(declined-6, In-1)
dep(In-1, Paris-2)
punct(declined-6, ,-3)
nn(France-5, Air-4)
nsubj(declined-6, France-5)
root(ROOT-0, declined-6)
xcomp(declined-6, to-7)
dep(to-7, comment-8)
punct(declined-6, .-9)

punct(said-14, ``-1)
dep(defined-4, Nothing-2)
auxpass(defined-4, is-3)
ccomp(said-14, defined-4)
cc(defined-4, or-5)
conj(defined-4, signed-6)
prep(defined-4, at-7)
det(point-9, this-8)
pobj(at-7, point-9)
punct(said-14, ,-10)
punct(said-14, ''-11)
nn(Daly-13, Mr.-12)
nsubj(said-14, Daly-13)
root(ROOT-0, said-14)
prep(said-14, of-15)
det(talks-17, the-16)
pobj(of-15, talks-17)
punct(said-14, .-18)

det(accord-2, Whatever-1)
dobj(reach-6, accord-2)
det(carriers-5, the-3)
num(carriers-5, three-4)
nsubj(reach-6, carriers-5)
csubj(skeptical-13, reach-6)
punct(said-9, ,-7)
dep(said-9, he-8)
parataxis(skeptical-13, said-9)
punct(skeptical-13, ,-10)
dep(skeptical-13, he-11)
cop(skeptical-13, is-12)
root(ROOT-0, skeptical-13)
dep(create-16, it-14)
aux(create-16, would-15)
ccomp(skeptical-13, create-16)
det(airline-19, a-17)
amod(airline-19, separate-18)
dobj(create-16, airline-19)
punct(skeptical-13, .-20)

mark(pool-5, If-1)
det(companies-4, the-2)
num(companies-4, three-3)
nsubj(pool-5, companies-4)
advcl(be-13, pool-5)
poss(businesses-8, their-6)
nn(businesses-8, air-freight-7)
dobj(pool-5, businesses-8)
punct(be-13, ,-9)
poss(clout-11, their-10)
nsubj(be-13, clout-11)
aux(be-13, would-12)
root(ROOT-0, be-13)
dep(be-13, considerable-14)
punct(be-13, .-15)

prep(carried-12, According-1)
pcomp(According-1, to-2)
pobj(to-2, figures-3)
prep(figures-3, from-4)
det(Association-9, the-5)
nn(Association-9, International-6)
nn(Association-9, Air-7)
nn(Association-9, Transport-8)
pobj(from-4, Association-9)
punct(carried-12, ,-10)
dep(carried-12, they-11)
root(ROOT-0, carried-12)
det(tons-17, a-13)
amod(tons-17, combined-14)
number(million-16, 1.8-15)
num(tons-17, million-16)
dobj(carried-12, tons-17)
prep(tons-17, of-18)
dep(of-18, freight-19)
amod(year-21, last-20)
tmod(carried-12, year-21)
punct(carried-12, .-22)

nn(Express-2, Federal-1)
nsubj(carried-11, Express-2)
cc(Express-2, and-3)
nn(Tiger-5, Flying-4)
conj(Express-2, Tiger-5)
punct(carried-11, ,-6)
prep(carried-11, as-7)
amod(companies-9, separate-8)
pobj(as-7, companies-9)
punct(carried-11, ,-10)
root(ROOT-0, carried-11)
det(tons-16, a-12)
amod(tons-16, combined-13)
number(million-15, 2.6-14)
num(tons-16, million-15)
dobj(carried-11, tons-16)
punct(carried-11, .-17)

nn(France-2, Air-1)
nsubj(concluded-7, France-2)
cc(France-2, and-3)
conj(France-2, Lufthansa-4)
amod(month-6, last-5)
nsubj(concluded-7, month-6)
root(ROOT-0, concluded-7)
det(accord-11, a-8)
amod(accord-11, far-reaching-9)
nn(accord-11, cooperation-10)
dobj(concluded-7, accord-11)
dep(includes-13, that-12)
dep(accord-11, includes-13)
nn(activities-15, air-freight-14)
dobj(includes-13, activities-15)
punct(concluded-7, .-16)

dep(plan-2, They-1)
root(ROOT-0, plan-2)
aux(increase-4, to-3)
xcomp(plan-2, increase-4)
dobj(increase-4, cooperation-5)
prep(cooperation-5, in-6)
nn(ground-handling-8, freight-7)
pobj(in-6, ground-handling-8)
cc(increase-4, and-9)
conj(increase-4, create-10)
det(system-14, a-11)
amod(system-14, world-wide-12)
nn(system-14, computer-13)
dobj(create-10, system-14)
aux(process-16, to-15)
vmod(system-14, process-16)
dep(process-16, cargo-17)
punct(plan-2, .-18)

amod(airlines-2, Other-1)
nsubj(have-4, airlines-2)
aux(have-4, would-3)
root(ROOT-0, have-4)
dobj(have-4, access-5)
prep(access-5, to-6)
det(system-8, the-7)
pobj(to-6, system-8)
punct(said-11, ,-9)
dep(said-11, they-10)
dep(have-4, said-11)
punct(said-11, ,-12)
cc(have-4, and-13)
nsubj(were-17, negotiations-14)
prep(negotiations-14, with-15)
dep(with-15, partners-16)
conj(have-4, were-17)
advmod(were-17, already-18)
prep(were-17, under-19)
dep(under-19, way-20)
punct(have-4, .-21)

det(airlines-3, Both-1)
amod(airlines-3, European-2)
nsubj(operate-4, airlines-3)
root(ROOT-0, operate-4)
amod(fleets-6, extensive-5)
dobj(operate-4, fleets-6)
prep(fleets-6, of-7)
nn(freighters-10, Boeing-8)
num(freighters-10, 747-9)
pobj(of-7, freighters-10)
cc(freighters-10, and-11)
num(Combis-13, 747-12)
conj(freighters-10, Combis-13)
punct(Combis-13, ,-14)
appos(Combis-13, aircraft-15)
dep(carry-17, that-16)
ccomp(aircraft-15, carry-17)
preconj(freight-19, both-18)
dobj(carry-17, freight-19)
cc(freight-19, and-20)
conj(freight-19, passengers-21)
prep(carry-17, on-22)
det(deck-25, the-23)
amod(deck-25, main-24)
pobj(on-22, deck-25)
punct(operate-4, .-26)

dep(have-3, They-1)
advmod(have-3, currently-2)
root(ROOT-0, have-3)
amod(orders-5, large-4)
dobj(have-3, orders-5)
prep(orders-5, for-6)
nn(planes-8, cargo-7)
pobj(for-6, planes-8)
punct(have-3, .-9)

amod(airlines-2, Several-1)
nsubj(working-14, airlines-2)
punct(airlines-2, ,-3)
prep(airlines-2, including-4)
nn(JAL-7, Lufthansa-5)
punct(JAL-7, ,-6)
pobj(including-4, JAL-7)
cc(JAL-7, and-8)
nn(Airways-11, Cathay-9)
nn(Airways-11, Pacific-10)
conj(JAL-7, Airways-11)
punct(airlines-2, ,-12)
aux(working-14, are-13)
ccomp(said-33, working-14)
prep(working-14, on-15)
det(system-20, a-16)
amod(system-20, so-called-17)
amod(system-20, global-18)
nn(system-20, cargo-19)
pobj(on-15, system-20)
cc(working-14, and-21)
aux(trying-23, are-22)
conj(working-14, trying-23)
aux(attract-25, to-24)
xcomp(trying-23, attract-25)
amod(carriers-27, other-26)
dobj(attract-25, carriers-27)
xcomp(attract-25, to-28)
dep(to-28, join-29)
punct(said-33, ,-30)
nn(Daly-32, Mr.-31)
nsubj(said-33, Daly-32)
root(ROOT-0, said-33)
punct(said-33, .-34)

dep(signaled-4, JAL-1)
advmod(signaled-4, also-2)
aux(signaled-4, has-3)
root(ROOT-0, signaled-4)
dep(looking-7, it-5)
aux(looking-7, is-6)
ccomp(signaled-4, looking-7)
prep(looking-7, for-8)
pobj(for-8, toeholds-9)
prep(toeholds-9, in-10)
dep(in-10, Europe-11)
prep(toeholds-9, before-12)
det(end-14, the-13)
pobj(before-12, end-14)
prep(end-14, of-15)
dep(of-15, 1992-16)
punct(signaled-4, .-17)

amod(month-2, Last-1)
tmod(said-6, month-2)
punct(said-6, ,-3)
det(carrier-5, the-4)
nsubj(said-6, carrier-5)
root(ROOT-0, said-6)
dep(wanted-8, it-7)
ccomp(said-6, wanted-8)
aux(lease-10, to-9)
xcomp(wanted-8, lease-10)
dobj(lease-10, crews-11)
cc(crews-11, and-12)
conj(crews-11, planes-13)
prep(lease-10, from-14)
nn(Airways-16, British-15)
pobj(from-14, Airways-16)
mark(funnel-20, so-17)
dep(funnel-20, it-18)
aux(funnel-20, could-19)
advcl(wanted-8, funnel-20)
poss(passengers-22, its-21)
dobj(funnel-20, passengers-22)
prep(funnel-20, from-23)
dep(from-23, London-24)
prep(funnel-20, to-25)
amod(destinations-28, other-26)
amod(destinations-28, European-27)
pobj(to-25, destinations-28)
punct(said-6, .-29)

nn(Airways-2, British-1)
nsubj(said-3, Airways-2)
root(ROOT-0, said-3)
dep(received-7, it-4)
aux(received-7, has-5)
neg(received-7, n't-6)
ccomp(said-3, received-7)
det(proposal-9, a-8)
dobj(received-7, proposal-9)
prep(received-7, from-10)
dep(from-10, JAL-11)
punct(said-3, .-12)

cc(were-5, But-1)
amod(week-3, last-2)
nsubj(were-5, week-3)
dep(were-5, there-4)
root(ROOT-0, were-5)
nn(negotiations-7, air-traffic-6)
dep(were-5, negotiations-7)
prep(negotiations-7, between-8)
det(U.K.-10, the-9)
pobj(between-8, U.K.-10)
cc(U.K.-10, and-11)
conj(U.K.-10, Japan-12)
punct(negotiations-7, ,-13)
det(step-17, a-14)
amod(step-17, likely-15)
amod(step-17, first-16)
appos(negotiations-7, step-17)
prep(step-17, to-18)
det(agreement-21, any-19)
amod(agreement-21, commercial-20)
pobj(to-18, agreement-21)
prep(agreement-21, between-22)
pobj(between-22, JAL-23)
cc(JAL-23, and-24)
nn(Airways-26, British-25)
conj(JAL-23, Airways-26)
cc(Airways-26, or-27)
det(carrier-30, another-28)
nn(carrier-30, U.K.-29)
conj(Airways-26, carrier-30)
punct(were-5, .-31)

nn(Co.-4, Federal-1)
nn(Co.-4, Paper-2)
nn(Co.-4, Board-3)
nsubj(said-5, Co.-4)
root(ROOT-0, said-5)
dep(completed-7, it-6)
ccomp(said-5, completed-7)
det(purchase-11, the-8)
advmod(announced-10, previously-9)
amod(purchase-11, announced-10)
dobj(completed-7, purchase-11)
prep(purchase-11, of-12)
nn(Corp.-15, Imperial-13)
nn(Corp.-15, Cup-14)
pobj(of-12, Corp.-15)
punct(Corp.-15, ,-16)
det(maker-20, a-17)
advmod(held-19, closely-18)
amod(maker-20, held-19)
appos(Corp.-15, maker-20)
prep(maker-20, of-21)
nn(cups-23, paper-22)
pobj(of-21, cups-23)
vmod(maker-20, based-24)
prep(based-24, in-25)
nn(Ohio-28, Kenton-26)
punct(Ohio-28, ,-27)
pobj(in-25, Ohio-28)
punct(said-5, .-29)

dep(disclosed-4, Terms-1)
auxpass(disclosed-4, were-2)
neg(disclosed-4, n't-3)
root(ROOT-0, disclosed-4)
punct(disclosed-4, .-5)

nn(Cup-2, Imperial-1)
nsubj(has-3, Cup-2)
root(ROOT-0, has-3)
amod(sales-5, annual-4)
dobj(has-3, sales-5)
prep(sales-5, of-6)
quantmod($-8, approximately-7)
pobj(of-6, $-8)
number(million-10, 75-9)
num($-8, million-10)
punct(has-3, .-11)

nn(Board-3, Federal-1)
nn(Board-3, Paper-2)
nsubj(sells-4, Board-3)
root(ROOT-0, sells-4)
nn(products-8, paper-5)
cc(paper-5, and-6)
conj(paper-5, wood-7)
dobj(sells-4, products-8)
punct(sells-4, .-9)

prep(said-22, In-1)
det(move-3, a-2)
pobj(In-1, move-3)
aux(prevent-5, to-4)
vmod(move-3, prevent-5)
det(dislocation-7, any-6)
dobj(prevent-5, dislocation-7)
prep(dislocation-7, in-8)
det(markets-11, the-9)
amod(markets-11, financial-10)
pobj(in-8, markets-11)
prep(dislocation-7, from-12)
det(earthquake-15, the-13)
nn(earthquake-15, California-14)
pobj(from-12, earthquake-15)
punct(said-22, ,-16)
det(Commission-21, the-17)
nn(Commission-21, Securities-18)
cc(Securities-18, and-19)
conj(Securities-18, Exchange-20)
nsubj(said-22, Commission-21)
root(ROOT-0, said-22)
dep(reassigned-25, it-23)
advmod(reassigned-25, temporarily-24)
ccomp(said-22, reassigned-25)
dobj(reassigned-25, options-26)
dep(options-26, listed-27)
prep(listed-27, on-28)
det(Exchange-32, the-29)
nn(Exchange-32, Pacific-30)
nn(Exchange-32, Stock-31)
pobj(on-28, Exchange-32)
prep(reassigned-25, to-33)
det(exchanges-42, the-34)
amod(exchanges-42, American-35)
punct(American-35, ,-36)
conj(American-35, New-37)
dep(American-35, York-38)
cc(American-35, and-39)
conj(American-35, Philadelphia-40)
nn(exchanges-42, stock-41)
pobj(to-33, exchanges-42)
cc(to-33, and-43)
conj(to-33, to-44)
det(Exchange-49, the-45)
nn(Exchange-49, Chicago-46)
nn(Exchange-49, Board-47)
nn(Exchange-49, Options-48)
pobj(to-44, Exchange-49)
punct(said-22, .-50)

det(decision-2, The-1)
nsubjpass(made-14, decision-2)
punct(decision-2, ,-3)
dep(affects-5, which-4)
dep(decision-2, affects-5)
dobj(affects-5, millions-6)
prep(millions-6, of-7)
pobj(of-7, dollars-8)
prep(dollars-8, of-9)
nn(positions-11, trading-10)
pobj(of-9, positions-11)
punct(decision-2, ,-12)
auxpass(made-14, was-13)
root(ROOT-0, made-14)
amod(yesterday-16, late-15)
tmod(made-14, yesterday-16)
mark(shut-25, because-17)
det(exchange-20, the-18)
nn(exchange-20, Pacific-19)
poss(floor-23, exchange-20)
possessive(exchange-20, 's-21)
nn(floor-23, options-22)
nsubjpass(shut-25, floor-23)
auxpass(shut-25, was-24)
advcl(made-14, shut-25)
dep(shut-25, down-26)
prep(shut-25, as-27)
det(result-29, a-28)
pobj(as-27, result-29)
prep(result-29, of-30)
poss(earthquake-33, Tuesday-31)
possessive(Tuesday-31, 's-32)
pobj(of-30, earthquake-33)
punct(made-14, .-34)

det(SEC-2, The-1)
nsubj(said-13, SEC-2)
punct(said-13, ,-3)
vmod(said-13, faced-4)
prep(faced-4, with-5)
det(squeeze-8, a-6)
amod(squeeze-8, major-7)
pobj(with-5, squeeze-8)
prep(squeeze-8, on-9)
nn(positions-11, options-10)
pobj(on-9, positions-11)
punct(said-13, ,-12)
root(ROOT-0, said-13)
nsubj(was-15, it-14)
ccomp(said-13, was-15)
dep(was-15, necessary-16)
aux(ensure-18, to-17)
xcomp(was-15, ensure-18)
mark(traded-27, that-19)
nsubjpass(traded-27, options-20)
dep(options-20, listed-21)
prep(listed-21, on-22)
det(exchange-24, the-23)
pobj(on-22, exchange-24)
aux(traded-27, could-25)
auxpass(traded-27, be-26)
ccomp(ensure-18, traded-27)
tmod(traded-27, today-28)
cc(today-28, and-29)
conj(today-28, tomorrow-30)
punct(said-13, .-31)

nn(Breeden-4, SEC-1)
nn(Breeden-4, Chairman-2)
nn(Breeden-4, Richard-3)
nsubj(said-5, Breeden-4)
root(ROOT-0, said-5)
det(cooperation-7, the-6)
nsubj(enable-12, cooperation-7)
prep(cooperation-7, by-8)
det(exchanges-10, the-9)
pobj(by-8, exchanges-10)
aux(enable-12, would-11)
ccomp(said-5, enable-12)
dep(buy-15, investors-13)
aux(buy-15, to-14)
xcomp(enable-12, buy-15)
cc(buy-15, and-16)
conj(buy-15, sell-17)
dobj(buy-15, options-18)
dep(options-18, listed-19)
