advmod(comes-3, When-1)
punct(liked-3, ,-21)
dep(liked-3, found-22)
dep(brought-38, it-23)
dep(brought-38, charming-24)
mark(brought-38, that-25)
punct(brought-38, ,-26)
amod(citizens-28, true-27)
ccomp(brought-38, citizens-28)
prep(citizens-28, of-29)
det(state-31, the-30)
pobj(of-29, state-31)
prep(state-31, of-32)
det(future-34, the-33)
pobj(of-32, future-34)
punct(brought-38, ,-35)
dep(brought-38, they-36)
aux(brought-38, had-37)
dep(found-22, brought-38)
dep(many-40, so-39)
amod(TVs-41, many-40)
dobj(brought-38, TVs-41)
cc(TVs-41, and-42)
conj(TVs-41, radios-43)
aux(stay-45, to-44)
vmod(brought-38, stay-45)
prep(stay-45, in-46)
pobj(in-46, touch-47)
prep(touch-47, with-48)
dep(with-48, electroreality-49)
prep(stay-45, at-50)
det(event-53, a-51)
amod(event-53, live-52)
pobj(at-50, event-53)
punct(liked-3, .-54)

advmod(sense-6, Maybe-1)
dep(sense-6, it-2)
cop(sense-6, was-3)
poss(sense-6, their-4)
amod(sense-6, peculiar-5)
root(ROOT-0, sense-6)
prep(sense-6, of-7)
dep(of-7, history-8)
punct(sense-6, .-9)

det(broadcasters-2, The-1)
nsubj(documenting-8, broadcasters-2)
aux(documenting-8, were-3)
punct(documenting-8, ,-4)
prep(documenting-8, after-5)
dep(after-5, all-6)
punct(documenting-8, ,-7)
root(ROOT-0, documenting-8)
det(game-10, the-9)
dobj(documenting-8, game-10)
punct(documenting-8, ,-11)
dep(documenting-8, ratifying-12)
poss(occurrence-14, its-13)
dobj(ratifying-12, occurrence-14)
prep(ratifying-12, for-15)
pobj(for-15, millions-16)
prep(millions-16, outside-17)
det(Stick-19, the-18)
pobj(outside-17, Stick-19)
punct(documenting-8, .-20)

dep(watch-3, Why-1)
neg(watch-3, not-2)
root(ROOT-0, watch-3)
cc(watch-3, or-4)
conj(watch-3, hear-5)
poss(experience-7, your-6)
nsubj(historicized-8, experience-7)
dep(watch-3, historicized-8)
mark(living-12, while-9)
dep(living-12, you-10)
aux(living-12, were-11)
advcl(watch-3, living-12)
dep(living-12, it-13)
punct(watch-3, ?-14)

det(day-2, The-1)
nsubjpass(saturated-4, day-2)
auxpass(saturated-4, was-3)
root(ROOT-0, saturated-4)
prep(saturated-4, with-5)
det(weight-7, the-6)
pobj(with-5, weight-7)
prep(weight-7, of-8)
poss(history-12, its-9)
amod(history-12, own-10)
amod(history-12, impending-11)
pobj(of-8, history-12)
punct(saturated-4, .-13)

amod(lines-2, Long-1)
nsubj(waited-5, lines-2)
prep(lines-2, of-3)
dep(of-3, people-4)
root(ROOT-0, waited-5)
aux(buy-7, to-6)
xcomp(waited-5, buy-7)
amod(postcards-12, special-8)
nn(postcards-12, souvenir-9)
nn(postcards-12, World-10)
nn(postcards-12, Series-11)
dobj(buy-7, postcards-12)
prep(postcards-12, with-13)
amod(postmarks-15, official-14)
pobj(with-13, postmarks-15)
punct(waited-5, .-16)

nsubj(paid-5, Thousands-1)
prep(Thousands-1, of-2)
dep(of-2, us-3)
aux(paid-5, had-4)
root(ROOT-0, paid-5)
dobj(paid-5, $-6)
num($-6, 5-7)
prep(paid-5, for-8)
det(book-12, the-9)
amod(book-12, official-10)
nn(book-12, souvenir-11)
pobj(for-8, book-12)
prep(book-12, with-13)
poss(essays-16, its-14)
amod(essays-16, historical-15)
pobj(with-13, essays-16)
prep(essays-16, on-17)
nn(trivia-19, Series-18)
pobj(on-17, trivia-19)
punct(essays-16, ,-20)
poss(photographs-23, its-21)
amod(photographs-23, historical-22)
conj(essays-16, photographs-23)
prep(photographs-23, of-24)
amod(moments-26, great-25)
pobj(of-24, moments-26)
prep(moments-26, in-27)
nn(past-29, Series-28)
pobj(in-27, past-29)
punct(essays-16, ,-30)
cc(essays-16, and-31)
poss(instructions-33, its-32)
conj(essays-16, instructions-33)
punct(instructions-33, ,-34)
prep(instructions-33, in-35)
pobj(in-35, English-36)
cc(English-36, and-37)
conj(English-36, Spanish-38)
punct(instructions-33, ,-39)
prep(instructions-33, for-40)
pcomp(for-40, filling-41)
dep(filling-41, in-42)
det(scorecard-44, the-43)
dobj(filling-41, scorecard-44)
punct(paid-5, .-45)

dep(=-2, Pitcher-1)
root(ROOT-0, =-2)
dep(=-2, lanzador-3)
punct(=-2, .-4)

dep(=-2, Homerun-1)
root(ROOT-0, =-2)
dep(=-2, jonron-3)
punct(=-2, .-4)

dep(ran-2, Players-1)
root(ROOT-0, ran-2)
advmod(ran-2, out-3)
prep(out-3, on-4)
det(field-6, the-5)
pobj(on-4, field-6)
advmod(below-8, way-7)
advmod(field-6, below-8)
punct(ran-2, ,-9)
cc(ran-2, and-10)
det(stands-12, the-11)
nsubj(began-13, stands-12)
conj(ran-2, began-13)
xcomp(began-13, to-14)
dep(to-14, reverberate-15)
punct(ran-2, .-16)

dep(custom-6, It-1)
aux(custom-6, must-2)
cop(custom-6, be-3)
det(custom-6, a-4)
amod(custom-6, local-5)
root(ROOT-0, custom-6)
punct(thought-9, ,-7)
dep(thought-9, I-8)
parataxis(custom-6, thought-9)
punct(thought-9, ,-10)
xcomp(custom-6, stamping-11)
dep(stamping-11, feet-12)
aux(welcome-14, to-13)
xcomp(stamping-11, welcome-14)
det(team-16, the-15)
dobj(welcome-14, team-16)
punct(custom-6, .-17)

cc(turned-5, But-1)
advmod(turned-5, then-2)
det(noise-4, the-3)
nsubj(turned-5, noise-4)
root(ROOT-0, turned-5)
prep(turned-5, into-6)
det(roar-8, a-7)
pobj(into-6, roar-8)
punct(turned-5, .-9)

cc(was-4, And-1)
neg(one-3, no-2)
nsubj(was-4, one-3)
root(ROOT-0, was-4)
dep(was-4, shouting-5)
punct(was-4, .-6)

neg(one-2, No-1)
nsubj(saying-6, one-2)
prep(one-2, around-3)
dep(around-3, me-4)
aux(saying-6, was-5)
root(ROOT-0, saying-6)
dep(saying-6, anything-7)
punct(saying-6, .-8)

mark(busy-5, Because-1)
nsubj(busy-5, we-2)
det(we-2, all-3)
cop(busy-5, were-4)
root(ROOT-0, busy-5)
dep(busy-5, riding-6)
det(wave-8, a-7)
dobj(riding-6, wave-8)
punct(busy-5, .-9)

number(thousand-2, Sixty-1)
num(surfers-3, thousand-2)
nsubj(waiting-9, surfers-3)
prep(surfers-3, atop-4)
det(wall-7, a-5)
amod(wall-7, concrete-6)
pobj(atop-4, wall-7)
punct(waiting-9, ,-8)
root(ROOT-0, waiting-9)
prep(waiting-9, for-10)
det(wipeout-12, the-11)
pobj(for-10, wipeout-12)
punct(waiting-9, .-13)

advmod(at-2, Only-1)
prep(grasp-10, at-2)
det(moment-4, the-3)
pobj(at-2, moment-4)
prep(moment-4, of-5)
nn(roll-7, maximum-6)
pobj(of-5, roll-7)
aux(grasp-10, did-8)
dep(grasp-10, I-9)
root(ROOT-0, grasp-10)
dep(going-13, what-11)
aux(going-13, was-12)
ccomp(grasp-10, going-13)
dep(going-13, on-14)
punct(grasp-10, .-15)

advmod(remembered-3, Then-1)
dep(remembered-3, I-2)
root(ROOT-0, remembered-3)
det(quake-5, the-4)
dobj(remembered-3, quake-5)
prep(quake-5, of-6)
dep(of-6, '71-7)
punct(quake-5, ,-8)
dep(experienced-11, which-9)
dep(experienced-11, I-10)
dep(quake-5, experienced-11)
prep(experienced-11, in-12)
nn(Barbara-14, Santa-13)
pobj(in-12, Barbara-14)
prep(experienced-11, in-15)
det(room-19, a-16)
amod(room-19, second-story-17)
nn(room-19, motel-18)
pobj(in-15, room-19)
punct(remembered-3, .-20)

advmod(woke-7, When-1)
det(swaying-3, the-2)
nsubj(woke-7, swaying-3)
prep(swaying-3, of-4)
det(building-6, the-5)
pobj(of-4, building-6)
dep(reasoned-12, woke-7)
dep(woke-7, me-8)
dep(woke-7, up-9)
punct(reasoned-12, ,-10)
dep(reasoned-12, I-11)
root(ROOT-0, reasoned-12)
mark(was-17, that-13)
dep(was-17, a-14)
punct(a-14, -RRB--15)
dep(was-17, I-16)
ccomp(reasoned-12, was-17)
prep(was-17, in-18)
nn(California-20, Southern-19)
pobj(in-18, California-20)
punct(was-17, ;-21)
dep(was-26, b-22)
punct(b-22, -RRB--23)
det(bed-25, the-24)
nsubj(was-26, bed-25)
parataxis(was-17, was-26)
dep(was-26, moving-27)
punct(was-17, ;-28)
dep(bed-37, c-29)
punct(c-29, -RRB--30)
dep(bed-37, it-31)
aux(bed-37, must-32)
cop(bed-37, be-33)
det(bed-37, a-34)
nn(bed-37, Magic-35)
nn(bed-37, Fingers-36)
parataxis(was-17, bed-37)
dep(had-39, that-38)
dep(bed-37, had-39)
dep(had-39, short-circuited-40)
punct(reasoned-12, .-41)

advmod(noticed-3, Then-1)
dep(noticed-3, I-2)
root(ROOT-0, noticed-3)
det(light-6, the-4)
amod(light-6, overhead-5)
nsubj(swaying-8, light-6)
aux(swaying-8, was-7)
ccomp(noticed-3, swaying-8)
prep(swaying-8, on-9)
poss(cord-11, its-10)
pobj(on-9, cord-11)
cc(noticed-3, and-12)
conj(noticed-3, realized-13)
dep(had-15, what-14)
ccomp(realized-13, had-15)
dep(had-15, happened-16)
punct(noticed-3, .-17)

dep(do-4, What-1)
aux(do-4, should-2)
dep(do-4, I-3)
root(ROOT-0, do-4)
punct(do-4, ?-5)

root(ROOT-0, Get-1)
prep(Get-1, out-2)
pcomp(out-2, of-3)
det(building-7, the-4)
advmod(collapsing-6, possibly-5)
amod(building-7, collapsing-6)
pobj(of-3, building-7)
prep(Get-1, to-8)
det(lot-11, the-9)
nn(lot-11, parking-10)
pobj(to-8, lot-11)
punct(Get-1, .-12)

cc(split-5, But-1)
det(lot-3, the-2)
nsubj(split-5, lot-3)
aux(split-5, might-4)
root(ROOT-0, split-5)
prep(split-5, into-6)
dep(into-6, crevasses-7)
punct(split-5, ,-8)
dep(split-5, so-9)
dep(stand-13, I-10)
aux(stand-13, had-11)
advmod(stand-13, better-12)
parataxis(split-5, stand-13)
prep(stand-13, on-14)
poss(car-16, my-15)
pobj(on-14, car-16)
punct(car-16, ,-17)
dep(wider-21, which-18)
advmod(wider-21, probably-19)
cop(wider-21, was-20)
dep(car-16, wider-21)
prep(wider-21, than-22)
det(crevasse-25, the-23)
amod(crevasse-25, average-24)
pobj(than-22, crevasse-25)
punct(split-5, .-26)

advmod(was-5, Fortunately-1)
punct(was-5, ,-2)
det(quake-4, the-3)
nsubj(was-5, quake-4)
root(ROOT-0, was-5)
advmod(was-5, over-6)
mark(managed-9, before-7)
dep(managed-9, I-8)
advcl(was-5, managed-9)
aux(run-11, to-10)
xcomp(managed-9, run-11)
advmod(run-11, out-12)
cc(run-11, and-13)
conj(run-11, stand-14)
dep(stand-14, naked-15)
prep(stand-14, on-16)
det(hood-18, the-17)
pobj(on-16, hood-18)
punct(was-5, .-19)

prep(thought-11, At-1)
det(Stick-3, the-2)
pobj(At-1, Stick-3)
punct(thought-11, ,-4)
mark(world-7, while-5)
det(world-7, the-6)
advcl(thought-11, world-7)
dep(world-7, shook-8)
punct(thought-11, ,-9)
dep(thought-11, I-10)
root(ROOT-0, thought-11)
prep(thought-11, of-12)
det(morning-14, that-13)
pobj(of-12, morning-14)
cc(thought-11, and-15)
advmod(struck-18, then-16)
nsubj(struck-18, it-17)
conj(thought-11, struck-18)
dep(struck-18, me-19)
mark(was-23, that-20)
det(time-22, this-21)
nsubj(was-23, time-22)
ccomp(struck-18, was-23)
dep(was-23, different-24)
punct(thought-11, .-25)

mark(survived-3, If-1)
dep(survived-3, I-2)
advcl(achieved-8, survived-3)
punct(achieved-8, ,-4)
dep(achieved-8, I-5)
aux(achieved-8, would-6)
aux(achieved-8, have-7)
root(ROOT-0, achieved-8)
det(journalist-10, every-9)
poss(wish-13, journalist-10)
possessive(journalist-10, 's-11)
amod(wish-13, highest-12)
dobj(achieved-8, wish-13)
punct(achieved-8, .-14)

dep(eyewitness-4, I-1)
cop(eyewitness-4, was-2)
det(eyewitness-4, an-3)
root(ROOT-0, eyewitness-4)
prep(eyewitness-4, of-5)
det(event-9, the-6)
advmod(newsworthy-8, most-7)
amod(event-9, newsworthy-8)
pobj(of-5, event-9)
prep(event-9, on-10)
det(planet-12, the-11)
pobj(on-10, planet-12)
prep(event-9, at-13)
det(moment-15, that-14)
pobj(at-13, moment-15)
punct(eyewitness-4, .-16)

dep(angle-4, What-1)
cop(angle-4, was-2)
poss(angle-4, my-3)
root(ROOT-0, angle-4)
punct(angle-4, ?-5)

advmod(file-4, How-1)
aux(file-4, would-2)
dep(file-4, I-3)
root(ROOT-0, file-4)
punct(file-4, ?-5)

predet(thoughts-3, All-1)
det(thoughts-3, these-2)
nsubj(raced-4, thoughts-3)
root(ROOT-0, raced-4)
prep(raced-4, through-5)
poss(head-7, my-6)
pobj(through-5, head-7)
prep(raced-4, in-8)
det(seconds-11, the-9)
num(seconds-11, 15-10)
pobj(in-8, seconds-11)
prep(seconds-11, of-12)
det(earthquake-14, the-13)
poss(duration-17, earthquake-14)
possessive(earthquake-14, 's-15)
amod(duration-17, actual-16)
pobj(of-12, duration-17)
punct(raced-4, .-18)

det(rest-2, The-1)
nsubj(is-3, rest-2)
root(ROOT-0, is-3)
punct(is-3, ,-4)
prep(is-3, of-5)
dep(of-5, course-6)
punct(is-3, ,-7)
dep(is-3, history-8)
punct(is-3, .-9)

det(Stick-2, The-1)
nsubj(did-3, Stick-2)
root(ROOT-0, did-3)
neg(did-3, n't-4)
dep(did-3, fall-5)
punct(did-3, .-6)

det(tragedies-3, The-1)
amod(tragedies-3, real-2)
nsubj(occurred-4, tragedies-3)
root(ROOT-0, occurred-4)
advmod(occurred-4, elsewhere-5)
punct(occurred-4, ,-6)
mark(found-10, as-7)
dep(found-10, we-8)
advmod(found-10, soon-9)
advcl(occurred-4, found-10)
dep(found-10, out-11)
punct(occurred-4, .-12)

cc(abounded-9, But-1)
dep(abounded-9, for-2)
det(minutes-5, a-3)
amod(minutes-5, few-4)
pobj(for-2, minutes-5)
advmod(abounded-9, there-6)
punct(abounded-9, ,-7)
dep(abounded-9, relief-8)
root(ROOT-0, abounded-9)
punct(abounded-9, .-10)

det(mother-3, A-1)
amod(mother-3, young-2)
nsubj(found-4, mother-3)
root(ROOT-0, found-4)
dep(boy-6, her-5)
dobj(found-4, boy-6)
punct(boy-6, ,-7)
dep(been-10, who-8)
aux(been-10, had-9)
dep(boy-6, been-10)
advmod(been-10, out-11)
xcomp(been-10, buying-12)
det(hotdog-14, a-13)
dobj(buying-12, hotdog-14)
punct(found-4, .-15)

det(wall-2, The-1)
nsubjpass(deformed-7, wall-2)
prep(wall-2, behind-3)
dep(behind-3, me-4)
auxpass(deformed-7, was-5)
advmod(deformed-7, slightly-6)
root(ROOT-0, deformed-7)
punct(deformed-7, ,-8)
cc(deformed-7, but-9)
det(center-11, the-10)
nsubj(had-12, center-11)
conj(deformed-7, had-12)
dep(had-12, held-13)
punct(deformed-7, .-14)

cc(waited-5, And-1)
nsubj(waited-5, most-2)
prep(most-2, of-3)
dep(of-3, us-4)
root(ROOT-0, waited-5)
prep(waited-5, for-6)
det(while-8, a-7)
pobj(for-6, while-8)
mark(to-12, for-9)
det(game-11, the-10)
nsubj(to-12, game-11)
advcl(waited-5, to-12)
dep(to-12, start-13)
punct(waited-5, .-14)

advmod(began-3, Then-1)
dep(began-3, we-2)
root(ROOT-0, began-3)
aux(file-5, to-4)
xcomp(began-3, file-5)
advmod(file-5, out-6)
punct(began-3, ,-7)
aux(wait-9, to-8)
xcomp(began-3, wait-9)
advmod(wait-9, safely-10)
prep(wait-9, on-11)
nn(firma-13, terra-12)
pobj(on-11, firma-13)
prep(wait-9, for-14)
det(pitch-17, the-15)
amod(pitch-17, opening-16)
pobj(for-14, pitch-17)
punct(began-3, .-18)

dep(was-2, It-1)
root(ROOT-0, was-2)
prep(was-2, during-3)
det(exodus-6, the-4)
amod(exodus-6, quiet-5)
pobj(during-3, exodus-6)
prep(exodus-6, down-7)
det(ramps-11, the-8)
amod(ramps-11, pristine-9)
amod(ramps-11, concrete-10)
pobj(down-7, ramps-11)
prep(ramps-11, of-12)
det(Stick-14, the-13)
pobj(of-12, Stick-14)
mark(understood-18, that-15)
dep(understood-18, I-16)
advmod(understood-18, really-17)
ccomp(was-2, understood-18)
det(point-20, the-19)
dobj(understood-18, point-20)
prep(point-20, of-21)
det(Walkmen-24, all-22)
det(Walkmen-24, those-23)
pobj(of-21, Walkmen-24)
cc(Walkmen-24, and-25)
conj(Walkmen-24, Watchmen-26)
punct(was-2, .-27)

det(crowd-2, The-1)
nsubj(moved-3, crowd-2)
root(ROOT-0, moved-3)
prep(moved-3, in-4)
pobj(in-4, clumps-5)
punct(clumps-5, ,-6)
dep(clumps-5, clumps-7)
dep(clumps-7, magnetized-8)
prep(magnetized-8, around-9)
det(nucleus-12, an-10)
amod(nucleus-12, electronic-11)
pobj(around-9, nucleus-12)
punct(moved-3, .-13)

prep(kept-14, In-1)
det(way-3, this-2)
pobj(In-1, way-3)
punct(kept-14, ,-4)
mark(blacked-10, while-5)
det(Stick-7, the-6)
nsubjpass(blacked-10, Stick-7)
npadvmod(Stick-7, itself-8)
auxpass(blacked-10, was-9)
advcl(kept-14, blacked-10)
dep(blacked-10, out-11)
punct(kept-14, ,-12)
dep(kept-14, we-13)
root(ROOT-0, kept-14)
prep(kept-14, up-15)
pcomp(up-15, to-16)
dep(to-16, date-17)
prep(kept-14, on-18)
dep(on-18, events-19)
punct(kept-14, .-20)

prep(able-11, Within-1)
num(minutes-3, 15-2)
pobj(Within-1, minutes-3)
prep(minutes-3, of-4)
det(quake-6, the-5)
pobj(of-4, quake-6)
npadvmod(quake-6, itself-7)
punct(able-11, ,-8)
dep(able-11, I-9)
cop(able-11, was-10)
root(ROOT-0, able-11)
aux(see-13, to-12)
xcomp(able-11, see-13)
dobj(see-13, pictures-14)
prep(pictures-14, of-15)
det(section-18, the-16)
amod(section-18, collapsed-17)
pobj(of-15, section-18)
prep(section-18, of-19)
det(Bridge-22, the-20)
nn(Bridge-22, Bay-21)
pobj(of-19, Bridge-22)
punct(able-11, .-23)

advmod(accurate-2, Increasingly-1)
amod(estimates-3, accurate-2)
nsubj(became-10, estimates-3)
prep(estimates-3, of-4)
det(severity-6, the-5)
pobj(of-4, severity-6)
prep(severity-6, of-7)
det(quake-9, the-8)
pobj(of-7, quake-9)
root(ROOT-0, became-10)
dep(became-10, available-11)
mark(got-14, before-12)
dep(got-14, I-13)
advcl(became-10, got-14)
prep(got-14, to-15)
poss(car-17, my-16)
pobj(to-15, car-17)
punct(became-10, .-18)

cc(keeping-10, And-1)
prep(keeping-10, by-2)
dep(by-2, then-3)
punct(keeping-10, ,-4)
amod(systems-8, expensive-5)
nn(systems-8, automobile-6)
nn(systems-8, sound-7)
nsubj(keeping-10, systems-8)
aux(keeping-10, were-9)
root(ROOT-0, keeping-10)
det(lot-14, the-11)
amod(lot-14, gridlocked-12)
nn(lot-14, parking-13)
nsubj(informed-18, lot-14)
prep(lot-14, by-15)
det(bay-17, the-16)
pobj(by-15, bay-17)
xcomp(keeping-10, informed-18)
prep(informed-18, about-19)
det(fire-21, the-20)
pobj(about-19, fire-21)
vmod(fire-21, causing-22)
det(plume-26, the-23)
amod(plume-26, big-24)
amod(plume-26, black-25)
dobj(causing-22, plume-26)
prep(plume-26, of-27)
dep(of-27, smoke-28)
dep(saw-30, we-29)
rcmod(plume-26, saw-30)
prep(saw-30, on-31)
det(horizon-34, the-32)
amod(horizon-34, northern-33)
pobj(on-31, horizon-34)
punct(keeping-10, .-35)

dep(fell-2, Darkness-1)
root(ROOT-0, fell-2)
punct(fell-2, .-3)

cc(continued-4, But-1)
det(broadcasts-3, the-2)
nsubj(continued-4, broadcasts-3)
root(ROOT-0, continued-4)
prep(continued-4, through-5)
det(night-8, the-6)
amod(night-8, blacked-out-7)
pobj(through-5, night-8)
punct(continued-4, ,-9)
prep(continued-4, with-10)
pobj(with-10, pictures-11)
prep(pictures-11, of-12)
det(ganglion-16, the-13)
amod(ganglion-16, sandwiched-14)
nn(ganglion-16, highway-15)
pobj(of-12, ganglion-16)
prep(ganglion-16, in-17)
dep(in-17, Oakland-18)
cc(ganglion-16, and-19)
conj(ganglion-16, firefighting-20)
prep(firefighting-20, in-21)
det(district-24, the-22)
nn(district-24, Marina-23)
pobj(in-21, district-24)
punct(continued-4, .-25)

prep(linked-12, By-1)
dep(By-1, then-2)
punct(linked-12, ,-3)
poss(village-7, our-4)
amod(village-7, little-5)
nn(village-7, sand-6)
nsubjpass(linked-12, village-7)
prep(village-7, of-8)
dep(of-8, cars-9)
aux(linked-12, had-10)
auxpass(linked-12, been-11)
root(ROOT-0, linked-12)
prep(linked-12, with-13)
det(village-16, a-14)
amod(village-16, global-15)
pobj(with-13, village-16)
prep(village-16, of-17)
pobj(of-17, listeners-18)
cc(listeners-18, and-19)
conj(listeners-18, viewers-20)
punct(linked-12, .-21)

nsubj(started-8, Everyone-1)
prep(day-6, at-2)
det(Stick-4, the-3)
pobj(at-2, Stick-4)
det(day-6, that-5)
dep(Everyone-1, day-6)
aux(started-8, had-7)
root(ROOT-0, started-8)
dep(started-8, out-9)
prep(started-8, as-10)
det(spectator-12, a-11)
pobj(as-10, spectator-12)
cc(started-8, and-13)
conj(started-8, ended-14)
dep(ended-14, up-15)
prep(ended-14, as-16)
det(participant-18, a-17)
pobj(as-16, participant-18)
punct(started-8, .-19)

prep(ended-12, In-1)
dep(In-1, fact-2)
punct(ended-12, ,-3)
det(population-6, the-4)
amod(population-6, entire-5)
nsubj(ended-12, population-6)
prep(population-6, of-7)
det(Area-10, the-8)
nn(Area-10, Bay-9)
pobj(of-7, Area-10)
aux(ended-12, had-11)
root(ROOT-0, ended-12)
dep(ended-12, up-13)
prep(ended-12, with-14)
det(role-17, this-15)
amod(role-17, dual-16)
pobj(with-14, role-17)
prep(role-17, of-18)
pobj(of-18, actor-19)
cc(actor-19, and-20)
conj(actor-19, audience-21)
punct(ended-12, .-22)

det(reporters-2, The-1)
nsubj(were-3, reporters-2)
root(ROOT-0, were-3)
dep(were-3, victims-4)
cc(were-3, and-5)
nsubj(turned-10, some-6)
prep(some-6, of-7)
det(victims-9, the-8)
pobj(of-7, victims-9)
conj(were-3, turned-10)
prep(turned-10, into-11)
amod(reporters-13, unofficial-12)
pobj(into-11, reporters-13)
punct(were-3, .-14)

det(example-3, The-1)
amod(example-3, outstanding-2)
nsubj(motorist-8, example-3)
prep(example-3, of-4)
dep(of-4, this-5)
cop(motorist-8, was-6)
det(motorist-8, the-7)
root(ROOT-0, motorist-8)
prep(motorist-8, on-9)
det(Bridge-12, the-10)
nn(Bridge-12, Bay-11)
pobj(on-9, Bridge-12)
dep(had-14, who-13)
dep(motorist-8, had-14)
det(presence-16, the-15)
dobj(had-14, presence-16)
prep(presence-16, of-17)
dep(of-17, mind-18)
aux(take-20, to-19)
vmod(presence-16, take-20)
dep(take-20, out-21)
det(camera-24, a-22)
amod(camera-24, video-23)
dobj(take-20, camera-24)
prep(take-20, at-25)
det(moment-29, the-26)
advmod(crucial-28, absolutely-27)
amod(moment-29, crucial-28)
pobj(at-25, moment-29)
cc(take-20, and-30)
conj(take-20, record-31)
det(car-33, the-32)
dobj(record-31, car-33)
prep(car-33, in-34)
dep(in-34, front-35)
mark(fell-38, as-36)
dep(fell-38, it-37)
advcl(record-31, fell-38)
prep(fell-38, into-39)
det(gap-41, the-40)
pobj(into-39, gap-41)
prep(gap-41, in-42)
det(roadway-44, the-43)
pobj(in-42, roadway-44)
punct(motorist-8, .-45)

det(tape-2, The-1)
nsubj(was-3, tape-2)
root(ROOT-0, was-3)
prep(was-3, on-4)
dep(on-4, tv-5)
mark(was-9, before-6)
det(night-8, the-7)
nsubj(was-9, night-8)
advcl(was-3, was-9)
advmod(was-9, out-10)
punct(was-3, .-11)

nn(McLuhan-2, Marshall-1)
nsubj(been-7, McLuhan-2)
punct(been-7, ,-3)
dep(been-7, you-4)
aux(been-7, should-5)
aux(been-7, have-6)
root(ROOT-0, been-7)
advmod(been-7, there-8)
prep(been-7, at-9)
det(hour-11, that-10)
pobj(at-9, hour-11)
punct(been-7, .-12)

nsubjpass(left-14, Investors-1)
dep(received-3, who-2)
ccomp(Investors-1, received-3)
nn(Inc.-7, Shearson-4)
nn(Inc.-7, Lehman-5)
nn(Inc.-7, Hutton-6)
poss(commentary-11, Inc.-7)
possessive(Inc.-7, 's-8)
amod(commentary-11, latest-9)
nn(commentary-11, stock-10)
dobj(received-3, commentary-11)
aux(left-14, may-12)
auxpass(left-14, be-13)
root(ROOT-0, left-14)
prep(left-14, with-15)
amod(expressions-17, blank-16)
pobj(with-15, expressions-17)
punct(left-14, .-18)

det(pages-4, The-1)
amod(pages-4, first-2)
num(pages-4, 10-3)
nsubj(blank-13, pages-4)
prep(pages-4, of-5)
det(Perspective-10, the-6)
amod(Perspective-10, 76-page-7)
nn(Perspective-10, Weekly-8)
nn(Perspective-10, Portfolio-9)
pobj(of-5, Perspective-10)
cop(blank-13, are-11)
advmod(blank-13, completely-12)
root(ROOT-0, blank-13)
punct(blank-13, ,-14)
prep(blank-13, except-15)
pcomp(except-15, for-16)
det(numbers-19, the-17)
nn(numbers-19, page-18)
pobj(for-16, numbers-19)
punct(blank-13, .-20)

advmod(puts-7, Rather-1)
prep(Rather-1, than-2)
amod(devils-4, printing-3)
pobj(than-2, devils-4)
punct(puts-7, ,-5)
dep(puts-7, Shearson-6)
root(ROOT-0, puts-7)
predet(blame-10, all-8)
det(blame-10, the-9)
dobj(puts-7, blame-10)
prep(puts-7, on-11)
det(market-15, the-12)
amod(market-15, unpredictable-13)
nn(market-15, stock-14)
pobj(on-11, market-15)
punct(puts-7, .-16)

det(plunge-2, The-1)
nsubj(made-3, plunge-2)
root(ROOT-0, made-3)
poss(commentary-7, Shearson-4)
possessive(Shearson-4, 's-5)
nn(commentary-7, market-6)
dep(made-3, commentary-7)
advmod(commentary-7, instantly-8)
dep(commentary-7, out-9)
pcomp(out-9, of-10)
dep(of-10, date-11)
punct(made-3, .-12)

prep(caught-13, In-1)
dep(In-1, fact-2)
punct(caught-13, ,-3)
amod(Friday-5, last-4)
poss(tumble-8, Friday-5)
possessive(Friday-5, 's-6)
amod(tumble-8, 190.58-point-7)
nsubj(caught-13, tumble-8)
prep(tumble-8, in-9)
det(market-12, the-10)
nn(market-12, stock-11)
pobj(in-9, market-12)
root(ROOT-0, caught-13)
amod(people-15, many-14)
dobj(caught-13, people-15)
cc(people-15, and-16)
conj(people-15, businesses-17)
prep(caught-13, by-18)
dep(by-18, surprise-19)
punct(caught-13, ,-20)
neg(least-23, not-21)
det(least-23, the-22)
nsubj(firms-27, least-23)
prep(least-23, of-24)
dep(of-24, them-25)
nn(firms-27, brokerage-26)
xcomp(caught-13, firms-27)
mwe(as-29, such-28)
prep(firms-27, as-29)
pobj(as-29, Shearson-30)
dep(print-32, that-31)
dep(Shearson-30, print-32)
poss(commentaries-36, their-33)
amod(commentaries-36, weekly-34)
nn(commentaries-36, market-35)
dobj(print-32, commentaries-36)
prep(print-32, on-37)
dep(on-37, Fridays-38)
prep(print-32, for-39)
pobj(for-39, dissemination-40)
det(week-43, the-41)
amod(week-43, following-42)
dep(dissemination-40, week-43)
punct(caught-13, .-44)

nsubj(have-13, Shearson-1)
punct(Shearson-1, ,-2)
det(unit-5, a-3)
amod(unit-5, 62%-owned-4)
dep(Shearson-1, unit-5)
prep(unit-5, of-6)
nn(Co.-9, American-7)
nn(Co.-9, Express-8)
pobj(of-6, Co.-9)
punct(Shearson-1, ,-10)
aux(have-13, did-11)
neg(have-13, n't-12)
root(ROOT-0, have-13)
