nn(Cos.-4, Marsh-1)
prep(Bar-2, from-4)
pcomp(from-4, setting-5)
advmod(stringent-7, more-6)
amod(levels-9, stringent-7)
nn(levels-9, tolerance-8)
dobj(setting-5, levels-9)
prep(levels-9, for-10)
det(pesticide-12, a-11)
pobj(for-10, pesticide-12)
mark(set-18, once-13)
det(government-16, the-14)
amod(government-16, federal-15)
nsubj(set-18, government-16)
aux(set-18, has-17)
advcl(setting-5, set-18)
det(standard-20, a-19)
dobj(set-18, standard-20)
punct(Bar-2, .-21)

punct(Give-2, ---1)
root(ROOT-0, Give-2)
det(EPA-4, the-3)
iobj(Give-2, EPA-4)
amod(discretion-6, added-5)
dobj(Give-2, discretion-6)
aux(set-8, to-7)
vmod(discretion-6, set-8)
punct(levels-13, ``-9)
amod(levels-13, negligible-10)
nn(levels-13, risk-11)
punct(levels-13, ''-12)
dobj(set-8, levels-13)
prep(set-8, for-14)
nn(residues-16, pesticide-15)
pobj(for-14, residues-16)
prep(residues-16, in-17)
amod(food-19, processed-18)
pobj(in-17, food-19)
punct(Give-2, .-20)

nsubjpass(barred-9, Chemicals-1)
dep(exceed-3, that-2)
ccomp(Chemicals-1, exceed-3)
det(levels-6, these-4)
nn(levels-6, risk-5)
dobj(exceed-3, levels-6)
aux(barred-9, would-7)
auxpass(barred-9, be-8)
root(ROOT-0, barred-9)
punct(barred-9, ,-10)
cc(barred-9, but-11)
nsubjpass(allowed-20, those-12)
dep(fall-14, that-13)
dep(those-12, fall-14)
prep(fall-14, below-15)
det(levels-17, these-16)
pobj(below-15, levels-17)
aux(allowed-20, would-18)
auxpass(allowed-20, be-19)
conj(barred-9, allowed-20)
punct(barred-9, .-21)

punct(Allow-2, ---1)
root(ROOT-0, Allow-2)
det(EPA-4, the-3)
dobj(Allow-2, EPA-4)
aux(permit-6, to-5)
xcomp(Allow-2, permit-6)
det(use-9, the-7)
amod(use-9, continued-8)
dobj(permit-6, use-9)
prep(use-9, of-10)
pobj(of-10, pesticides-11)
dep(exceed-13, that-12)
ccomp(pesticides-11, exceed-13)
poss(standard-17, its-14)
amod(standard-17, negligible-15)
nn(standard-17, risk-16)
dobj(exceed-13, standard-17)
mark(outweigh-24, if-18)
det(benefits-20, the-19)
nsubj(outweigh-24, benefits-20)
prep(benefits-20, of-21)
pcomp(of-21, doing-22)
advmod(doing-22, so-23)
advcl(permit-6, outweigh-24)
det(cost-26, the-25)
dobj(outweigh-24, cost-26)
punct(Allow-2, .-27)

amod(markets-2, Financial-1)
nsubj(took-3, markets-2)
root(ROOT-0, took-3)
det(break-6, a-4)
amod(break-6, midweek-5)
dobj(took-3, break-6)
prep(break-6, from-7)
poss(gyrations-11, their-8)
amod(gyrations-11, recent-9)
amod(gyrations-11, wild-10)
pobj(from-7, gyrations-11)
mark(falling-15, with-12)
nn(prices-14, stock-13)
nsubj(falling-15, prices-14)
advcl(took-3, falling-15)
advmod(falling-15, modestly-16)
punct(falling-15, ,-17)
nn(prices-19, bond-18)
nsubj(posting-20, prices-19)
conj(falling-15, posting-20)
amod(gains-22, tiny-21)
dobj(posting-20, gains-22)
cc(falling-15, and-23)
det(dollar-25, the-24)
dep(unchanged-27, dollar-25)
advmod(unchanged-27, almost-26)
conj(falling-15, unchanged-27)
punct(took-3, .-28)

det(Average-5, The-1)
nn(Average-5, Dow-2)
nn(Average-5, Jones-3)
nn(Average-5, Industrial-4)
nsubj(lost-6, Average-5)
root(ROOT-0, lost-6)
num(points-8, 5.94-7)
dobj(lost-6, points-8)
prep(lost-6, to-9)
dep(to-9, 2653.28-10)
prep(lost-6, in-11)
amod(trading-13, moderate-12)
pobj(in-11, trading-13)
punct(lost-6, .-14)

amod(bonds-3, Long-term-1)
nn(bonds-3, Treasury-2)
nsubj(rose-4, bonds-3)
root(ROOT-0, rose-4)
advmod(rose-4, slightly-5)
prep(rose-4, despite-6)
det(arrival-8, the-7)
pobj(despite-6, arrival-8)
prep(arrival-8, on-9)
det(market-11, the-10)
pobj(on-9, market-11)
prep(arrival-8, of-12)
pobj(of-12, $-13)
number(billion-15, 4.52-14)
num($-13, billion-15)
prep($-13, in-16)
amod(bonds-18, 30-year-17)
pobj(in-16, bonds-18)
vmod($-13, offered-19)
prep(offered-19, by-20)
det(Corp.-24, the-21)
nn(Corp.-24, Resolution-22)
nn(Corp.-24, Funding-23)
pobj(by-20, Corp.-24)
prep(offered-19, as-25)
pobj(as-25, part-26)
prep(part-26, of-27)
det(government-29, the-28)
poss(bailout-31, government-29)
possessive(government-29, 's-30)
pobj(of-27, bailout-31)
prep(bailout-31, of-32)
det(savings-34, the-33)
pobj(of-32, savings-34)
cc(savings-34, and-35)
nn(industry-37, loan-36)
conj(savings-34, industry-37)
punct(rose-4, .-38)

det(dollar-2, The-1)
nsubjpass(changed-5, dollar-2)
auxpass(changed-5, was-3)
advmod(changed-5, barely-4)
root(ROOT-0, changed-5)
prep(changed-5, against-6)
det(mark-10, the-7)
amod(German-9, West-8)
amod(mark-10, German-9)
pobj(against-6, mark-10)
cc(changed-5, and-11)
advmod(changed-5, up-12)
advmod(up-12, marginally-13)
prep(up-12, against-14)
det(yen-17, the-15)
amod(yen-17, Japanese-16)
pobj(against-14, yen-17)
punct(changed-5, .-18)

poss(action-4, Yesterday-1)
possessive(Yesterday-1, 's-2)
amod(action-4, sluggish-3)
nsubj(was-5, action-4)
root(ROOT-0, was-5)
prep(was-5, in-6)
amod(contrast-8, marked-7)
pobj(in-6, contrast-8)
prep(contrast-8, to-9)
det(rearing-11, the-10)
nn(Tuesday-17, rearing-11)
cc(rearing-11, and-12)
conj(rearing-11, plunging-13)
prep(Tuesday-17, of-14)
nn(prices-16, stock-15)
pobj(of-14, prices-16)
pobj(to-9, Tuesday-17)
prep(Tuesday-17, after-18)
det(buy-out-21, the-19)
amod(buy-out-21, proposed-20)
pcomp(after-18, buy-out-21)
prep(buy-out-21, of-22)
nn(Corp.-24, UAL-23)
pobj(of-22, Corp.-24)
advmod(again-26, once-25)
advmod(buy-out-21, again-26)
dep(buy-out-21, collapsed-27)
punct(was-5, .-28)

dep(said-2, Traders-1)
root(ROOT-0, said-2)
det(market-5, the-3)
nn(market-5, stock-4)
poss(moves-8, market-5)
possessive(market-5, 's-6)
amod(moves-8, lurching-7)
nsubj(prompted-10, moves-8)
aux(prompted-10, have-9)
ccomp(said-2, prompted-10)
amod(investors-12, many-11)
dobj(prompted-10, investors-12)
aux(head-14, to-13)
xcomp(prompted-10, head-14)
prep(head-14, for-15)
det(sidelines-17, the-16)
pobj(for-15, sidelines-17)
mark(regains-20, until-18)
dep(regains-20, it-19)
advcl(head-14, regains-20)
det(semblance-22, some-21)
dobj(regains-20, semblance-22)
prep(semblance-22, of-23)
dep(of-23, stability-24)
punct(said-2, .-25)

mark(volatile-7, Although-1)
nn(prices-3, bond-2)
nsubj(volatile-7, prices-3)
cop(volatile-7, were-4)
neg(volatile-7, n't-5)
advmod(volatile-7, as-6)
advcl(said-17, volatile-7)
prep(volatile-7, on-8)
nn(trading-10, Tuesday-9)
pobj(on-8, trading-10)
prep(volatile-7, as-11)
nn(prices-13, stock-12)
pobj(as-11, prices-13)
punct(said-17, ,-14)
dep(said-17, traders-15)
advmod(said-17, nevertheless-16)
root(ROOT-0, said-17)
dep(slower-22, action-18)
advmod(slower-22, also-19)
cop(slower-22, was-20)
advmod(slower-22, much-21)
ccomp(said-17, slower-22)
dep(slower-22, yesterday-23)
prep(slower-22, in-24)
det(market-27, the-25)
nn(market-27, Treasury-26)
pobj(in-24, market-27)
punct(said-17, .-28)

nn(investors-2, Bond-1)
nsubj(paid-3, investors-2)
root(ROOT-0, paid-3)
amod(attention-5, close-4)
dobj(paid-3, attention-5)
prep(attention-5, to-6)
pobj(to-6, comments-7)
prep(comments-7, by-8)
nn(Greenspan-13, Federal-9)
nn(Greenspan-13, Reserve-10)
nn(Greenspan-13, Chairman-11)
nn(Greenspan-13, Alan-12)
pobj(by-8, Greenspan-13)
punct(Greenspan-13, ,-14)
dep(testifying-17, who-15)
aux(testifying-17, was-16)
dep(Greenspan-13, testifying-17)
prep(testifying-17, before-18)
det(hearing-21, a-19)
amod(hearing-21, congressional-20)
pobj(before-18, hearing-21)
punct(paid-3, ,-22)
cc(paid-3, but-23)
cop(able-26, were-24)
neg(able-26, n't-25)
conj(paid-3, able-26)
aux(extract-28, to-27)
xcomp(able-26, extract-28)
amod(clues-30, many-29)
dobj(extract-28, clues-30)
prep(clues-30, about-31)
det(course-34, the-32)
amod(course-34, future-33)
pobj(about-31, course-34)
prep(course-34, of-35)
det(Fed-37, the-36)
poss(policy-40, Fed-37)
possessive(Fed-37, 's-38)
amod(policy-40, monetary-39)
pobj(of-35, policy-40)
punct(paid-3, .-41)

amod(analysts-2, Many-1)
nsubj(expecting-4, analysts-2)
aux(expecting-4, are-3)
root(ROOT-0, expecting-4)
det(Fed-6, the-5)
dobj(expecting-4, Fed-6)
aux(lower-8, to-7)
xcomp(expecting-4, lower-8)
nn(rates-10, interest-9)
dobj(lower-8, rates-10)
advmod(lower-8, at-11)
pobj(at-11, least-12)
advmod(at-11, once-13)
dep(at-11, more-14)
prep(lower-8, before-15)
det(end-17, the-16)
pobj(before-15, end-17)
prep(end-17, of-18)
det(year-20, the-19)
pobj(of-18, year-20)
punct(expecting-4, .-21)

dep(awaiting-4, Investors-1)
advmod(awaiting-4, now-2)
aux(awaiting-4, are-3)
root(ROOT-0, awaiting-4)
poss(release-7, today-5)
possessive(today-5, 's-6)
dobj(awaiting-4, release-7)
prep(release-7, of-8)
det(estimate-11, the-9)
amod(estimate-11, preliminary-10)
pobj(of-8, estimate-11)
prep(estimate-11, of-12)
nn(product-16, third-quarter-13)
amod(product-16, gross-14)
amod(product-16, national-15)
pobj(of-12, product-16)
punct(awaiting-4, .-17)

dep(predict-2, Economists-1)
root(ROOT-0, predict-2)
det(report-4, the-3)
nsubj(show-6, report-4)
aux(show-6, will-5)
ccomp(predict-2, show-6)
amod(growth-8, economic-7)
dobj(show-6, growth-8)
prep(growth-8, of-9)
quantmod(2.5-11, about-10)
num(%-12, 2.5-11)
pobj(of-9, %-12)
prep(growth-8, in-13)
det(quarter-16, the-14)
amod(quarter-16, third-15)
pobj(in-13, quarter-16)
punct(growth-8, ,-17)
dep(have-20, which-18)
aux(have-20, would-19)
dep(growth-8, have-20)
amod(effect-22, little-21)
dobj(have-20, effect-22)
prep(effect-22, on-23)
amod(markets-25, financial-24)
pobj(on-23, markets-25)
punct(predict-2, .-26)

cc(roil-8, But-1)
det(deviation-4, an-2)
amod(deviation-4, unexpected-3)
nsubj(roil-8, deviation-4)
det(way-6, either-5)
dep(deviation-4, way-6)
aux(roil-8, could-7)
root(ROOT-0, roil-8)
nn(markets-12, bond-9)
cc(bond-9, and-10)
conj(bond-9, currency-11)
dobj(roil-8, markets-12)
punct(roil-8, .-13)

root(ROOT-0, In-1)
amod(activity-4, major-2)
nn(activity-4, market-3)
pobj(In-1, activity-4)
punct(In-1, :-5)

nn(prices-2, Stock-1)
nsubj(slipped-3, prices-2)
root(ROOT-0, slipped-3)
dep(slipped-3, lower-4)
prep(slipped-3, in-5)
amod(trading-7, moderate-6)
pobj(in-5, trading-7)
punct(slipped-3, .-8)

nsubj(totaled-8, Volume-1)
prep(Volume-1, on-2)
det(Exchange-7, the-3)
nn(Exchange-7, New-4)
nn(Exchange-7, York-5)
nn(Exchange-7, Stock-6)
pobj(on-2, Exchange-7)
root(ROOT-0, totaled-8)
number(million-10, 155.7-9)
num(shares-11, million-10)
dobj(totaled-8, shares-11)
punct(totaled-8, .-12)

cc(were-8, But-1)
amod(issues-3, advancing-2)
nsubj(were-8, issues-3)
prep(issues-3, on-4)
det(Board-7, the-5)
nn(Board-7, Big-6)
pobj(on-4, Board-7)
root(ROOT-0, were-8)
advmod(were-8, ahead-9)
prep(ahead-9, of-10)
dep(of-10, decliners-11)
pobj(ahead-9, 784-12)
prep(784-12, to-13)
dep(to-13, 700-14)
punct(were-8, .-15)

nn(prices-2, Bond-1)
nsubj(inched-3, prices-2)
root(ROOT-0, inched-3)
dep(inched-3, higher-4)
punct(inched-3, .-5)

det(Treasury-2, The-1)
poss(issue-6, Treasury-2)
possessive(Treasury-2, 's-3)
nn(issue-6, benchmark-4)
amod(issue-6, 30-year-5)
nsubj(rose-7, issue-6)
root(ROOT-0, rose-7)
mwe(than-9, less-8)
quantmod(eighth-11, than-9)
quantmod(eighth-11, an-10)
dobj(rose-7, eighth-11)
prep(eighth-11, of-12)
det(point-14, a-13)
pobj(of-12, point-14)
punct(eighth-11, ,-15)
cc(eighth-11, or-16)
quantmod($-19, less-17)
quantmod($-19, than-18)
conj(eighth-11, $-19)
num($-19, 1.25-20)
prep(eighth-11, for-21)
det($-23, each-22)
pobj(for-21, $-23)
num($-23, 1,000-24)
prep($-23, of-25)
nn(amount-27, face-26)
pobj(of-25, amount-27)
punct(rose-7, .-28)

det(yield-2, The-1)
nsubj(stood-6, yield-2)
prep(yield-2, on-3)
det(issue-5, the-4)
pobj(on-3, issue-5)
root(ROOT-0, stood-6)
prep(stood-6, at-7)
num(%-9, 7.88-8)
pobj(at-7, %-9)
punct(stood-6, .-10)

det(dollar-2, The-1)
nsubj(unchanged-5, dollar-2)
cop(unchanged-5, was-3)
advmod(unchanged-5, virtually-4)
root(ROOT-0, unchanged-5)
punct(unchanged-5, .-6)

prep(quoted-10, In-1)
amod(trading-5, late-2)
nn(trading-5, New-3)
nn(trading-5, York-4)
pobj(In-1, trading-5)
det(currency-8, the-6)
nn(currency-8, U.S.-7)
nsubjpass(quoted-10, currency-8)
auxpass(quoted-10, was-9)
root(ROOT-0, quoted-10)
prep(quoted-10, at-11)
num(marks-13, 1.8353-12)
pobj(at-11, marks-13)
cc(marks-13, and-14)
num(yen-16, 141.52-15)
conj(marks-13, yen-16)
punct(quoted-10, ,-17)
prep(quoted-10, compared-18)
pcomp(compared-18, with-19)
num(marks-21, 1.8355-20)
nn(Tuesday-25, marks-21)
cc(marks-21, and-22)
num(yen-24, 141.45-23)
conj(marks-21, yen-24)
pobj(with-19, Tuesday-25)
punct(quoted-10, .-26)

det(years-3, A-1)
amod(years-3, few-2)
npadvmod(ago-4, years-3)
advmod(was-7, ago-4)
punct(was-7, ,-5)
dep(was-7, I-6)
root(ROOT-0, was-7)
prep(was-7, on-8)
det(panel-10, a-9)
pobj(on-8, panel-10)
prep(panel-10, of-11)
dep(of-11, journalists-12)
dep(discussed-14, that-13)
dep(panel-10, discussed-14)
det(image-17, the-15)
punct(image-17, ``-16)
dobj(discussed-14, image-17)
punct(image-17, ''-18)
prep(image-17, of-19)
amod(athletics-21, intercollegiate-20)
pobj(of-19, athletics-21)
prep(discussed-14, for-22)
det(audience-24, an-23)
pobj(for-22, audience-24)
prep(audience-24, of-25)
nn(directors-28, campus-26)
nn(directors-28, information-27)
pobj(of-25, directors-28)
cc(directors-28, and-29)
conj(directors-28, others-30)
punct(was-7, .-31)

dep(scribblers-2, We-1)
nsubj(concurred-4, scribblers-2)
advmod(concurred-4, quickly-3)
root(ROOT-0, concurred-4)
ccomp(concurred-4, that-5)
neg(only-7, not-6)
dep(that-5, only-7)
auxpass(earned-17, was-8)
det(rep-11, the-9)
amod(rep-11, bad-10)
nsubjpass(earned-17, rep-11)
prep(rep-11, of-12)
amod(sports-15, big-time-13)
nn(sports-15, college-14)
pobj(of-12, sports-15)
advmod(earned-17, richly-16)
conj(that-5, earned-17)
punct(that-5, ,-18)
cc(also-20, but-19)
cc(that-5, also-20)
mark(corrected-25, that-21)
dep(corrected-25, it-22)
aux(corrected-25, could-23)
auxpass(corrected-25, be-24)
conj(that-5, corrected-25)
punct(concurred-4, .-26)

dep(maintained-4, Competition-1)
aux(maintained-4, could-2)
auxpass(maintained-4, be-3)
ccomp(said-26, maintained-4)
punct(remain-10, ---5)
cc(remain-10, and-6)
dep(remain-10, stadiums-7)
advmod(remain-10, probably-8)
aux(remain-10, would-9)
parataxis(maintained-4, remain-10)
dep(remain-10, full-11)
punct(remain-10, ---12)
mark(reduced-16, if-13)
dep(reduced-16, schedules-14)
auxpass(reduced-16, were-15)
dep(maintained-4, reduced-16)
cc(reduced-16, and-17)
det(games-19, the-18)
nsubj(returned-20, games-19)
conj(reduced-16, returned-20)
prep(returned-20, to-21)
det(students-23, the-22)
pobj(to-21, students-23)
punct(said-26, ,-24)
dep(said-26, we-25)
root(ROOT-0, said-26)
punct(said-26, .-27)

nsubj(reflected-5, Comments-1)
prep(Comments-1, from-2)
det(audience-4, the-3)
pobj(from-2, audience-4)
root(ROOT-0, reflected-5)
amod(wistful-9, widespread-6)
punct(wistful-9, ,-7)
dep(wistful-9, if-8)
amod(agreement-11, wistful-9)
punct(wistful-9, ,-10)
dobj(reflected-5, agreement-11)
prep(agreement-11, with-12)
det(conclusions-14, those-13)
pobj(with-12, conclusions-14)
punct(reflected-5, .-15)

mark(broke-4, As-1)
det(session-3, the-2)
nsubj(broke-4, session-3)
advcl(approached-9, broke-4)
dep(broke-4, up-5)
punct(approached-9, ,-6)
dep(approached-9, I-7)
auxpass(approached-9, was-8)
root(ROOT-0, approached-9)
prep(approached-9, by-10)
det(man-12, a-11)
pobj(by-10, man-12)
dep(identified-14, who-13)
dep(man-12, identified-14)
dep(identified-14, himself-15)
prep(identified-14, as-16)
det(director-19, the-17)
nn(director-19, alumni-18)
pobj(as-16, director-19)
prep(director-19, of-20)
det(university-24, a-21)
nn(university-24, Big-22)
num(university-24, Ten-23)
pobj(of-20, university-24)
punct(approached-9, .-25)

punct(confided-35, ``-1)
dep(love-4, I-2)
aux(love-4, 'd-3)
ccomp(confided-35, love-4)
aux(see-6, to-5)
xcomp(love-4, see-6)
dep(cut-8, sports-7)
ccomp(see-6, cut-8)
advmod(cut-8, back-9)
punct(love-4, ,-10)
cc(love-4, and-11)
advmod(would-13, so-12)
conj(love-4, would-13)
det(lot-15, a-14)
nsubj(would-13, lot-15)
prep(lot-15, of-16)
poss(counterparts-18, my-17)
pobj(of-16, counterparts-18)
prep(counterparts-18, at-19)
amod(schools-21, other-20)
pobj(at-19, schools-21)
punct(love-4, ,-22)
cc(love-4, but-23)
dep(afraid-26, everybody-24)
cop(afraid-26, 's-25)
conj(love-4, afraid-26)
aux(make-28, to-27)
xcomp(afraid-26, make-28)
det(move-31, the-29)
amod(move-31, first-30)
dobj(make-28, move-31)
punct(confided-35, ,-32)
punct(confided-35, ''-33)
dep(confided-35, he-34)
root(ROOT-0, confided-35)
punct(confided-35, .-36)

punct('s-3, ``-1)
dep('s-3, It-2)
root(ROOT-0, 's-3)
prep('s-3, like-4)
det(U.S.-6, the-5)
pobj(like-4, U.S.-6)
cc(U.S.-6, and-7)
det(Russians-9, the-8)
conj(U.S.-6, Russians-9)
punct('s-3, :-10)
dep(wants-12, Nobody-11)
parataxis('s-3, wants-12)
aux(disarm-14, to-13)
xcomp(wants-12, disarm-14)
advmod(disarm-14, first-15)
punct('s-3, .-16)
punct('s-3, ''-17)

cc(lurch-8, And-1)
advmod(lurch-8, so-2)
poss(institutions-4, our-3)
nsubj(lurch-8, institutions-4)
prep(institutions-4, of-5)
amod(learning-7, higher-6)
pobj(of-5, learning-7)
root(ROOT-0, lurch-8)
prep(lurch-8, from-9)
dep(from-9, scandal-10)
prep(lurch-8, to-11)
dep(to-11, scandal-12)
prep(lurch-8, on-13)
pobj(on-13, gridiron-14)
cc(gridiron-14, and-15)
nn(court-17, basketball-16)
conj(gridiron-14, court-17)
punct(lurch-8, ,-18)
mark(casualties-21, while-19)
det(casualties-21, the-20)
advcl(lurch-8, casualties-21)
dep(casualties-21, mount-22)
punct(lurch-8, .-23)

num(books-3, Three-1)
amod(books-3, new-2)
nsubj(make-4, books-3)
root(ROOT-0, make-4)
det(point-6, the-5)
dobj(make-4, point-6)
mark(integrity-19, that-7)
num(price-10, one-8)
amod(price-10, large-9)
nsubj(integrity-19, price-10)
prep(price-10, of-11)
det(show-15, the-12)
nn(show-15, glittery-13)
amod(show-15, college-sports-14)
pobj(of-11, show-15)
aux(integrity-19, can-16)
cop(integrity-19, be-17)
det(integrity-19, the-18)
ccomp(point-6, integrity-19)
prep(integrity-19, of-20)
det(schools-22, the-21)
pobj(of-20, schools-22)
dep(stage-24, that-23)
dep(schools-22, stage-24)
dep(stage-24, it-25)
punct(make-4, .-26)

dep(Payroll-6, They-1)
cop(Payroll-6, are-2)
punct(Payroll-6, :-3)
punct(Payroll-6, ``-4)
nn(Payroll-6, A-5)
root(ROOT-0, Payroll-6)
aux(Meet-8, to-7)
vmod(Payroll-6, Meet-8)
punct(Payroll-6, :-9)
nn(Story-11, A-10)
dep(Payroll-6, Story-11)
prep(Story-11, of-12)
pobj(of-12, Greed-13)
punct(Greed-13, ,-14)
conj(Greed-13, Corruption-15)
cc(Greed-13, and-16)
conj(Greed-13, Football-17)
prep(Greed-13, at-18)
dep(at-18, SMU-19)
punct(Payroll-6, ''-20)
punct(pages-25, -LRB--21)
dep(pages-25, Macmillan-22)
punct(pages-25, ,-23)
num(pages-25, 221-24)
appos(Payroll-6, pages-25)
punct(pages-25, ,-26)
dep(pages-25, $-27)
num($-27, 18.95-28)
punct(pages-25, -RRB--29)
prep(Payroll-6, by-30)
nn(Whitford-32, David-31)
pobj(by-30, Whitford-32)
punct(Payroll-6, ;-33)
punct(Confidential-37, ``-34)
nn(Confidential-37, Big-35)
nn(Confidential-37, Red-36)
conj(Payroll-6, Confidential-37)
punct(Confidential-37, :-38)
prep(Confidential-37, Inside-39)
nn(Football-41, Nebraska-40)
dep(Inside-39, Football-41)
punct(Confidential-37, ''-42)
punct(pages-47, -LRB--43)
dep(pages-47, Contemporary-44)
punct(pages-47, ,-45)
num(pages-47, 231-46)
appos(Confidential-37, pages-47)
punct(pages-47, ,-48)
dep(pages-47, $-49)
num($-49, 17.95-50)
punct(pages-47, -RRB--51)
prep(Confidential-37, by-52)
nn(Keteyian-54, Armen-53)
pobj(by-52, Keteyian-54)
punct(Payroll-6, ;-55)
cc(Payroll-6, and-56)
punct(pages-74, ``-57)
dep(Death-65, Never-58)
dep(Death-65, Too-59)
amod(Too-59, Young-60)
xcomp(Too-59, to-61)
dep(to-61, Die-62)
punct(Death-65, :-63)
nn(Death-65, The-64)
dep(pages-74, Death-65)
prep(Death-65, of-66)
nn(Bias-68, Len-67)
pobj(of-66, Bias-68)
punct(pages-74, ''-69)
punct(pages-74, -LRB--70)
dep(pages-74, Pantheon-71)
punct(pages-74, ,-72)
num(pages-74, 252-73)
conj(Payroll-6, pages-74)
punct(pages-74, ,-75)
dep(pages-74, $-76)
num($-76, 18.95-77)
punct(pages-74, -RRB--78)
prep(pages-74, by-79)
nn(Cole-81, Lewis-80)
pobj(by-79, Cole-81)
punct(Payroll-6, .-82)

det(pick-2, The-1)
nsubj(is-6, pick-2)
prep(pick-2, of-3)
det(group-5, the-4)
pobj(of-3, group-5)
root(ROOT-0, is-6)
punct(is-6, ``-7)
dep(is-6, Payroll-8)
punct(is-6, ''-9)
punct(is-6, ;-10)
dep(reading-15, it-11)
aux(reading-15, should-12)
cop(reading-15, be-13)
amod(reading-15, required-14)
parataxis(is-6, reading-15)
prep(reading-15, for-16)
det(president-19, every-17)
nn(president-19, college-18)
pobj(for-16, president-19)
punct(is-6, .-20)

dep(chronicles-2, It-1)
root(ROOT-0, chronicles-2)
advmod(bought-16, how-3)
punct(bought-16, ,-4)
prep(bought-16, over-5)
det(period-7, a-6)
pobj(over-5, period-7)
prep(period-7, of-8)
det(years-11, a-9)
nn(years-11, dozen-10)
pobj(of-8, years-11)
punct(bought-16, ,-12)
nn(University-15, Southern-13)
nn(University-15, Methodist-14)
nsubj(bought-16, University-15)
ccomp(chronicles-2, bought-16)
poss(way-18, its-17)
dobj(bought-16, way-18)
prep(way-18, to-19)
nn(respectability-21, football-20)
pobj(to-19, respectability-21)
prep(respectability-21, in-22)
det(Conference-25, the-23)
nn(Conference-25, Southwest-24)
pobj(in-22, Conference-25)
punct(bought-16, ,-26)
advmod(find-29, only-27)
aux(find-29, to-28)
vmod(bought-16, find-29)
dep(trapped-31, itself-30)
dep(find-29, trapped-31)
cc(trapped-31, and-32)
conj(trapped-31, strangled-33)
prep(trapped-31, by-34)
det(system-37, the-35)
amod(system-37, athlete-payoff-36)
pobj(by-34, system-37)
dep(created-39, it-38)
rcmod(system-37, created-39)
punct(chronicles-2, .-40)

det(school-2, The-1)
nsubj(was-3, school-2)
root(ROOT-0, was-3)
det(first-5, the-4)
dobj(was-3, first-5)
punct(receive-11, ,-6)
prep(receive-11, in-7)
dep(in-7, 1987-8)
punct(receive-11, ,-9)
aux(receive-11, to-10)
xcomp(was-3, receive-11)
det(NCAA-13, the-12)
poss(penalty-17, NCAA-13)
possessive(NCAA-13, 's-14)
punct(penalty-17, ``-15)
nn(penalty-17, death-16)
dobj(receive-11, penalty-17)
punct(penalty-17, ''-18)
punct(penalty-17, ---19)
num(years-21, two-20)
dep(penalty-17, years-21)
prep(years-21, without-22)
dep(without-22, football-23)
punct(penalty-17, ---24)
prep(receive-11, for-25)
amod(violations-28, repeated-26)
nn(violations-28, rules-27)
pobj(for-25, violations-28)
punct(was-3, .-29)

prep(last-15, Given-1)
amod(headlines-3, current-2)
pobj(Given-1, headlines-3)
prep(headlines-3, about-4)
det(University-6, the-5)
pobj(about-4, University-6)
prep(University-6, of-7)
dep(of-7, Florida-8)
punct(last-15, ,-9)
dep(last-15, it-10)
aux(last-15, may-11)
neg(last-15, not-12)
cop(last-15, be-13)
det(last-15, the-14)
root(ROOT-0, last-15)
punct(last-15, .-16)

det(man-2, The-1)
nsubj(Meyer-13, man-2)
dep(brought-4, who-3)
dep(man-2, brought-4)
det(bribe-6, the-5)
dobj(brought-4, bribe-6)
prep(brought-4, to-7)
det(school-10, the-8)
nn(school-10, Dallas-9)
pobj(to-7, school-10)
cop(Meyer-13, was-11)
nn(Meyer-13, Ron-12)
ccomp(writes-30, Meyer-13)
punct(Meyer-13, ,-14)
det(sort-17, a-15)
amod(sort-17, flashy-16)
appos(Meyer-13, sort-17)
dep(came-19, who-18)
dep(sort-17, came-19)
prep(came-19, in-20)
dep(in-20, 1975-21)
aux(rescue-23, to-22)
xcomp(came-19, rescue-23)
det(program-26, a-24)
amod(program-26, woebegone-25)
dobj(rescue-23, program-26)
punct(writes-30, ,-27)
nn(Whitford-29, Mr.-28)
nsubj(writes-30, Whitford-29)
root(ROOT-0, writes-30)
punct(writes-30, .-31)

nn(Meyer-2, Mr.-1)
poss(style-5, Meyer-2)
possessive(Meyer-2, 's-3)
amod(style-5, personal-4)
nsubjpass(illustrated-7, style-5)
auxpass(illustrated-7, was-6)
root(ROOT-0, illustrated-7)
prep(illustrated-7, by-8)
dep(pinning-10, his-9)
pcomp(by-8, pinning-10)
det(bill-14, a-11)
amod(bill-14, $-12)
number($-12, 100-13)
dobj(pinning-10, bill-14)
prep(pinning-10, to-15)
det(board-19, a-16)
nn(board-19, high-school-17)
nn(board-19, bulletin-18)
pobj(to-15, board-19)
prep(tacked-24, on-20)
dep(on-20, which-21)
amod(coaches-23, other-22)
nsubj(tacked-24, coaches-23)
rcmod(board-19, tacked-24)
poss(cards-26, their-25)
dobj(tacked-24, cards-26)
punct(illustrated-7, .-27)

num(recruiter-2, One-1)
nsubj(generous-9, recruiter-2)
vmod(recruiter-2, working-3)
prep(working-3, with-4)
nn(Meyer-6, Mr.-5)
pobj(with-4, Meyer-6)
cop(generous-9, was-7)
advmod(generous-9, so-8)
root(ROOT-0, generous-9)
prep(generous-9, with-10)
amod(bills-16, $-11)
number($-11, 10-12)
cc($-11, and-13)
conj($-11, $-14)
