advmod(Monday-7, No-1)
nsubj(rotting-32, shipments-30)
aux(rotting-32, were-31)
conj(piled-20, rotting-32)
advmod(of-34, because-33)
prep(rotting-32, of-34)
det(lack-36, a-35)
pobj(of-34, lack-36)
prep(lack-36, of-37)
pobj(of-37, people-38)
cc(people-38, and-39)
conj(people-38, equipment-40)
aux(move-42, to-41)
vmod(people-38, move-42)
det(cargo-44, the-43)
dobj(move-42, cargo-44)
punct(reported-4, .-45)

nsubjpass(cited-5, Strikes-1)
cc(Strikes-1, and-2)
conj(Strikes-1, mismanagement-3)
auxpass(cited-5, were-4)
root(ROOT-0, cited-5)
punct(cited-5, ,-6)
cc(cited-5, and-7)
nn(Ryzhkov-9, Premier-8)
nsubj(warned-10, Ryzhkov-9)
conj(cited-5, warned-10)
prep(warned-10, of-11)
punct(of-11, ``-12)
amod(measures-14, tough-13)
pobj(of-11, measures-14)
punct(cited-5, .-15)
punct(cited-5, ''-16)

dep(indicated-2, Bush-1)
root(ROOT-0, indicated-2)
dep(room-7, there-3)
aux(room-7, might-4)
cop(room-7, be-5)
punct(room-7, ``-6)
ccomp(indicated-2, room-7)
prep(room-7, for-8)
dep(for-8, flexibility-9)
punct(room-7, ''-10)
prep(room-7, in-11)
det(bill-13, a-12)
pobj(in-11, bill-13)
aux(allow-15, to-14)
vmod(bill-13, allow-15)
amod(funding-17, federal-16)
dobj(allow-15, funding-17)
prep(funding-17, of-18)
dep(of-18, abortions-19)
prep(funding-17, for-20)
amod(women-22, poor-21)
pobj(for-20, women-22)
dep(vicitims-25, who-23)
cop(vicitims-25, are-24)
dep(women-22, vicitims-25)
prep(vicitims-25, of-26)
pobj(of-26, rape-27)
cc(rape-27, and-28)
conj(rape-27, incest-29)
punct(indicated-2, .-30)

dep(reiterated-2, He-1)
root(ROOT-0, reiterated-2)
poss(opposition-4, his-3)
dobj(reiterated-2, opposition-4)
prep(opposition-4, to-5)
amod(funding-7, such-6)
pobj(to-5, funding-7)
punct(reiterated-2, ,-8)
cc(reiterated-2, but-9)
conj(reiterated-2, expressed-10)
dobj(expressed-10, hope-11)
prep(hope-11, of-12)
det(compromise-14, a-13)
pobj(of-12, compromise-14)
punct(reiterated-2, .-15)

det(president-2, The-1)
nsubj(renewed-11, president-2)
punct(renewed-11, ,-3)
prep(renewed-11, at-4)
det(conference-7, a-5)
nn(conference-7, news-6)
nn(Friday-8, conference-7)
pobj(at-4, Friday-8)
punct(renewed-11, ,-9)
advmod(renewed-11, also-10)
root(ROOT-0, renewed-11)
det(call-13, a-12)
dobj(renewed-11, call-13)
prep(call-13, for-14)
det(ouster-16, the-15)
pobj(for-14, ouster-16)
prep(ouster-16, of-17)
poss(Noriega-20, Panama-18)
possessive(Panama-18, 's-19)
pobj(of-17, Noriega-20)
punct(renewed-11, .-21)

det(House-3, The-1)
nn(House-3, White-2)
nsubj(said-4, House-3)
root(ROOT-0, said-4)
dep(have-6, minors-5)
ccomp(said-4, have-6)
neg(have-6, n't-7)
det(right-9, any-8)
dobj(have-6, right-9)
prep(right-9, to-10)
pobj(to-10, abortion-11)
prep(abortion-11, without-12)
det(consent-14, the-13)
pobj(without-12, consent-14)
prep(consent-14, of-15)
poss(parents-17, their-16)
pobj(of-15, parents-17)
punct(said-4, .-18)

det(administration-2, The-1)
poss(policy-4, administration-2)
possessive(administration-2, 's-3)
nsubjpass(stated-6, policy-4)
auxpass(stated-6, was-5)
root(ROOT-0, stated-6)
prep(stated-6, in-7)
det(brief-10, a-8)
amod(brief-10, friend-of-the-court-9)
pobj(in-7, brief-10)
vmod(brief-10, urging-11)
det(Court-14, the-12)
nn(Court-14, Supreme-13)
dobj(urging-11, Court-14)
aux(give-16, to-15)
xcomp(urging-11, give-16)
dep(give-16, states-17)
amod(leeway-19, more-18)
dobj(give-16, leeway-19)
aux(restrict-21, to-20)
vmod(leeway-19, restrict-21)
dep(restrict-21, abortions-22)
punct(stated-6, .-23)

nsubj(called-10, Ten-1)
prep(Ten-1, of-2)
det(nation-4, the-3)
poss(governors-6, nation-4)
possessive(nation-4, 's-5)
pobj(of-2, governors-6)
punct(called-10, ,-7)
advmod(called-10, meanwhile-8)
punct(called-10, ,-9)
root(ROOT-0, called-10)
prep(called-10, on-11)
det(justices-13, the-12)
pobj(on-11, justices-13)
aux(reject-15, to-14)
xcomp(called-10, reject-15)
dobj(reject-15, efforts-16)
aux(limit-18, to-17)
vmod(efforts-16, limit-18)
dep(limit-18, abortions-19)
punct(called-10, .-20)

det(Department-3, The-1)
nn(Department-3, Justice-2)
nsubj(announced-4, Department-3)
root(ROOT-0, announced-4)
mark(given-10, that-5)
det(FBI-7, the-6)
nsubjpass(given-10, FBI-7)
aux(given-10, has-8)
auxpass(given-10, been-9)
ccomp(announced-4, given-10)
det(authority-12, the-11)
dobj(given-10, authority-12)
aux(seize-14, to-13)
vmod(authority-12, seize-14)
nn(fugitives-16, U.S.-15)
dobj(seize-14, fugitives-16)
advmod(seize-14, overseas-17)
prep(seize-14, without-18)
det(permission-20, the-19)
pobj(without-18, permission-20)
prep(permission-20, of-21)
amod(governments-23, foreign-22)
pobj(of-21, governments-23)
punct(announced-4, .-24)

dep(Baker-4, Secretary-1)
prep(Secretary-1, of-2)
dep(of-2, State-3)
nsubj(emphasized-5, Baker-4)
root(ROOT-0, emphasized-5)
dep(emphasized-5, Friday-6)
mark(invoked-14, that-7)
det(policy-10, the-8)
amod(policy-10, new-9)
nsubjpass(invoked-14, policy-10)
aux(invoked-14, would-11)
neg(invoked-14, n't-12)
auxpass(invoked-14, be-13)
ccomp(emphasized-5, invoked-14)
prep(invoked-14, by-15)
det(administration-18, the-16)
nn(administration-18, Bush-17)
pobj(by-15, administration-18)
prep(invoked-14, without-19)
amod(consideration-21, full-20)
pobj(without-19, consideration-21)
prep(consideration-21, of-22)
nn(implications-24, foreign-policy-23)
pobj(of-22, implications-24)
punct(emphasized-5, .-25)

dep(pronounced-2, NASA-1)
root(ROOT-0, pronounced-2)
det(Atlantis-6, the-3)
nn(Atlantis-6, space-4)
nn(Atlantis-6, shuttle-5)
nsubj(ready-7, Atlantis-6)
xcomp(pronounced-2, ready-7)
prep(ready-7, for-8)
nn(tomorrow-10, launch-9)
pobj(for-8, tomorrow-10)
prep(tomorrow-10, following-11)
det(postponement-14, a-12)
amod(postponement-14, five-day-13)
pobj(following-11, postponement-14)
prep(postponement-14, of-15)
det(flight-17, the-16)
pobj(of-15, flight-17)
mwe(of-19, because-18)
prep(postponement-14, of-19)
det(computer-23, a-20)
amod(computer-23, faulty-21)
nn(computer-23, engine-22)
pobj(of-19, computer-23)
punct(pronounced-2, .-24)

det(device-2, The-1)
nsubjpass(replaced-4, device-2)
auxpass(replaced-4, was-3)
root(ROOT-0, replaced-4)
punct(replaced-4, .-5)

det(spacecraft-2, The-1)
poss(astronauts-5, spacecraft-2)
possessive(spacecraft-2, 's-3)
num(astronauts-5, five-4)
nsubj(are-6, astronauts-5)
root(ROOT-0, are-6)
aux(dispatch-8, to-7)
xcomp(are-6, dispatch-8)
det(probe-12, the-9)
nn(probe-12, Galileo-10)
nn(probe-12, space-11)
dobj(dispatch-8, probe-12)
prep(dispatch-8, on-13)
det(mission-16, an-14)
nn(mission-16, exploration-15)
pobj(on-13, mission-16)
prep(mission-16, to-17)
dep(to-17, Jupiter-18)
punct(are-6, .-19)

nn(Korea-2, South-1)
poss(Roh-5, Korea-2)
possessive(Korea-2, 's-3)
nn(Roh-5, President-4)
nsubj(traveled-6, Roh-5)
root(ROOT-0, traveled-6)
prep(traveled-6, to-7)
det(U.S.-9, the-8)
pobj(to-7, U.S.-9)
prep(traveled-6, for-10)
det(visit-13, a-11)
amod(visit-13, five-day-12)
pobj(for-10, visit-13)
dobj(focus-18, that-14)
auxpass(expected-16, is-15)
dep(visit-13, expected-16)
aux(focus-18, to-17)
xcomp(expected-16, focus-18)
prep(focus-18, on-19)
pobj(on-19, ties-20)
prep(ties-20, between-21)
pobj(between-21, Washington-22)
cc(Washington-22, and-23)
conj(Washington-22, Seoul-24)
punct(traveled-6, .-25)

nsubj(is-18, Roh-1)
punct(Roh-1, ,-2)
dep(facing-5, who-3)
aux(facing-5, is-4)
dep(Roh-1, facing-5)
dobj(facing-5, calls-6)
prep(calls-6, for-7)
det(reduction-9, the-8)
pobj(for-7, reduction-9)
prep(reduction-9, of-10)
nn(forces-13, U.S.-11)
amod(forces-13, military-12)
pobj(of-10, forces-13)
prep(forces-13, in-14)
nn(Korea-16, South-15)
pobj(in-14, Korea-16)
punct(Roh-1, ,-17)
root(ROOT-0, is-18)
aux(meet-20, to-19)
xcomp(is-18, meet-20)
prep(meet-20, with-21)
dep(with-21, Bush-22)
dep(meet-20, tomorrow-23)
cc(is-18, and-24)
conj(is-18, is-25)
aux(address-27, to-26)
xcomp(is-25, address-27)
det(session-30, a-28)
amod(session-30, joint-29)
dobj(address-27, session-30)
prep(session-30, of-31)
dep(of-31, Congress-32)
prep(address-27, on-33)
dep(on-33, Wednesday-34)
punct(is-18, .-35)

poss(leadership-4, China-1)
possessive(China-1, 's-2)
amod(leadership-4, Communist-3)
nsubj(voted-5, leadership-4)
root(ROOT-0, voted-5)
aux(purge-7, to-6)
xcomp(voted-5, purge-7)
det(party-9, the-8)
dobj(purge-7, party-9)
prep(purge-7, of-10)
punct(elements-15, ``-11)
amod(elements-15, hostile-12)
cc(hostile-12, and-13)
conj(hostile-12, anti-party-14)
pobj(of-10, elements-15)
punct(elements-15, ''-16)
cc(elements-15, and-17)
amod(businessmen-20, wealthy-18)
amod(businessmen-20, private-19)
conj(elements-15, businessmen-20)
punct(businessmen-20, ,-21)
dep(called-24, whom-22)
dep(called-24, they-23)
dep(businessmen-20, called-24)
dep(called-24, exploiters-25)
punct(voted-5, .-26)

det(decision-2, The-1)
nsubj(indicated-12, decision-2)
punct(indicated-12, ,-3)
vmod(indicated-12, reported-4)
prep(reported-4, by-5)
det(Agency-10, the-6)
amod(Agency-10, official-7)
nn(Agency-10, Xinhua-8)
nn(Agency-10, News-9)
pobj(by-5, Agency-10)
punct(indicated-12, ,-11)
root(ROOT-0, indicated-12)
mark(is-23, that-13)
det(crackdown-15, the-14)
nsubj(is-23, crackdown-15)
vmod(crackdown-15, prompted-16)
prep(prompted-16, by-17)
amod(protests-20, student-led-18)
amod(protests-20, pro-democracy-19)
pobj(by-17, protests-20)
prep(protests-20, in-21)
dep(in-21, June-22)
ccomp(indicated-12, is-23)
dep(is-23, intensifying-24)
punct(indicated-12, .-25)

nsubj(flocked-5, Hundreds-1)
prep(Hundreds-1, of-2)
nn(Germans-4, East-3)
pobj(of-2, Germans-4)
root(ROOT-0, flocked-5)
prep(flocked-5, to-6)
poss(Embassy-9, Bonn-7)
possessive(Bonn-7, 's-8)
pobj(to-6, Embassy-9)
prep(Embassy-9, in-10)
dep(in-10, Warsaw-11)
punct(flocked-5, ,-12)
xcomp(flocked-5, bringing-13)
prep(bringing-13, to-14)
mwe(than-16, more-15)
quantmod(1,200-17, than-16)
dep(to-14, 1,200-17)
det(number-19, the-18)
dobj(bringing-13, number-19)
prep(number-19, of-20)
dep(of-20, emigres-21)
vmod(number-19, expected-22)
aux(flee-24, to-23)
xcomp(expected-22, flee-24)
prep(flee-24, to-25)
det(West-27, the-26)
pobj(to-25, West-27)
prep(flee-24, beginning-28)
dep(beginning-28, today-29)
punct(flocked-5, .-30)

mwe(than-2, More-1)
quantmod(2,100-3, than-2)
num(others-4, 2,100-3)
nsubj(escaped-5, others-4)
root(ROOT-0, escaped-5)
prep(escaped-5, to-6)
nn(Germany-8, West-7)
pobj(to-6, Germany-8)
prep(escaped-5, through-9)
dep(through-9, Hungary-10)
prep(escaped-5, over-11)
det(Weekend-13, the-12)
pobj(over-11, Weekend-13)
punct(escaped-5, .-14)

prep(vowed-5, In-1)
dep(In-1, Leipzig-2)
punct(vowed-5, ,-3)
dep(vowed-5, activists-4)
root(ROOT-0, vowed-5)
aux(continue-7, to-6)
xcomp(vowed-5, continue-7)
nn(protests-9, street-8)
dobj(continue-7, protests-9)
aux(demand-11, to-10)
vmod(protests-9, demand-11)
amod(change-13, internal-12)
dobj(demand-11, change-13)
punct(vowed-5, .-14)

poss(Mobutu-4, Zaire-1)
possessive(Zaire-1, 's-2)
nn(Mobutu-4, President-3)
nsubj(met-5, Mobutu-4)
root(ROOT-0, met-5)
prep(met-5, in-6)
amod(France-8, southern-7)
pobj(in-6, France-8)
prep(met-5, with-9)
amod(Savimbi-13, Angolan-10)
nn(Savimbi-13, rebel-11)
nn(Savimbi-13, leader-12)
pobj(with-9, Savimbi-13)
cc(Savimbi-13, and-14)
det(envoy-18, a-15)
amod(envoy-18, senior-16)
nn(envoy-18, U.S.-17)
conj(Savimbi-13, envoy-18)
prep(met-5, in-19)
det(bid-21, a-20)
pobj(in-19, bid-21)
aux(revive-23, to-22)
vmod(bid-21, revive-23)
det(accord-25, an-24)
dobj(revive-23, accord-25)
aux(end-27, to-26)
vmod(accord-25, end-27)
poss(war-31, Angola-28)
possessive(Angola-28, 's-29)
amod(war-31, civil-30)
dobj(end-27, war-31)
punct(met-5, .-32)

nsubjpass(disclosed-19, Details-1)
prep(Details-1, of-2)
det(talks-4, the-3)
pobj(of-2, talks-4)
punct(talks-4, ,-5)
vmod(talks-4, described-6)
prep(described-6, by-7)
det(official-10, a-8)
amod(official-10, Zairean-9)
pobj(by-7, official-10)
prep(described-6, as-11)
punct(as-11, ``-12)
advmod(delicate-14, very-13)
pobj(as-11, delicate-14)
punct(talks-4, ,-15)
punct(talks-4, ''-16)
auxpass(disclosed-19, were-17)
neg(disclosed-19, n't-18)
root(ROOT-0, disclosed-19)
punct(disclosed-19, .-20)

nn(Arafat-3, PLO-1)
nn(Arafat-3, leader-2)
nsubj(insisted-4, Arafat-3)
root(ROOT-0, insisted-4)
prep(insisted-4, on-5)
pobj(on-5, guarantees-6)
mark(be-15, that-7)
det(elections-9, any-8)
nsubj(be-15, elections-9)
prep(elections-9, in-10)
det(territories-13, the-11)
amod(territories-13, Israeli-occupied-12)
pobj(in-10, territories-13)
aux(be-15, would-14)
ccomp(guarantees-6, be-15)
dep(be-15, impartial-16)
punct(insisted-4, .-17)

dep(made-2, He-1)
root(ROOT-0, made-2)
poss(remarks-4, his-3)
dobj(made-2, remarks-4)
prep(made-2, to-5)
det(gathering-8, a-6)
nn(gathering-8, PLO-7)
pobj(to-5, gathering-8)
prep(gathering-8, in-9)
dep(in-9, Baghdad-10)
punct(made-2, .-11)

prep(rejected-12, In-1)
det(lands-4, the-2)
amod(lands-4, occupied-3)
pobj(In-1, lands-4)
punct(rejected-12, ,-5)
amod(leaders-7, underground-6)
nsubj(rejected-12, leaders-7)
prep(leaders-7, of-8)
det(uprising-11, the-9)
amod(uprising-11, Arab-10)
pobj(of-8, uprising-11)
root(ROOT-0, rejected-12)
det(plan-15, a-13)
nn(plan-15, U.S.-14)
dobj(rejected-12, plan-15)
aux(arrange-17, to-16)
vmod(plan-15, arrange-17)
amod(talks-19, Israeli-Palestinian-18)
dobj(arrange-17, talks-19)
mark(opposed-22, as-20)
dep(opposed-22, Shamir-21)
advcl(rejected-12, opposed-22)
xcomp(opposed-22, holding-23)
amod(discussions-25, such-24)
dobj(holding-23, discussions-25)
prep(holding-23, in-26)
dep(in-26, Cairo-27)
punct(rejected-12, .-28)

amod(lawmakers-3, Lebanese-1)
amod(lawmakers-3, Christian-2)
nsubj(presented-4, lawmakers-3)
root(ROOT-0, presented-4)
prep(presented-4, to-5)
nn(mediators-7, Arab-6)
pobj(to-5, mediators-7)
prep(presented-4, at-8)
pobj(at-8, talks-9)
prep(talks-9, in-10)
nn(Arabia-12, Saudi-11)
pobj(in-10, Arabia-12)
dobj(presented-4, proposals-13)
prep(proposals-13, for-14)
det(timetable-17, a-15)
amod(timetable-17, new-16)
pobj(for-14, timetable-17)
prep(timetable-17, for-18)
det(withdrawal-20, the-19)
pobj(for-18, withdrawal-20)
prep(withdrawal-20, of-21)
poss(forces-24, Syria-22)
possessive(Syria-22, 's-23)
pobj(of-21, forces-24)
prep(withdrawal-20, from-25)
dep(from-25, Lebanon-26)
punct(presented-4, .-27)

det(plan-2, A-1)
nsubj(gives-6, plan-2)
advmod(plan-2, currently-3)
prep(plan-2, under-4)
dep(under-4, study-5)
root(ROOT-0, gives-6)
dep(gives-6, Damascus-7)
num(years-9, two-8)
dobj(gives-6, years-9)
aux(pull-11, to-10)
vmod(years-9, pull-11)
advmod(pull-11, back-12)
prep(back-12, to-13)
amod(Lebanon-15, eastern-14)
pobj(to-13, Lebanon-15)
punct(years-9, ,-16)
prep(years-9, starting-17)
pcomp(starting-17, from-18)
det(time-20, the-19)
pobj(from-18, time-20)
poss(legislature-23, Beirut-21)
possessive(Beirut-21, 's-22)
nsubj(increases-24, legislature-23)
rcmod(time-20, increases-24)
amod(power-26, political-25)
dobj(increases-24, power-26)
prep(power-26, for-27)
dep(for-27, Moslems-28)
punct(gives-6, .-29)

nn(Jerry-2, Hurricane-1)
nsubj(threatened-3, Jerry-2)
root(ROOT-0, threatened-3)
aux(combine-5, to-4)
xcomp(threatened-3, combine-5)
prep(combine-5, with-6)
det(tides-9, the-7)
amod(tides-9, highest-8)
pobj(with-6, tides-9)
prep(tides-9, of-10)
det(year-12, the-11)
pobj(of-10, year-12)
aux(swamp-14, to-13)
xcomp(combine-5, swamp-14)
det(coast-17, the-15)
nn(coast-17, Texas-Louisiana-16)
dobj(swamp-14, coast-17)
punct(threatened-3, .-18)

nsubjpass(ordered-8, Thousands-1)
prep(Thousands-1, of-2)
pobj(of-2, residents-3)
prep(residents-3, of-4)
amod(areas-6, low-lying-5)
pobj(of-4, areas-6)
auxpass(ordered-8, were-7)
root(ROOT-0, ordered-8)
xcomp(ordered-8, to-9)
dep(to-9, evacuate-10)
mark(headed-14, as-11)
det(storm-13, the-12)
nsubj(headed-14, storm-13)
advcl(ordered-8, headed-14)
advmod(headed-14, north-15)
prep(headed-14, in-16)
det(Gulf-18, the-17)
pobj(in-16, Gulf-18)
prep(Gulf-18, of-19)
dep(of-19, Mexico-20)
prep(headed-14, with-21)
number(mph-23, 80-22)
amod(winds-24, mph-23)
pobj(with-21, winds-24)
punct(ordered-8, .-25)

det(group-2, A-1)
nsubj(said-7, group-2)
prep(group-2, of-3)
poss(franchisees-6, Arby-4)
possessive(Arby-4, 's-5)
pobj(of-3, franchisees-6)
root(ROOT-0, said-7)
dep(formed-9, they-8)
ccomp(said-7, formed-9)
det(association-11, an-10)
dobj(formed-9, association-11)
aux(oppose-13, to-12)
vmod(association-11, oppose-13)
nn(Posner-18, Miami-14)
nn(Posner-18, Beach-15)
nn(Posner-18, financier-16)
nn(Posner-18, Victor-17)
poss(control-20, Posner-18)
possessive(Posner-18, 's-19)
dobj(oppose-13, control-20)
prep(control-20, of-21)
det(chain-24, the-22)
nn(chain-24, restaurant-23)
pobj(of-21, chain-24)
punct(said-7, .-25)

det(decision-2, The-1)
nsubj(move-6, decision-2)
cop(move-6, is-3)
det(move-6, the-4)
amod(move-6, latest-5)
root(ROOT-0, move-6)
prep(move-6, in-7)
det(battle-10, an-8)
amod(battle-10, escalating-9)
pobj(in-7, battle-10)
prep(battle-10, between-11)
det(franchisees-13, the-12)
pobj(between-11, franchisees-13)
cc(franchisees-13, and-14)
nn(Posner-16, Mr.-15)
conj(franchisees-13, Posner-16)
dep(began-18, that-17)
dep(battle-10, began-18)
prep(began-18, in-19)
dep(in-19, August-20)
punct(move-6, .-21)

prep(offered-21, At-1)
det(time-3, the-2)
pobj(At-1, time-3)
punct(offered-21, ,-4)
det(group-6, a-5)
nsubj(offered-21, group-6)
vmod(group-6, called-7)
nn(Ltd.-10, R.B.-8)
nn(Ltd.-10, Partners-9)
dep(called-7, Ltd.-10)
punct(group-6, ,-11)
vmod(group-6, consisting-12)
prep(consisting-12, of-13)
pobj(of-13, eight-14)
prep(eight-14, of-15)
poss(franchisees-19, Arby-16)
possessive(Arby-16, 's-17)
amod(franchisees-19, largest-18)
pobj(of-15, franchisees-19)
punct(group-6, ,-20)
root(ROOT-0, offered-21)
quantmod($-24, more-22)
quantmod($-24, than-23)
dobj(offered-21, $-24)
number(million-26, 200-25)
num($-24, million-26)
aux(buy-28, to-27)
vmod(offered-21, buy-28)
poss(Inc.-31, Arby-29)
possessive(Arby-29, 's-30)
dobj(buy-28, Inc.-31)
punct(Inc.-31, ,-32)
dep(part-35, which-33)
cop(part-35, is-34)
dep(Inc.-31, part-35)
prep(part-35, of-36)
nn(Corp-38, DWG-37)
pobj(of-36, Corp-38)
punct(offered-21, .-39)

dep(company-5, DWG-1)
cop(company-5, is-2)
det(company-5, a-3)
nn(company-5, holding-4)
root(ROOT-0, company-5)
vmod(company-5, controlled-6)
prep(controlled-6, by-7)
nn(Posner-9, Mr.-8)
pobj(by-7, Posner-9)
punct(company-5, .-10)

num(week-2, One-1)
npadvmod(later-3, week-2)
advmod(fired-19, later-3)
punct(fired-19, ,-4)
nn(Roberts-7, Leonard-5)
nn(Roberts-7, H.-6)
nsubjpass(fired-19, Roberts-7)
punct(Roberts-7, ,-8)
appos(Roberts-7, president-9)
cc(president-9, and-10)
amod(officer-13, chief-11)
amod(officer-13, executive-12)
conj(president-9, officer-13)
prep(president-9, of-14)
pobj(of-14, Arby-15)
possessive(Arby-15, 's-16)
punct(Roberts-7, ,-17)
auxpass(fired-19, was-18)
root(ROOT-0, fired-19)
prep(fired-19, in-20)
det(dispute-22, a-21)
pobj(in-20, dispute-22)
prep(dispute-22, with-23)
nn(Posner-25, Mr.-24)
pobj(with-23, Posner-25)
punct(fired-19, .-26)

dep(announced-5, Friday-1)
punct(announced-5, ,-2)
num(franchisees-4, 42-3)
nsubj(announced-5, franchisees-4)
root(ROOT-0, announced-5)
det(formation-7, the-6)
dobj(announced-5, formation-7)
prep(formation-7, of-8)
det(association-10, an-9)
pobj(of-8, association-10)
punct(called-12, ---11)
dep(association-10, called-12)
nn(Inc.-15, A.P.-13)
nn(Inc.-15, Association-14)
dep(called-12, Inc.-15)
punct(called-12, ---16)
aux(preserve-19, to-17)
punct(preserve-19, ``-18)
vmod(association-10, preserve-19)
det(integrity-21, the-20)
dobj(preserve-19, integrity-21)
prep(integrity-21, of-22)
det(Arby-24, the-23)
poss(system-26, Arby-24)
possessive(Arby-24, 's-25)
pobj(of-22, system-26)
punct(announced-5, .-27)
punct(announced-5, ''-28)

det(franchisees-2, The-1)
nsubj(said-19, franchisees-2)
punct(franchisees-2, ,-3)
appos(franchisees-2, owners-4)
cc(owners-4, or-5)
conj(owners-4, operators-6)
prep(owners-4, of-7)
pobj(of-7, 1,000-8)
prep(1,000-8, of-9)
det(Arby-13, the-10)
num(Arby-13, 1,900-11)
amod(Arby-13, franchised-12)
pobj(of-9, Arby-13)
possessive(Arby-13, 's-14)
prep(Arby-13, in-15)
det(U.S.-17, the-16)
pobj(in-15, U.S.-17)
punct(franchisees-2, ,-18)
root(ROOT-0, said-19)
punct(said-19, :-20)
punct(concluded-24, ``-21)
dep(concluded-24, We-22)
aux(concluded-24, have-23)
ccomp(said-19, concluded-24)
mark(unacceptable-36, that-25)
amod(control-27, continued-26)
nsubj(unacceptable-36, control-27)
prep(control-27, of-28)
pobj(of-28, Arby-29)
possessive(Arby-29, 's-30)
prep(control-27, by-31)
nn(Posner-33, Victor-32)
pobj(by-31, Posner-33)
cop(unacceptable-36, is-34)
advmod(unacceptable-36, totally-35)
ccomp(concluded-24, unacceptable-36)
prep(unacceptable-36, to-37)
dep(to-37, us-38)
punct(unacceptable-36, ,-39)
mark(likely-44, because-40)
dep(likely-44, it-41)
cop(likely-44, is-42)
advmod(likely-44, extremely-43)
advcl(unacceptable-36, likely-44)
aux(cause-46, to-45)
xcomp(likely-44, cause-46)
amod(damage-48, irreparable-47)
dobj(cause-46, damage-48)
prep(damage-48, to-49)
det(Arby-51, the-50)
poss(system-53, Arby-51)
possessive(Arby-51, 's-52)
pobj(to-49, system-53)
punct(said-19, .-54)

dep(support-2, We-1)
root(ROOT-0, support-2)
det(efforts-4, all-3)
dobj(support-2, efforts-4)
aux(remove-6, to-5)
vmod(efforts-4, remove-6)
nn(Posner-8, Victor-7)
dobj(remove-6, Posner-8)
prep(remove-6, from-9)
pobj(from-9, control-10)
prep(control-10, of-11)
poss(Inc.-14, Arby-12)
possessive(Arby-12, 's-13)
pobj(of-11, Inc.-14)
cc(Inc.-14, and-15)
det(Arby-17, the-16)
poss(system-19, Arby-17)
possessive(Arby-17, 's-18)
conj(Inc.-14, system-19)
punct(support-2, .-20)
punct(support-2, ''-21)

det(group-2, The-1)
nsubj(said-3, group-2)
root(ROOT-0, said-3)
dep(consider-6, it-4)
aux(consider-6, would-5)
ccomp(said-3, consider-6)
punct(consider-6, ,-7)
prep(consider-6, among-8)
amod(things-10, other-9)
pobj(among-8, things-10)
punct(consider-6, ,-11)
ccomp(consider-6, withholding-12)
nn(payments-14, royalty-13)
dobj(withholding-12, payments-14)
cc(withholding-12, and-15)
conj(withholding-12, initiating-16)
det(lawsuit-19, a-17)
amod(lawsuit-19, class-action-18)
dobj(initiating-16, lawsuit-19)
vmod(lawsuit-19, seeking-20)
nn(approval-22, court-21)
dobj(seeking-20, approval-22)
prep(approval-22, for-23)
det(withholdings-25, the-24)
pobj(for-23, withholdings-25)
punct(said-3, .-26)

prep(responded-14, In-1)
dep(In-1, Florida-2)
punct(responded-14, ,-3)
nn(Mottram-5, Renee-4)
nsubj(responded-14, Mottram-5)
punct(Mottram-5, ,-6)
det(president-10, a-7)
amod(president-10, senior-8)
nn(president-10, vice-9)
appos(Mottram-5, president-10)
prep(president-10, at-11)
dep(at-11, DWG-12)
punct(Mottram-5, ,-13)
root(ROOT-0, responded-14)
punct(responded-14, :-15)
punct(think-20, ``-16)
dep(think-20, We-17)
aux(think-20, do-18)
neg(think-20, n't-19)
ccomp(responded-14, think-20)
det(individual-22, any-21)
nsubj(disrupt-26, individual-22)
cc(individual-22, or-23)
conj(individual-22, group-24)
aux(disrupt-26, should-25)
ccomp(think-20, disrupt-26)
det(system-29, a-27)
amod(system-29, winning-28)
dobj(disrupt-26, system-29)
cc(disrupt-26, or-30)
advmod(interfere-32, illegally-31)
conj(disrupt-26, interfere-32)
prep(interfere-32, with-33)
amod(relationships-36, existing-34)
amod(relationships-36, contractual-35)
pobj(with-33, relationships-36)
prep(disrupt-26, for-37)
poss(motives-41, their-38)
amod(motives-41, own-39)
amod(motives-41, self-serving-40)
pobj(for-37, motives-41)
punct(responded-14, .-42)

poss(rise-4, September-1)
possessive(September-1, 's-2)
amod(rise-4, steep-3)
nsubj(shows-8, rise-4)
prep(rise-4, in-5)
nn(prices-7, producer-6)
pobj(in-5, prices-7)
root(ROOT-0, shows-8)
mark(persists-12, that-9)
dep(persists-12, inflation-10)
advmod(persists-12, still-11)
dep(shows-8, persists-12)
punct(shows-8, ,-13)
cc(shows-8, and-14)
det(pessimism-16, the-15)
nsubj(contributed-26, pessimism-16)
prep(pessimism-16, over-17)
nn(rates-19, interest-18)
pobj(over-17, rates-19)
vmod(pessimism-16, caused-20)
prep(caused-20, by-21)
det(data-25, the-22)
amod(data-25, new-23)
nn(data-25, price-24)
pobj(by-21, data-25)
conj(shows-8, contributed-26)
prep(contributed-26, to-27)
det(market-30, the-28)
nn(market-30, stock-29)
poss(plunge-32, market-30)
possessive(market-30, 's-31)
nn(Friday-33, plunge-32)
pobj(to-27, Friday-33)
punct(shows-8, .-34)

prep(shot-15, After-1)
pcomp(After-1, falling-2)
prep(falling-2, for-3)
num(months-6, three-4)
amod(months-6, consecutive-5)
pobj(for-3, months-6)
punct(shot-15, ,-7)
