poss(production-3, Japan-1)
pobj(in-14, programs-15)
dep(have-18, that-16)
advmod(have-18, now-17)
ccomp(programs-15, have-18)
neg(use-20, no-19)
dobj(have-18, use-20)
punct(says-3, .-21)

amod(gains-2, Big-1)
nn(Sunday-13, gains-2)
prep(Sunday-13, for-3)
det(party-7, the-4)
amod(party-7, ultra-right-5)
nn(party-7, Republicans-6)
pobj(for-3, party-7)
prep(Sunday-13, in-8)
nn(elections-12, Baden-Wuerttemburg-9)
nn(elections-12, state-10)
amod(elections-12, municipal-11)
pobj(in-8, elections-12)
nsubj(showed-14, Sunday-13)
root(ROOT-0, showed-14)
amod(support-16, eroding-15)
dobj(showed-14, support-16)
prep(support-16, for-17)
nn(Kohl-20, Chancellor-18)
nn(Kohl-20, Helmut-19)
pobj(for-17, Kohl-20)
prep(support-16, in-21)
det(bastion-24, a-22)
amod(bastion-24, traditional-23)
pobj(in-21, bastion-24)
prep(bastion-24, for-25)
poss(Union-29, his-26)
nn(Union-29, Christian-27)
nn(Union-29, Democratic-28)
pobj(for-25, Union-29)
punct(showed-14, .-30)

mark(ballots-2, With-1)
advcl(came-18, ballots-2)
prep(ballots-2, from-3)
pobj(from-3, most-4)
prep(most-4, of-5)
det(state-7, the-6)
poss(cities-10, state-7)
possessive(state-7, 's-8)
amod(cities-10, major-9)
pobj(of-5, cities-10)
advmod(ballots-2, in-11)
prep(in-11, by-12)
nn(morning-14, yesterday-13)
pobj(by-12, morning-14)
punct(came-18, ,-15)
det(Republicans-17, the-16)
nsubj(came-18, Republicans-17)
root(ROOT-0, came-18)
dep(came-18, away-19)
prep(came-18, with-20)
num(%-22, 10-21)
pobj(with-20, %-22)
prep(%-22, of-23)
det(vote-25, the-24)
pobj(of-23, vote-25)
prep(came-18, in-26)
pobj(in-26, several-27)
prep(several-27, of-28)
det(districts-31, the-29)
amod(districts-31, key-30)
pobj(of-28, districts-31)
punct(came-18, .-32)

mark(report-7, With-1)
amod(districts-4, many-2)
amod(districts-4, rural-3)
nsubj(report-7, districts-4)
advmod(report-7, yet-5)
aux(report-7, to-6)
advcl(estimate-12, report-7)
dep(report-7, ballots-8)
punct(estimate-12, ,-9)
nn(officials-11, election-10)
nsubj(estimate-12, officials-11)
root(ROOT-0, estimate-12)
nsubj(fell-17, support-13)
prep(support-13, for-14)
nn(Democrats-16, Christian-15)
pobj(for-14, Democrats-16)
ccomp(estimate-12, fell-17)
det(points-22, an-18)
amod(points-22, average-19)
num(points-22, five-20)
nn(points-22, percentage-21)
dobj(fell-17, points-22)
advmod(fell-17, statewide-23)
punct(estimate-12, .-24)

det(Democrats-4, The-1)
amod(Democrats-4, left-of-center-2)
nn(Democrats-4, Social-3)
nsubj(posted-10, Democrats-4)
cc(Democrats-4, and-5)
det(party-9, the-6)
amod(party-9, environmental-7)
nn(party-9, Greens-8)
conj(Democrats-4, party-9)
root(ROOT-0, posted-10)
amod(results-12, mixed-11)
dobj(posted-10, results-12)
punct(posted-10, .-13)

vmod(scored-23, Headed-1)
prep(Headed-1, by-2)
det(sergeant-7, a-3)
amod(sergeant-7, former-4)
nn(sergeant-7, Waffen-5)
nn(sergeant-7, SS-6)
pobj(by-2, sergeant-7)
cc(Headed-1, and-8)
conj(Headed-1, working-9)
prep(working-9, from-10)
det(platform-13, a-11)
amod(platform-13, nationalistic-12)
pobj(from-10, platform-13)
prep(platform-13, of-14)
nn(rhetoric-16, anti-foreigner-15)
pobj(of-14, rhetoric-16)
punct(scored-23, ,-17)
det(party-21, the-18)
nn(party-21, fledgling-19)
nn(party-21, Republicans-20)
nsubj(scored-23, party-21)
aux(scored-23, has-22)
root(ROOT-0, scored-23)
amod(gains-25, surprising-24)
dobj(scored-23, gains-25)
prep(gains-25, in-26)
amod(elections-28, earlier-27)
pobj(in-26, elections-28)
prep(elections-28, in-29)
det(states-31, the-30)
pobj(in-29, states-31)
prep(states-31, of-32)
nn(Berlin-34, West-33)
nn(Hesse-36, Berlin-34)
punct(Hesse-36, ,-35)
pobj(of-32, Hesse-36)
cc(Hesse-36, and-37)
nn(Westphalia-39, North-Rhine-38)
conj(Hesse-36, Westphalia-39)
punct(scored-23, .-40)

prep(seen-30, With-1)
nn(unemployment-4, West-2)
nn(unemployment-4, German-3)
nsubj(remaining-5, unemployment-4)
pcomp(With-1, remaining-5)
dep(remaining-5, high-6)
prep(remaining-5, at-7)
number(million-9, two-8)
num(jobless-10, million-9)
pobj(at-7, jobless-10)
cc(remaining-5, and-11)
det(lack-13, the-12)
nsubj(becoming-17, lack-13)
prep(lack-13, of-14)
amod(housing-16, affordable-15)
pobj(of-14, housing-16)
conj(remaining-5, becoming-17)
det(issue-20, a-18)
amod(issue-20, primary-19)
xcomp(becoming-17, issue-20)
prep(issue-20, for-21)
amod(year-23, next-22)
poss(campaign-25, year-23)
possessive(year-23, 's-24)
pobj(for-21, campaign-25)
punct(seen-30, ,-26)
det(Republicans-28, the-27)
nsubjpass(seen-30, Republicans-28)
auxpass(seen-30, are-29)
root(ROOT-0, seen-30)
xcomp(seen-30, drawing-31)
dobj(drawing-31, support-32)
prep(support-32, for-33)
poss(stand-39, their-34)
punct(stand-39, ``-35)
nn(stand-39, Germans-36)
amod(stand-39, First-37)
punct(stand-39, ''-38)
pobj(for-33, stand-39)
prep(drawing-31, on-40)
amod(issues-42, social-welfare-41)
pobj(on-40, issues-42)
punct(seen-30, .-43)

nn(analysts-2, Election-1)
nsubj(acknowledge-3, analysts-2)
root(ROOT-0, acknowledge-3)
mark(edge-16, that-4)
det(coalition-9, a-5)
punct(coalition-9, ``-6)
nn(coalition-9, Red-Green-7)
punct(coalition-9, ''-8)
nsubj(edge-16, coalition-9)
prep(coalition-9, of-10)
nn(Democrats-12, Social-11)
pobj(of-10, Democrats-12)
cc(Democrats-12, and-13)
conj(Democrats-12, Greens-14)
aux(edge-16, could-15)
ccomp(acknowledge-3, edge-16)
dep(edge-16, out-17)
nn(Kohl-19, Chancellor-18)
poss(coalition-21, Kohl-19)
possessive(Kohl-19, 's-20)
dobj(edge-16, coalition-21)
prep(edge-16, in-22)
det(election-27, the-23)
nn(election-27, December-24)
num(election-27, 1990-25)
amod(election-27, national-26)
pobj(in-22, election-27)
mark(continues-33, if-28)
nsubj(continues-33, support-29)
prep(support-29, for-30)
det(Republicans-32, the-31)
pobj(for-30, Republicans-32)
advcl(edge-16, continues-33)
xcomp(continues-33, to-34)
dep(to-34, spread-35)
punct(acknowledge-3, .-36)

amod(investigators-2, International-1)
nsubj(urged-3, investigators-2)
root(ROOT-0, urged-3)
dep(urged-3, Britain-4)
aux(allow-6, to-5)
xcomp(urged-3, allow-6)
dobj(allow-6, prosecution-7)
prep(prosecution-7, of-8)
amod(criminals-12, suspected-9)
nn(criminals-12, Nazi-10)
nn(criminals-12, war-11)
pobj(of-8, criminals-12)
dep(took-14, who-13)
dep(criminals-12, took-14)
dep(took-14, refuge-15)
advmod(took-14, there-16)
prep(took-14, after-17)
dep(after-17, 1945-18)
punct(urged-3, .-19)

prep(immune-8, Under-1)
amod(law-3, current-2)
pobj(Under-1, law-3)
punct(immune-8, ,-4)
amod(suspects-6, such-5)
nsubj(immune-8, suspects-6)
cop(immune-8, are-7)
root(ROOT-0, immune-8)
prep(immune-8, from-9)
pobj(from-9, prosecution-10)
prep(prosecution-10, for-11)
pobj(for-11, acts-12)
dep(acts-12, committed-13)
mark(citizens-17, while-14)
dep(citizens-17, not-15)
amod(citizens-17, British-16)
advcl(committed-13, citizens-17)
punct(immune-8, .-18)

punct(said-19, ``-1)
mark('re-4, If-2)
dep('re-4, we-3)
advcl(become-9, 're-4)
neg('re-4, not-5)
dep('re-4, careful-6)
dep(become-9, we-7)
aux(become-9, could-8)
ccomp(said-19, become-9)
acomp(become-9, known-10)
prep(known-10, as-11)
det(haven-13, a-12)
pobj(as-11, haven-13)
prep(haven-13, for-14)
nn(criminals-16, war-15)
pobj(for-14, criminals-16)
punct(said-19, ,-17)
punct(said-19, ''-18)
root(ROOT-0, said-19)
nn(Rooker-21, Jeff-20)
nsubj(said-19, Rooker-21)
punct(Rooker-21, ,-22)
det(member-24, a-23)
appos(Rooker-21, member-24)
prep(member-24, of-25)
dep(of-25, Parliament-26)
cc(member-24, and-27)
conj(member-24, one-28)
prep(one-28, of-29)
amod(politicians-32, several-30)
amod(politicians-32, British-31)
pobj(of-29, politicians-32)
vmod(politicians-32, attending-33)
det(conference-36, a-34)
nn(conference-36, London-35)
dobj(attending-33, conference-36)
prep(conference-36, with-37)
nn(investigators-39, government-38)
pobj(with-37, investigators-39)
prep(investigators-39, from-40)
det(U.S.-42, the-41)
pobj(from-40, U.S.-42)
punct(U.S.-42, ,-43)
conj(U.S.-42, Canada-44)
cc(U.S.-42, and-45)
conj(U.S.-42, Australia-46)
punct(said-19, .-47)

det(inquiry-3, A-1)
amod(inquiry-3, parliamentary-2)
nsubj(found-4, inquiry-3)
root(ROOT-0, found-4)
prep(found-4, in-5)
dep(in-5, July-6)
mark(part-18, that-7)
mwe(than-9, more-8)
quantmod(70-10, than-9)
num(people-11, 70-10)
nsubj(part-18, people-11)
vmod(people-11, living-12)
prep(living-12, in-13)
dep(in-13, Britain-14)
aux(part-18, could-15)
aux(part-18, have-16)
cop(part-18, been-17)
ccomp(found-4, part-18)
prep(part-18, of-19)
nn(squads-21, death-20)
pobj(of-19, squads-21)
dep(roamed-23, that-22)
dep(squads-21, roamed-23)
amod(Europe-26, Nazi-occupied-24)
nn(Europe-26, Eastern-25)
dobj(roamed-23, Europe-26)
punct(found-4, .-27)

dep(expected-3, Parliament-1)
auxpass(expected-3, is-2)
root(ROOT-0, expected-3)
aux(discuss-5, to-4)
xcomp(expected-3, discuss-5)
amod(month-7, next-6)
tmod(discuss-5, month-7)
mark(change-10, whether-8)
aux(change-10, to-9)
ccomp(discuss-5, change-10)
det(law-12, the-11)
dobj(change-10, law-12)
punct(expected-3, .-13)

amod(investigations-2, British-1)
nsubjpass(prompted-4, investigations-2)
auxpass(prompted-4, were-3)
root(ROOT-0, prompted-4)
prep(prompted-4, by-5)
det(list-7, a-6)
pobj(by-5, list-7)
prep(list-7, of-8)
num(criminals-12, 17-9)
amod(criminals-12, alleged-10)
nn(criminals-12, war-11)
pobj(of-8, criminals-12)
vmod(criminals-12, living-13)
prep(living-13, in-14)
dep(in-14, Britain-15)
vmod(list-7, sent-16)
prep(sent-16, to-17)
nn(Thatcher-21, Prime-18)
nn(Thatcher-21, Minister-19)
nn(Thatcher-21, Margaret-20)
pobj(to-17, Thatcher-21)
prep(sent-16, in-22)
pobj(in-22, October-23)
num(October-23, 1986-24)
prep(sent-16, by-25)
det(Center-29, the-26)
nn(Center-29, Simon-27)
nn(Center-29, Wiesenthal-28)
pobj(by-25, Center-29)
prep(Center-29, in-30)
nn(Angeles-32, Los-31)
pobj(in-30, Angeles-32)
punct(prompted-4, .-33)

prep(said-14, In-1)
det(sign-3, a-2)
pobj(In-1, sign-3)
prep(sign-3, of-4)
amod(tension-6, easing-5)
pobj(of-4, tension-6)
prep(tension-6, between-7)
pobj(between-7, Beijing-8)
cc(Beijing-8, and-9)
nn(Kong-11, Hong-10)
conj(Beijing-8, Kong-11)
punct(said-14, ,-12)
dep(said-14, China-13)
root(ROOT-0, said-14)
dep(take-18, it-15)
aux(take-18, will-16)
advmod(take-18, again-17)
ccomp(said-14, take-18)
advmod(take-18, back-19)
amod(immigrants-21, illegal-20)
dobj(take-18, immigrants-21)
vmod(immigrants-21, caught-22)
xcomp(caught-22, crossing-23)
prep(crossing-23, into-24)
det(colony-27, the-25)
amod(colony-27, British-26)
pobj(into-24, colony-27)
punct(said-14, .-28)

dep(refused-3, China-1)
aux(refused-3, had-2)
root(ROOT-0, refused-3)
aux(repatriate-5, to-4)
xcomp(refused-3, repatriate-5)
dobj(repatriate-5, citizens-6)
dep(sneaked-8, who-7)
ccomp(citizens-6, sneaked-8)
prep(sneaked-8, into-9)
nn(Kong-11, Hong-10)
pobj(into-9, Kong-11)
advmod(sneaked-8, illegally-12)
prep(refused-3, since-13)
advmod(month-16, early-14)
det(month-16, this-15)
pobj(since-13, month-16)
punct(month-16, ,-17)
advmod(allowed-21, when-18)
det(colony-20, the-19)
nsubj(allowed-21, colony-20)
rcmod(month-16, allowed-21)
det(swimmer-25, a-22)
amod(swimmer-25, dissident-23)
amod(swimmer-25, Chinese-24)
dobj(allowed-21, swimmer-25)
aux(flee-27, to-26)
xcomp(allowed-21, flee-27)
prep(flee-27, to-28)
det(U.S.-30, the-29)
pobj(to-28, U.S.-30)
punct(refused-3, .-31)

quantmod(1,100-2, About-1)
num(Chinese-3, 1,100-2)
nsubj(awaiting-5, Chinese-3)
aux(awaiting-5, were-4)
root(ROOT-0, awaiting-5)
dep(awaiting-5, repatriation-6)
dep(awaiting-5, yesterday-7)
punct(awaiting-5, .-8)

poss(Ministry-4, Italy-1)
possessive(Italy-1, 's-2)
nn(Ministry-4, Foreign-3)
nsubj(said-5, Ministry-4)
root(ROOT-0, said-5)
dep(investigating-8, it-6)
aux(investigating-8, is-7)
ccomp(said-5, investigating-8)
dobj(investigating-8, exports-9)
prep(exports-9, to-10)
det(Union-13, the-11)
nn(Union-13, Soviet-12)
pobj(to-10, Union-13)
prep(exports-9, by-14)
det(Olivetti-19, an-15)
nn(Olivetti-19, Ing-16)
punct(Olivetti-19, .-17)
nn(Olivetti-19, C.-18)
pobj(by-14, Olivetti-19)
cc(Olivetti-19, &-20)
nn(subsidiary-22, Co.-21)
conj(Olivetti-19, subsidiary-22)
vmod(Olivetti-19, called-23)
dep(called-23, OCN-PPL-24)
dep(makes-26, that-25)
dep(Olivetti-19, makes-26)
advmod(controlled-28, numerically-27)
amod(tools-30, controlled-28)
nn(tools-30, machine-29)
dobj(makes-26, tools-30)
punct(said-5, .-31)

mark(made-16, Although-1)
poss(investigation-4, Italy-2)
possessive(Italy-2, 's-3)
nsubjpass(made-16, investigation-4)
prep(investigation-4, of-5)
mark(violated-9, whether-6)
dep(violated-9, Olivetti-7)
aux(violated-9, had-8)
pcomp(of-5, violated-9)
amod(rules-12, Western-10)
amod(rules-12, export-control-11)
dobj(violated-9, rules-12)
aux(made-16, had-13)
advmod(made-16, previously-14)
auxpass(made-16, been-15)
advcl(marked-20, made-16)
dep(made-16, known-17)
punct(marked-20, ,-18)
dep(marked-20, this-19)
root(ROOT-0, marked-20)
det(time-23, the-21)
amod(time-23, first-22)
dobj(marked-20, time-23)
det(unit-25, the-24)
nsubjpass(named-29, unit-25)
cc(unit-25, and-26)
conj(unit-25, product-27)
auxpass(named-29, were-28)
rcmod(time-23, named-29)
punct(marked-20, .-30)

det(U.S.-2, The-1)
nsubjpass(worried-4, U.S.-2)
auxpass(worried-4, is-3)
root(ROOT-0, worried-4)
prep(worried-4, about-5)
det(convertibility-7, the-6)
pobj(about-5, convertibility-7)
prep(convertibility-7, of-8)
poss(tools-12, Olivetti-9)
possessive(Olivetti-9, 's-10)
nn(tools-12, machine-11)
pobj(of-8, tools-12)
prep(convertibility-7, to-13)
amod(use-15, military-14)
pobj(to-13, use-15)
punct(worried-4, .-16)

advmod(said-6, However-1)
punct(said-6, ,-2)
det(spokeswoman-5, an-3)
nn(spokeswoman-5, Olivetti-4)
nsubj(said-6, spokeswoman-5)
root(ROOT-0, said-6)
nsubj(make-22, OCN-PPL-7)
punct(OCN-PPL-7, ,-8)
prep(sold-12, of-9)
dep(of-9, which-10)
dep(sold-12, Olivetti-11)
dep(OCN-PPL-7, sold-12)
det(interest-15, the-13)
nn(interest-15, majority-14)
dobj(sold-12, interest-15)
amod(year-17, last-16)
tmod(sold-12, year-17)
punct(OCN-PPL-7, ,-18)
punct(make-22, ``-19)
aux(make-22, does-20)
neg(make-22, n't-21)
ccomp(said-6, make-22)
dobj(make-22, equipment-23)
dep(has-25, that-24)
ccomp(equipment-23, has-25)
det(type-27, the-26)
dobj(has-25, type-27)
prep(type-27, of-28)
dep(of-28, precision-29)
amod(type-27, necessary-30)
prep(necessary-30, for-31)
amod(productions-33, sophisticated-32)
pobj(for-31, productions-33)
punct(said-6, .-34)
punct(said-6, ''-35)

dep(say-2, Conservationists-1)
root(ROOT-0, say-2)
mark(threatens-6, that-3)
nn(fishing-5, drift-net-4)
nsubj(threatens-6, fishing-5)
ccomp(say-2, threatens-6)
aux(wipe-8, to-7)
xcomp(threatens-6, wipe-8)
dep(wipe-8, out-9)
dobj(wipe-8, much-10)
prep(much-10, of-11)
det(world-13, the-12)
poss(stocks-16, world-13)
possessive(world-13, 's-14)
nn(stocks-16, tuna-15)
pobj(of-11, stocks-16)
prep(wipe-8, in-17)
det(years-20, a-18)
amod(years-20, few-19)
pobj(in-17, years-20)
punct(say-2, .-21)

cc(criticized-6, But-1)
det(Association-5, the-2)
nn(Association-5, Japanese-3)
nn(Association-5, Fisheries-4)
nsubj(criticized-6, Association-5)
root(ROOT-0, criticized-6)
dobj(criticized-6, moves-7)
aux(ban-9, to-8)
vmod(moves-7, ban-9)
det(practice-11, the-10)
dobj(ban-9, practice-11)
prep(ban-9, in-12)
amod(waters-14, international-13)
pobj(in-12, waters-14)
punct(criticized-6, .-15)

punct(said-19, ``-1)
nsubj(unfortunate-5, It-2)
cop(unfortunate-5, is-3)
advmod(unfortunate-5, really-4)
ccomp(said-19, unfortunate-5)
mark(swayed-11, for-6)
amod(beings-8, human-7)
nsubjpass(swayed-11, beings-8)
aux(swayed-11, to-9)
auxpass(swayed-11, be-10)
advcl(unfortunate-5, swayed-11)
prep(swayed-11, by-12)
amod(discussions-14, emotional-13)
pobj(by-12, discussions-14)
punct(said-19, ,-15)
punct(said-19, ''-16)
det(association-18, the-17)
nsubj(said-19, association-18)
root(ROOT-0, said-19)
punct(said-19, .-20)

prep(lay-14, In-1)
dep(In-1, driftnet-2)
punct(In-1, ,-3)
cc(In-1, or-4)
punct(In-1, ``-5)
conj(In-1, wall-6)
prep(wall-6, of-7)
dep(of-7, death-8)
punct(In-1, ,-9)
punct(In-1, ''-10)
conj(In-1, fishing-11)
punct(lay-14, ,-12)
dep(lay-14, fleets-13)
root(ROOT-0, lay-14)
dobj(lay-14, nets-15)
quantmod(three-18, up-16)
dep(three-18, to-17)
num(miles-19, three-18)
npadvmod(long-20, miles-19)
amod(nets-15, long-20)
mark(trap-22, that-21)
ccomp(nets-15, trap-22)
advmod(everything-24, almost-23)
dobj(trap-22, everything-24)
prep(everything-24, in-25)
poss(path-27, their-26)
pobj(in-25, path-27)
punct(lay-14, .-28)

advmod(year-3, Earlier-1)
det(year-3, this-2)
nsubj(said-6, year-3)
punct(said-6, ,-4)
dep(said-6, Japan-5)
root(ROOT-0, said-6)
dep(cut-9, it-7)
aux(cut-9, would-8)
ccomp(said-6, cut-9)
det(number-11, the-10)
dobj(cut-9, number-11)
prep(number-11, of-12)
poss(vessels-15, its-13)
nn(vessels-15, drift-net-14)
pobj(of-12, vessels-15)
prep(number-11, in-16)
det(Pacific-19, the-17)
nn(Pacific-19, South-18)
pobj(in-16, Pacific-19)
dep(cut-9, by-20)
dep(by-20, two-thirds-21)
punct(by-20, ,-22)
cc(by-20, or-23)
conj(by-20, down-24)
prep(down-24, to-25)
dep(to-25, 20-26)
punct(said-6, .-27)

nsubj(voted-15, Workers-1)
prep(Workers-1, at-2)
nn(S.A.-4, Peugeot-3)
poss(plant-7, S.A.-4)
possessive(S.A.-4, 's-5)
nn(plant-7, car-6)
pobj(at-2, plant-7)
prep(plant-7, at-8)
pobj(at-8, Sochaux-9)
punct(Sochaux-9, ,-10)
prep(Sochaux-9, in-11)
amod(France-13, eastern-12)
pobj(in-11, France-13)
punct(Sochaux-9, ,-14)
ccomp(said-35, voted-15)
aux(end-17, to-16)
xcomp(voted-15, end-17)
det(strike-20, a-18)
amod(strike-20, six-week-old-19)
dobj(end-17, strike-20)
dep(cost-23, that-21)
aux(cost-23, has-22)
dep(strike-20, cost-23)
det(group-26, the-24)
nn(group-26, Peugeot-25)
iobj(cost-23, group-26)
dobj(cost-23, production-27)
prep(production-27, of-28)
num(automobiles-30, 60,000-29)
pobj(of-28, automobiles-30)
punct(said-35, ,-31)
det(spokesman-34, a-32)
nn(spokesman-34, company-33)
nsubj(said-35, spokesman-34)
root(ROOT-0, said-35)
punct(said-35, .-36)

det(strikers-2, The-1)
nsubj(voted-3, strikers-2)
root(ROOT-0, voted-3)
aux(accept-5, to-4)
xcomp(voted-3, accept-5)
det(series-7, a-6)
dobj(accept-5, series-7)
prep(series-7, of-8)
nn(proposals-10, management-9)
pobj(of-8, proposals-10)
dep(give-13, that-11)
aux(give-13, will-12)
dep(proposals-10, give-13)
dep(give-13, them-14)
det(wage-18, a-15)
amod(wage-18, higher-16)
amod(wage-18, basic-17)
dobj(give-13, wage-18)
punct(wage-18, ,-19)
amod(benefits-22, better-20)
amod(benefits-22, profit-sharing-21)
conj(wage-18, benefits-22)
cc(wage-18, and-23)
amod(bonuses-26, bigger-24)
amod(bonuses-26, annual-25)
conj(wage-18, bonuses-26)
punct(voted-3, .-27)

det(spokesman-2, The-1)
nsubj(said-3, spokesman-2)
root(ROOT-0, said-3)
det(vote-5, the-4)
nsubjpass(expected-9, vote-5)
prep(vote-5, at-6)
dep(at-6, Sochaux-7)
auxpass(expected-9, is-8)
ccomp(said-3, expected-9)
aux(followed-12, to-10)
auxpass(followed-12, be-11)
xcomp(expected-9, followed-12)
prep(followed-12, by-13)
det(move-16, a-14)
amod(move-16, similar-15)
pobj(by-13, move-16)
prep(move-16, at-17)
det(company-19, the-18)
poss(plant-22, company-19)
possessive(company-19, 's-20)
nn(plant-22, assembly-21)
pobj(at-17, plant-22)
prep(plant-22, at-23)
pobj(at-23, Mulhouse-24)
punct(Mulhouse-24, ,-25)
advmod(whittled-33, where-26)
det(number-28, the-27)
nsubjpass(whittled-33, number-28)
prep(number-28, of-29)
dep(of-29, strikers-30)
aux(whittled-33, has-31)
auxpass(whittled-33, been-32)
dep(Mulhouse-24, whittled-33)
advmod(whittled-33, down-34)
prep(whittled-33, to-35)
dep(to-35, 80-36)
punct(said-3, .-37)

quantmod(8,000-2, About-1)
num(members-7, 8,000-2)
dep(members-7, National-3)
dep(National-3, Union-4)
prep(National-3, of-5)
dep(of-5, Mineworkers-6)
nsubj(resumed-8, members-7)
root(ROOT-0, resumed-8)
poss(strike-10, their-9)
dobj(resumed-8, strike-10)
prep(strike-10, against-11)
nn(Ltd.-16, De-12)
nn(Ltd.-16, Beers-13)
nn(Ltd.-16, Consolidated-14)
nn(Ltd.-16, Mines-15)
pobj(against-11, Ltd.-16)
mark(broke-25, after-17)
amod(negotiations-19, further-18)
nsubj(broke-25, negotiations-19)
aux(settle-21, to-20)
vmod(negotiations-19, settle-21)
det(dispute-24, a-22)
nn(dispute-24, wage-23)
dobj(settle-21, dispute-24)
advcl(resumed-8, broke-25)
dep(broke-25, down-26)
punct(resumed-8, .-27)

amod(workers-2, Striking-1)
nsubj(returned-15, workers-2)
punct(workers-2, ,-3)
dobj(striking-6, who-4)
dep(workers-2, began-5)
xcomp(began-5, striking-6)
num(mines-9, five-7)
nn(mines-9, diamond-8)
dobj(striking-6, mines-9)
prep(striking-6, on-10)
pobj(on-10, Oct.-11)
num(Oct.-11, 13-12)
punct(workers-2, ,-13)
aux(returned-15, had-14)
root(ROOT-0, returned-15)
prep(returned-15, to-16)
dep(to-16, work-17)
amod(week-19, last-18)
tmod(returned-15, week-19)
advmod(arranged-26, when-20)
det(union-22, the-21)
nsubj(arranged-26, union-22)
cc(union-22, and-23)
nn(Beers-25, De-24)
conj(union-22, Beers-25)
dep(returned-15, arranged-26)
aux(reopen-28, to-27)
xcomp(arranged-26, reopen-28)
dep(reopen-28, negotiations-29)
punct(returned-15, .-30)

det(spokesman-4, A-1)
nn(spokesman-4, De-2)
nn(spokesman-4, Beers-3)
nsubj(said-5, spokesman-4)
root(ROOT-0, said-5)
dep(said-5, yesterday-6)
det(company-8, the-7)
nsubj(offered-10, company-8)
aux(offered-10, had-9)
ccomp(said-5, offered-10)
aux(increase-12, to-11)
xcomp(offered-10, increase-12)
det(wage-15, the-13)
amod(wage-15, minimum-14)
dobj(increase-12, wage-15)
prep(increase-12, by-16)
num(%-18, 18-17)
pobj(by-16, %-18)
punct(increase-12, ,-19)
mark(demanding-24, while-20)
det(union-22, the-21)
nsubj(demanding-24, union-22)
aux(demanding-24, was-23)
advcl(increase-12, demanding-24)
num(%-26, 26.6-25)
dobj(demanding-24, %-26)
punct(said-5, .-27)

mark(resumed-5, Before-1)
det(parties-4, the-2)
num(parties-4, two-3)
nsubj(resumed-5, parties-4)
advcl(offered-12, resumed-5)
dep(resumed-5, talks-6)
amod(week-8, last-7)
tmod(resumed-5, week-8)
punct(offered-12, ,-9)
nn(Beers-11, De-10)
nsubj(offered-12, Beers-11)
root(ROOT-0, offered-12)
num(%-14, 17-13)
dobj(offered-12, %-14)
cc(offered-12, and-15)
det(union-17, the-16)
nsubj(wanted-18, union-17)
conj(offered-12, wanted-18)
num(%-20, 37.6-19)
dobj(wanted-18, %-20)
punct(offered-12, .-21)

poss(Daily-5, China-1)
possessive(China-1, 's-2)
poss(Daily-5, People-3)
possessive(People-3, 's-4)
nsubj(took-6, Daily-5)
root(ROOT-0, took-6)
dep(took-6, note-7)
prep(took-6, of-8)
det(problem-11, the-9)
amod(problem-11, growing-10)
pobj(of-8, problem-11)
prep(problem-11, of-12)
nn(fraud-14, computer-13)
pobj(of-12, fraud-14)
punct(took-6, .-15)

mark(discovered-6, Since-1)
det(fraud-4, the-2)
amod(fraud-4, first-3)
nsubjpass(discovered-6, fraud-4)
auxpass(discovered-6, was-5)
advcl(found-28, discovered-6)
prep(discovered-6, in-7)
pobj(in-7, July-8)
num(July-8, 1986-9)
prep(discovered-6, at-10)
det(office-12, an-11)
pobj(at-10, office-12)
prep(office-12, of-13)
det(People-15, the-14)
poss(Bank-17, People-15)
possessive(People-15, 's-16)
pobj(of-13, Bank-17)
prep(Bank-17, of-18)
dep(of-18, China-19)
prep(office-12, in-20)
dep(in-20, Shenzhen-21)
punct(found-28, ,-22)
num(cases-25, 15-23)
amod(cases-25, major-24)
nsubjpass(found-28, cases-25)
aux(found-28, have-26)
auxpass(found-28, been-27)
ccomp(said-32, found-28)
punct(said-32, ,-29)
det(paper-31, the-30)
nsubj(said-32, paper-31)
root(ROOT-0, said-32)
punct(said-32, ;-33)
det(biggest-35, the-34)
nsubj(theft-38, biggest-35)
cop(theft-38, was-36)
det(theft-38, the-37)
parataxis(said-32, theft-38)
prep(theft-38, of-39)
pobj(of-39, $-40)
num($-40, 235,000-41)
prep(theft-38, from-42)
det(bank-44, a-43)
pobj(from-42, bank-44)
prep(bank-44, in-45)
dep(in-45, Chengdu-46)
prep(theft-38, in-47)
pobj(in-47, March-48)
num(March-48, 1988-49)
punct(said-32, .-50)

det(number-2, The-1)
nsubj(mushroomed-6, number-2)
prep(number-2, of-3)
dep(of-3, computers-4)
aux(mushroomed-6, has-5)
root(ROOT-0, mushroomed-6)
prep(mushroomed-6, in-7)
amod(years-9, recent-8)
pobj(in-7, years-9)
punct(mushroomed-6, ,-10)
prep(mushroomed-6, with-11)
pobj(with-11, 10,000-12)
prep(10,000-12, in-13)
dep(in-13, use-14)
punct(10,000-12, ,-15)
advmod(well-17, as-16)
cc(10,000-12, well-17)
mwe(well-17, as-18)
num(models-21, 30,000-19)
amod(models-21, miniature-20)
conj(10,000-12, models-21)
punct(mushroomed-6, .-22)

cc(kept-16, But-1)
nn(systems-3, security-2)
nsubj(kept-16, systems-3)
punct(systems-3, ,-4)
amod(controls-7, effective-5)
nn(controls-7, management-6)
conj(systems-3, controls-7)
cc(systems-3, and-8)
