nummod(put, 3)
case(ancestry, of)
nmod(mechanics, ancestry)
cc(progeny, and)
conj(ancestry, progeny)
punct(ancestry, --)
det(continuum, the)
appos(mechanics, continuum)
case(mankind, of)
nmod(continuum, mankind)
punct(suggests, .)
cc(cosmic, But)
det(many, a)
amod(many, great)
nsubj(cosmic, many)
case(what, of)
nmod(many, what)
nsubj(calls, Variety)
acl:relcl(what, calls)
det(Terpers, the)
punct(Terpers, ``)
compound(Terpers, Cooch)
obj(calls, Terpers)
punct(Terpers, '')
cop(cosmic, are)
advmod(cosmic, considerably)
advmod(cosmic, less)
root(ROOT, cosmic)
case(that, than)
obl(cosmic, that)
punct(cosmic, .)
det(dancer, Each)
nsubj(follows, dancer)
root(ROOT, follows)
det(pattern, the)
amod(pattern, ancient)
amod(pattern, Oriental)
obj(follows, pattern)
punct(follows, --)
nsubj(glides, she)
parataxis(follows, glides)
obj(glides, sideways)
case(shoulders, with)
obl(glides, shoulders)
xcomp(glides, motionless)
mark(migrates, while)
nmod:poss(stomach, her)
nsubj(migrates, stomach)
advcl(glides, migrates)
punct(sends, ,)
cc(sends, and)
punct(sends, ,)
case(breathing, through)
obl(sends, breathing)
cc(control, and)
compound(control, muscle)
conj(breathing, control)
punct(sends, ,)
nsubj(sends, she)
conj(follows, sends)
obj(sends, ripples)
case(body, across)
nmod:poss(body, her)
obl(sends, body)
case(fingertips, to)
det(fingertips, the)
obl(sends, fingertips)
cc(away, and)
conj(sends, away)
case(end, to)
det(end, the)
amod(end, far)
obl(away, end)
case(room, of)
det(room, the)
nmod(end, room)
punct(follows, .)
nsubj:pass(done, This)
aux:pass(done, is)
root(ROOT, done)
case(speeds, at)
amod(speeds, varying)
obl(done, speeds)
punct(speeds, ,)
acl(speeds, ranging)
case(Telli, from)
det(Telli, the)
amod(Telli, slow)
cc(fast, and)
conj(slow, fast)
compound(Telli, Shifte)
obl(ranging, Telli)
punct(term, ()
det(term, a)
amod(term, musical)
appos(Telli, term)
acl(term, meaning)
amod(strings, double)
obj(meaning, strings)
punct(meaning, ))
case(Karshilama, to)
det(Karshilama, the)
amod(Karshilama, fastest)
punct(Karshilama, ,)
amod(Karshilama, ecstatic)
nmod(Telli, Karshilama)
punct(meaning, ()
acl(Karshilama, meaning)
obj(meaning, greetings)
cc(welcome, or)
conj(greetings, welcome)
punct(meaning, ))
punct(done, .)
det(dancers, The)
compound(York, New)
compound(dancers, York)
nsubj(eclectic, dancers)
cop(eclectic, are)
advmod(eclectic, highly)
root(ROOT, eclectic)
punct(eclectic, ,)
advcl(eclectic, varying)
det(pattern, the)
obj(varying, pattern)
case(kinds, with)
det(kinds, all)
nmod(pattern, kinds)
case(improvisations, of)
amod(improvisations, personal)
nmod(kinds, improvisations)
punct(bends, ,)
compound(bends, back)
conj(improvisations, bends)
cc(crawls, or)
compound(crawls, floor)
conj(improvisations, crawls)
punct(eclectic, .)
cc(strip, But)
nsubj(strip, they)
aux(strip, do)
advmod(strip, not)
root(ROOT, strip)
punct(strip, .)
det(striptease, The)
nsubj(crass, striptease)
cop(crass, is)
root(ROOT, crass)
punct(crass, ;)
punct(crass, ;)
det(dance, the)
compound(dance, belly)
nsubj(leaves, dance)
parataxis(crass, leaves)
obj(leaves, more)
case(imagination, to)
det(imagination, the)
obl(leaves, imagination)
punct(leaves, .)
mark(does, When)
det(dancer, a)
nsubj(does, dancer)
advcl(provokes, does)
advmod(does, well)
punct(provokes, ,)
nsubj(provokes, she)
parataxis(crass, provokes)
det(bombardment, a)
amod(bombardment, quiet)
obj(provokes, bombardment)
case(bills, of)
compound(bills, dollar)
nmod(bombardment, bills)
punct(provokes, --)
mark(prohibit, although)
det(clubs, the)
compound(clubs, Manhattan)
nsubj(prohibit, clubs)
advcl(provokes, prohibit)
det(practice, the)
advmod(cosmopolitan, more)
amod(practice, cosmopolitan)
obj(prohibit, practice)
mark(slipping, of)
acl(practice, slipping)
det(tips, the)
obj(slipping, tips)
case(costumes, into)
det(dancers, the)
nmod:poss(costumes, dancers)
case(dancers, ')
obl(slipping, costumes)
punct(crass, .)
case(tips, With)
obl(average, tips)
punct(average, ,)
det(girls, the)
nsubj(average, girls)
root(ROOT, average)
case($, between)
obl(average, $)
nummod($, 150)
cc($, and)
conj($, $)
nummod($, 200)
det(week, a)
nmod:npmod($, week)
punct(average, ,)
case(salary, depending)
case(salary, on)
amod(salary, basic)
obl(average, salary)
punct(average, .)
mark(forbidden, Although)
nsubj(forbidden, they)
cop(forbidden, are)
advcl(proffered, forbidden)
mark(sit, to)
xcomp(forbidden, sit)
case(customers, with)
det(customers, the)
obl(sit, customers)
punct(proffered, ,)
det(dancers, the)
nsubj:pass(proffered, dancers)
aux:pass(proffered, are)
advmod(proffered, sometimes)
root(ROOT, proffered)
obj(proffered, drinks)
punct(bolt, ,)
cc(bolt, and)
nsubj(bolt, most)
case(them, of)
nmod(most, them)
aux(bolt, can)
conj(proffered, bolt)
obj(bolt, one)
compound:prt(bolt, down)
case(mid-shimmy, in)
obl(bolt, mid-shimmy)
punct(proffered, .)
det(pot, The)
compound(pot, melting)
root(ROOT, pot)
punct(pot, .)
nsubj(bigger, All)
case(country, over)
det(country, the)
nmod(All, country)
punct(bigger, ,)
compound(clubs, belly)
nsubj(bigger, clubs)
aux(bigger, have)
advmod(bigger, never)
cop(bigger, been)
root(ROOT, bigger)
punct(bigger, ,)
advmod(Detroit, especially)
case(Detroit, in)
obl(bigger, Detroit)
punct(Boston, ,)
conj(Detroit, Boston)
cc(Chicago, and)
conj(Detroit, Chicago)
punct(towns, ,)
cc(towns, and)
advmod(towns, even)
case(towns, in)
amod(towns, small)
conj(Detroit, towns)
punct(bigger, ;)
punct(bigger, ;)
nsubj(works, one)
case(dancers, of)
det(dancers, the)
amod(dancers, best)
nmod(one, dancers)
punct(girl, ,)
det(girl, a)
amod(girl, Turkish)
appos(one, girl)
acl(girl, named)
xcomp(named, Semra)
punct(works, ,)
conj(bigger, works)
case(roadhouse, at)
det(roadhouse, a)
obl(works, roadhouse)
case(Bristol, outside)
nmod(roadhouse, Bristol)
punct(Bristol, ,)
appos(Bristol, Conn)
punct(bigger, .)
punct(bigger, .)
det(girls, The)
nsubj:pass(kept, girls)
aux:pass(kept, are)
root(ROOT, kept)
xcomp(kept, booked)
cc(moving, and)
conj(booked, moving)
case(agents, by)
amod(agents, several)
obl(moving, agents)
punct(agents, ,)
advmod(voluble, notably)
amod(agents, voluble)
punct(Murat, ,)
amod(bearded, black)
punct(bearded, -)
amod(Murat, bearded)
appos(agents, Murat)
flat(Murat, Somay)
punct(Murat, ,)
det(Turk, a)
compound(Turk, Manhattan)
appos(Murat, Turk)
nsubj(Hurok, who)
cop(Hurok, is)
det(Hurok, the)
compound(Hurok, Sol)
acl:relcl(Turk, Hurok)
case(abdomen, of)
det(abdomen, the)
amod(abdomen, central)
nmod(Hurok, abdomen)
punct(booked, .)
nsubj(offer, He)
aux(offer, can)
root(ROOT, offer)
nummod(girls, nine)
amod(girls, Turkish)
obj(offer, girls)
punct(girls, ,)
conj(girls, plans)
mark(import, to)
advcl(offer, import)
case(least, at)
nmod(15, least)
nummod(more, 15)
obj(import, more)
punct(offer, .)
cc(more, But)
det(many, a)
amod(many, great)
nsubj(more, many)
case(dancers, of)
det(dancers, the)
nmod(many, dancers)
cop(more, are)
root(ROOT, more)
cc(native, or)
advmod(native, less)
conj(more, native)
punct(more, .)
advmod(get, Sometimes)
nsubj(get, they)
root(ROOT, get)
nmod:poss(experience, their)
amod(experience, initial)
obj(get, experience)
case(haflis, in)
compound(haflis, church)
obl(get, haflis)
punct(get, ,)
acl(experience, conducted)
case(Lebanese, by)
obl(conducted, Lebanese)
cc(Syrians, and)
conj(Lebanese, Syrians)
case(U.S., in)
det(U.S., the)
obl(conducted, U.S.)
punct(U.S., ,)
advmod(dance, where)
nsubj(dance, they)
acl:relcl(U.S., dance)
obl(dance, with)
advmod(veils, just)
case(veils, as)
amod(veils, few)
obl(dance, veils)
case(bodies, across)
nmod:poss(bodies, their)
nmod(veils, bodies)
case(nightclubs, as)
case(nightclubs, in)
nmod(veils, nightclubs)
punct(get, .)
mark(come, As)
det(girls, the)
nsubj(come, girls)
advcl(bubbled, come)
case(dancing, to)
compound(dancing, belly)
obl(come, dancing)
case(this, from)
nmod(dancing, this)
cc(origins, and)
amod(origins, other)
conj(this, origins)
punct(bubbled, ,)
det(pot, the)
compound(pot, melting)
nsubj(bubbled, pot)
aux(bubbled, has)
advmod(bubbled, never)
root(ROOT, bubbled)
advmod(intriguingly, more)
advmod(bubbled, intriguingly)
punct(bubbled, .)
det(examples, Some)
compound(examples, Manhattan)
root(ROOT, examples)
punct(examples, : )
nsubj(seems, Jemela)
punct(surname, ()
appos(Jemela, surname)
punct(surname, :)
appos(surname, Gerby)
punct(Gerby, ))
punct(Gerby, ,)
nummod(Gerby, 23)
punct(seems, ,)
root(ROOT, seems)
compound(Oriental, Hong)
compound(Oriental, Kong)
obj(seems, Oriental)
cc(has, but)
conj(seems, has)
det(father, a)
amod(father, Spanish)
obj(has, father)
cc(mother, and)
det(mother, an)
amod(mother, Indian)
conj(father, mother)
punct(born, ,)
aux:pass(born, was)
acl:relcl(father, born)
case(America, in)
obl(born, America)
cc(educated, and)
conj(born, educated)
case(Academy, at)
compound(Academy, Holy)
compound(Academy, Cross)
obl(educated, Academy)
cc(School, and)
compound(School, Textile)
compound(School, High)
conj(Academy, School)
punct(says, ,)
conj(born, says)
nsubj(learned, she)
ccomp(says, learned)
obj(learned, belly)
acl(belly, dancing)
case(picnics, at)
compound(picnics, family)
obl(dancing, picnics)
punct(says, .)
nsubj:pass(born, Serene)
punct(Mrs., ()
appos(Serene, Mrs.)
flat(Mrs., Wilson)
punct(Mrs., ))
punct(Mrs., ,)
amod(Mrs., 23)
punct(born, ,)
aux:pass(born, was)
root(ROOT, born)
case(Budapest, in)
obl(born, Budapest)
cc(raised, and)
conj(born, raised)
case(Manhattan, in)
obl(raised, Manhattan)
punct(born, .)
obl:npmod(born, Daughter)
case(mother, of)
det(mother, a)
compound(mother, gypsy)
nmod(Daughter, mother)
nsubj(taught, who)
acl:relcl(mother, taught)
obj(taught, her)
case(dance, to)
obl(taught, dance)
punct(one, ,)
nsubj(one, she)
cop(one, is)
parataxis(born, one)
case(girls, of)
det(girls, the)
amod(girls, few)
advmod(beautiful, really)
amod(girls, beautiful)
nmod(one, girls)
case(Casbah, in)
det(Casbah, the)
compound(York, New)
compound(Casbah, York)
nmod(girls, Casbah)
punct(girls, ,)
case(eyes, with)
amod(eyes, dark)
nmod(girls, eyes)
cc(dark, and)
conj(eyes, dark)
punct(hair, ,)
compound(length, waist)
punct(length, -)
compound(hair, length)
conj(eyes, hair)
punct(face, ,)
det(face, the)
conj(eyes, face)
case(patrician, of)
det(patrician, an)
amod(patrician, adolescent)
nmod(face, patrician)
cc(body, and)
det(body, a)
amod(body, lithe)
punct(body, ,)
amod(body, glimmering)
conj(patrician, body)
punct(born, .)
amod(dancers, Many)
compound(dancers, belly)
nsubj:pass(married, dancers)
aux:pass(married, are)
root(ROOT, married)
punct(one, ,)
cc(one, but)
nsubj(one, Serene)
cop(one, is)
conj(married, one)
case(few, of)
det(few, the)
nmod(one, few)
nsubj(admit, who)
aux(admit, will)
acl:relcl(few, admit)
obj(admit, it)
punct(Marlene, .)
obj(admit, Marlene)
punct(surname, ()
appos(Marlene, surname)
punct(surname, :)
appos(surname, Adamo)
punct(Adamo, ))
punct(Adamo, ,)
appos(Adamo, 25)
punct(divorcee, ,)
det(divorcee, a)
amod(divorcee, Brazilian)
appos(Marlene, divorcee)
nsubj(learned, who)
acl:relcl(divorcee, learned)
det(dance, the)
obj(learned, dance)
case(friends, from)
compound(friends, Arabic)
nmod(dance, friends)
case(Paris, in)
nmod(friends, Paris)
punct(lives, ,)
advmod(lives, now)
acl:relcl(Paris, lives)
case(Side, on)
nmod:poss(Side, Manhattan)
case(Manhattan, 's)
compound(Side, West)
obl(lives, Side)
punct(dancer, ,)
cop(dancer, is)
advmod(dancer, about)
det(dancer, the)
amod(dancer, best)
compound(dancer, belly)
parataxis(lives, dancer)
acl(dancer, working)
det(Casbah, the)
obj(working, Casbah)
punct(loves, ,)
parataxis(dancer, loves)
obj(loves, it)
advmod(much, so)
advmod(loves, much)
mark(dances, that)
nsubj(dances, she)
advcl(much, dances)
case(day, on)
nmod:poss(day, her)
obl(dances, day)
advmod(dances, off)
punct(married, .)
nsubj(has, She)
root(ROOT, has)
det(body, the)
amod(body, small)
punct(body, ,)
advmod(developed, highly)
amod(body, developed)
obj(has, body)
case(athlete, of)
det(athlete, a)
amod(athlete, prime)
nmod(body, athlete)
punct(holds, ,)
cc(holds, and)
conj(has, holds)
case(contempt, in)
obl(holds, contempt)
det(girls, the)
punct(girls, ``)
appos(contempt, girls)
nsubj(move, who)
advmod(move, just)
acl:relcl(girls, move)
obj(move, sex)
punct(move, '')
punct(girls, .)
appos(girls, Leila)
punct(Malia, ()
appos(Leila, Malia)
flat(Malia, Phillips)
punct(Malia, ))
punct(Malia, ,)
nummod(Malia, 25)
punct(painter, ,)
cop(painter, is)
det(painter, a)
compound(painter, Greenwich)
compound(painter, Village)
parataxis(has, painter)
case(miniatures, of)
amod(miniatures, Persianesque)
nmod(painter, miniatures)
nsubj(has, who)
acl:relcl(miniatures, has)
amod(hair, red)
obj(has, hair)
nsubj(cascades, that)
acl:relcl(hair, cascades)
advmod(ankles, almost)
case(ankles, to)
nmod:poss(ankles, her)
obl(cascades, ankles)
punct(has, . )
det(graduate, A)
root(ROOT, graduate)
case(School, of)
compound(School, Hollywood)
compound(School, High)
nmod(graduate, School)
punct(likes, ,)
nsubj(likes, she)
parataxis(graduate, likes)
mark(imagine, to)
xcomp(likes, imagine)
obj(imagine, herself)
punct(likes, ,)
mark(takes, as)
nsubj(takes, she)
advcl(imagine, takes)
det(floor, the)
obj(takes, floor)
punct(takes, ,)
punct(girl, ``)
det(girl, a)
compound(girl, village)
conj(takes, girl)
acl(girl, coming)
advmod(coming, in)
case(festival, to)
det(festival, a)
obl(coming, festival)
punct(surname, '')
punct(surname, .)
appos(girl, Gloria)
punct(surname, ()
appos(Gloria, surname)
punct(surname, :)
appos(surname, Ziraldo)
punct(Ziraldo, ))
punct(circa, ,)
appos(surname, circa)
nummod(circa, 30)
punct(circa, ,)
nsubj:pass(born, who)
aux:pass(born, was)
acl:relcl(surname, born)
case(Italy, in)
obl(born, Italy)
cc(did, and)
advmod(did, once)
conj(born, did)
punct(work, ``)
compound(work, chorus)
obj(did, work)
punct(work, '')
case(Toronto, in)
obl(did, Toronto)
punct(longer, ,)
aux(longer, has)
cop(longer, been)
advmod(longer, around)
advmod(did, longer)
case(most, than)
obl(longer, most)
case(others, of)
det(others, the)
nmod(most, others)
punct(remembers, ,)
advmod(remembers, wistfully)
parataxis(longer, remembers)
det(days, the)
amod(days, old)
obj(remembers, days)
mark(used, when)
punct(used, ``)
nsubj(used, we)
advcl(remembers, used)
mark(get, to)
xcomp(used, get)
det(seamen, the)
obj(get, seamen)
case(ships, from)
det(ships, the)
obl(get, ships)
punct(know, ,)
nsubj(know, you)
parataxis(used, know)
punct(know, ,)
case(sweaters, with)
amod(sweaters, big)
compound(sweaters, turtleneck)
obl(know, sweaters)
cc(handkerchiefs, and)
conj(sweaters, handkerchiefs)
cc(all, and)
conj(sweaters, all)
punct(know, .)
cc(slow, But)
det(ships, the)
nsubj(slow, ships)
cop(slow, are)
advmod(slow, very)
root(ROOT, slow)
advmod(slow, now)
punct(get, ,)
cc(get, and)
nsubj(get, we)
aux(get, do)
advmod(get, n't)
conj(slow, get)
advmod(many, so)
amod(sailors, many)
obj(get, sailors)
advmod(more, any)
advmod(get, more)
punct(get, '')
punct(moved, .)
det(crowd, The)
amod(crowd, uptown)
nsubj(moved, crowd)
aux(moved, has)
parataxis(slow, moved)
advmod(moved, in)
punct(trade, ,)
cc(trade, and)
det(girl, what)
nsubj(trade, girl)
amod(girl, worth)
nmod:poss(veil, her)
amod(veil, seventh)
obj(worth, veil)
aux(trade, would)
conj(moved, trade)
det(sweater, a)
compound(sweater, turtleneck)
obj(trade, sweater)
case(collar, for)
det(collar, a)
compound(down, button)
punct(down, -)
compound(collar, down)
obl(trade, collar)
punct(slow, ?)
punct(slow, ? )
det(span, A)
amod(span, short)
punct(span, ,)
amod(span, tormented)
nsubj:pass(known, span)
case(handful, Of)
det(handful, the)
nmod(span, handful)
case(painters, of)
nmod(handful, painters)
obj(produced, that)
nsubj(produced, Austria)
aux(produced, has)
acl:relcl(painters, produced)
case(century, in)
det(century, the)
amod(century, 20th)
obl(produced, century)
punct(one, ,)
advmod(one, only)
appos(span, one)
punct(Oskar, ,)
appos(one, Oskar)
flat(Oskar, Kokoschka)
punct(known, ,)
aux:pass(known, is)
advmod(known, widely)
root(ROOT, known)
case(U.S., in)
det(U.S., the)
obl(known, U.S.)
punct(known, .)
det(state, This)
nsubj(last, state)
case(unawareness, of)
nmod(state, unawareness)
aux(last, may)
advmod(last, not)
root(ROOT, last)
advmod(longer, much)
advmod(last, longer)
punct(last, .)
case(years, For)
nummod(years, ten)
obl(calling, years)
det(group, a)
amod(group, small)
nsubj(calling, group)
case(critics, of)
amod(critics, European)
cc(U.S., and)
conj(European, U.S.)
nmod(group, critics)
aux(calling, has)
aux(calling, been)
root(ROOT, calling)
obj(calling, attention)
case(expressionist, to)
det(expressionist, the)
compound(forgotten, half)
punct(forgotten, -)
amod(expressionist, forgotten)
amod(expressionist, Austrian)
obl(calling, expressionist)
appos(expressionist, Egon)
flat(Egon, Schiele)
punct(expressionist, ,)
nsubj(died, who)
acl:relcl(expressionist, died)
nummod(years, 42)
obl:npmod(ago, years)
advmod(died, ago)
case(age, at)
det(age, the)
obl(died, age)
case(28, of)
nmod(age, 28)
punct(calling, .)
det(critics, The)
nmod:poss(campaign, critics)
case(critics, ')
nsubj(inspired, campaign)
advmod(inspired, finally)
root(ROOT, inspired)
det(exhibit, the)
amod(exhibit, first)
amod(exhibit, major)
compound(exhibit, U.S.)
obj(inspired, exhibit)
case(works, of)
nmod:poss(works, Schiele)
case(Schiele, 's)
nmod(exhibit, works)
punct(inspired, .)
det(show, The)
nsubj(Boston, show)
aux(Boston, has)
cop(Boston, been)
case(Boston, to)
root(ROOT, Boston)
cc(Manhattan, and)
conj(Boston, Manhattan)
punct(Boston, ,)
aux(reach, will)
case(time, in)
obl(reach, time)
conj(Boston, reach)
obj(reach, Pittsburgh)
cc(Minneapolis, and)
conj(Pittsburgh, Minneapolis)
punct(reach, .)
amod(week, Last)
obl:tmod(opened, week)
nsubj(opened, it)
conj(Boston, opened)
case(Museum, at)
det(Museum, the)
compound(Museum, J.)
flat(J., B.)
compound(Museum, Speed)
obl(opened, Museum)
case(Louisville, in)
nmod(Museum, Louisville)
punct(opened, ,)
case(moment, at)
det(moment, the)
amod(moment, very)
obl(opened, moment)
mark(made, that)
det(exhibit, a)
amod(exhibit, second)
compound(exhibit, Schiele)
nsubj:pass(made, exhibit)
aux(made, was)
aux:pass(made, being)
acl(moment, made)
xcomp(made, ready)
case(gallery, at)
det(gallery, the)
compound(gallery, Felix)
flat(Felix, Landau)
obl(ready, gallery)
case(Angeles, in)
compound(Angeles, Los)
nmod(gallery, Angeles)
punct(anything, .)
nmod:poss(paintings, Schiele)
case(Schiele, 's)
nsubj(anything, paintings)
cop(anything, are)
conj(made, anything)
cc(pleasant, but)
conj(anything, pleasant)
punct(Boston, .)
nmod:poss(people, His)
nsubj(angular, people)
punct(see, ()
parataxis(people, see)
obj(see, color)
punct(see, ))
cop(angular, are)
root(ROOT, angular)
cc(knuckled, and)
amod(knuckled, knobby)
punct(knuckled, -)
conj(angular, knuckled)
punct(angular, ,)
advmod(stretched, sometimes)
advmod(stretched, painfully)
conj(angular, stretched)
punct(stretched, ,)
advmod(foreshortened, sometimes)
advmod(foreshortened, grotesquely)
conj(stretched, foreshortened)
punct(angular, .)
nmod:poss(colors, His)
nsubj(dark, colors)
cop(dark, are)
root(ROOT, dark)
cc(murky, and)
conj(dark, murky)
punct(swallowed, ,)
cc(swallowed, and)
nmod:poss(landscapes, his)
nsubj:pass(swallowed, landscapes)
cc(cityscapes, and)
conj(landscapes, cityscapes)
aux:pass(swallowed, seem)
conj(dark, swallowed)
case(gloom, in)
obl(swallowed, gloom)
punct(dark, .)
cc(lost, But)
nsubj(painted, he)
root(ROOT, painted)
obj(painted, some)
case(pictures, of)
det(pictures, the)
amod(pictures, boldest)
cc(original, and)
advmod(original, most)
conj(boldest, original)
nmod(some, pictures)
case(time, of)
nmod:poss(time, his)
nmod(pictures, time)
punct(lost, ,)
cc(lost, and)
advmod(century, even)
case(century, after)
advmod(half, nearly)
det:predet(century, half)
det(century, a)
obl(lost, century)
punct(lost, ,)
det(world, the)
amod(world, tense)
punct(world, ,)
amod(world, tormented)
nsubj(lost, world)
nsubj(put, he)
acl:relcl(world, put)
compound:prt(put, on)
obj(put, canvas)
aux(lost, has)
conj(painted, lost)
obj(lost, none)
case(fascination, of)
nmod:poss(fascination, its)
nmod(none, fascination)
punct(painted, .)
det(devil, The)
root(ROOT, devil)
nmod:npmod(devil, himself)
punct(devil, .)
det(son, The)
nsubj(lived, son)
case(stationmaster, of)
det(stationmaster, a)
compound(stationmaster, railway)
nmod(son, stationmaster)
punct(lived, ,)
nsubj(lived, Schiele)
root(ROOT, lived)
obj(lived, most)
case(childhood, of)
nmod:poss(childhood, his)
nmod(most, childhood)
case(town, in)
det(town, the)
amod(town, drowsy)
compound(town, Danubian)
obl(lived, town)
case(Tulln, of)
nmod(town, Tulln)
punct(town, ,)
nummod(miles, 14)
obl:npmod(northwest, miles)
advmod(lived, northwest)
case(Vienna, of)
obl(northwest, Vienna)
punct(lived, .)
nsubj(boy, He)
cop(boy, was)
det(boy, an)
amod(boy, emotional)
punct(boy, ,)
amod(boy, lonely)
root(ROOT, boy)
nsubj(spent, who)
acl:relcl(boy, spent)
advmod(much, so)
amod(time, much)
obj(spent, time)
advcl(spent, turning)
compound:prt(turning, out)
obj(turning, drawings)
mark(did, that)
nsubj(did, he)
ccomp(turning, did)
advmod(did, scarcely)
det(schoolwork, any)
obj(did, schoolwork)
punct(did, .)
mark(15, When)
nsubj(15, he)
cop(15, was)
advcl(allowed, 15)
punct(allowed, ,)
nmod:poss(parents, his)
nsubj(allowed, parents)
advmod(allowed, finally)
parataxis(boy, allowed)
obj(allowed, him)
mark(attend, to)
xcomp(allowed, attend)
obj(attend, classes)
case(Academy, at)
det(Academy, the)
obl(attend, Academy)
case(Arts, of)
compound(Arts, Fine)
nmod(Academy, Arts)
case(Vienna, in)
nmod(Arts, Vienna)
punct(attend, .)
advmod(there, Even)
advmod(last, there)
nsubj(last, he)
aux(last, did)
advmod(last, not)
parataxis(allowed, last)
case(long, for)
obl(last, long)
punct(boy, .)
root(ROOT, Cried)
nummod(professor, one)
obj(Cried, professor)
case(months, after)
det(months, a)
amod(months, few)
obl(Cried, months)
case(tantrums, of)
compound(Schiele, Student)
nmod:poss(tantrums, Schiele)
case(Schiele, 's)
nmod(months, tantrums)
cc(rebellion, and)
conj(tantrums, rebellion)
punct(Cried, :)
punct(Cried, ``)
det(devil, The)
nsubj(defecated, devil)
nmod:npmod(devil, himself)
aux(defecated, must)
aux(defecated, have)
root(ROOT, defecated)
obj(defecated, you)
case(classroom, into)
nmod:poss(classroom, my)
obl(defecated, classroom)
punct(defecated, '')
punct(defecated, !)
punct(defecated, !)
case(while, For)
det(while, a)
obl(influenced, while)
nmod:poss(work, his)
nsubj:pass(influenced, work)
aux:pass(influenced, was)
root(ROOT, influenced)
advmod(influenced, deeply)
case(impressionists, by)
det(impressionists, the)
amod(impressionists, French)
obl(influenced, impressionists)
punct(evolved, ,)
cc(evolved, and)
case(paintings, by)
det(paintings, the)
amod(paintings, patterned)
punct(paintings, ,)
amod(paintings, mosaic)
punct(mosaic, -)
case(paintings, like)
conj(impressionists, paintings)
case(Gustav, of)
nmod(paintings, Gustav)
flat(Gustav, Klimt)
punct(Gustav, ,)
advmod(dean, then)
det(dean, the)
appos(Gustav, dean)
case(art, of)
amod(art, Austrian)
nmod(dean, art)
punct(dean, .)
advmod(evolved, Gradually)
nsubj(evolved, Schiele)
conj(influenced, evolved)
det(style, a)
amod(style, somber)
obj(evolved, style)
case(own, of)
nmod:poss(own, his)
nmod(style, own)
punct(evolved, --)
cc(had, and)
nsubj(had, he)
conj(evolved, had)
amod(inhibitions, few)
obj(had, inhibitions)
case(matter, about)
nmod:poss(matter, his)
amod(matter, subject)
nmod(inhibitions, matter)
punct(influenced, .)
nmod:poss(pictures, His)
nsubj:pass(denounced, pictures)
aux:pass(denounced, were)
advmod(denounced, roundly)
root(ROOT, denounced)
case(things, as)
punct(things, ``)
det(things, the)
advmod(disgusting, most)
amod(things, disgusting)
obl(denounced, things)
nsubj(seen, one)
aux(seen, has)
advmod(seen, ever)
acl:relcl(things, seen)
case(Vienna, in)
obl(seen, Vienna)
punct(denounced, '')
punct(denounced, .)
nsubj:pass(convicted, He)
nmod:npmod(He, himself)
aux:pass(convicted, was)
advmod(convicted, once)
parataxis(denounced, convicted)
case(erotica, of)
compound(erotica, painting)
obl(convicted, erotica)
cc(jailed, and)
conj(erotica, jailed)
case(days, for)
nummod(days, 24)
obl(jailed, days)
punct(convicted, --)
det(three, the)
amod(three, first)
nsubj:pass(convicted, three)
case(which, of)
obl(spent, which)
nsubj(spent, he)
acl:relcl(three, spent)
advmod(spent, desperately)
advcl(spent, trying)
mark(make, to)
xcomp(trying, make)
obj(make, paintings)
case(wall, on)
det(wall, the)
obl(make, wall)
case(spittle, with)
nmod:poss(spittle, his)
amod(spittle, own)
obl(make, spittle)
punct(denounced, .)
case(years, For)
obl(wore, years)
nsubj(wore, he)
root(ROOT, wore)
compound(me, hand)
punct(me, -)
obj(wore, me)
punct(me, -)
compound(me, down)
obj(wore, suits)
cc(collars, and)
amod(collars, homemade)
compound(collars, paper)
conj(suits, collars)
punct(driven, ,)
aux:pass(driven, was)
advmod(driven, even)
parataxis(wore, driven)
mark(scrounging, to)
advcl(driven, scrounging)
case(butts, for)
compound(butts, cigarette)
obl(scrounging, butts)
case(gutters, in)
nmod:poss(gutters, Vienna)
case(Vienna, 's)
obl(scrounging, gutters)
punct(scrounging, .)
acl(gutters, Drafted)
case(army, into)
det(army, the)
amod(army, Austrian)
obl(Drafted, army)
punct(rejected, ,)
nsubj(rejected, he)
advmod(rejected, rebelliously)
parataxis(wore, rejected)
obj(rejected, discipline)
punct(wangled, ,)
conj(rejected, wangled)
det(billet, a)
compound(billet, Vienna)
obj(wangled, billet)
punct(went, ,)
conj(rejected, went)
case(painting, on)
obl(went, painting)
punct(wore, .)
nsubj(year, It)
cop(year, was)
advmod(year, not)
case(year, until)
det(year, the)
amod(year, last)
root(ROOT, year)
case(life, of)
nmod:poss(life, his)
nmod(year, life)
mark(had, that)
nsubj(had, he)
acl:relcl(year, had)
nmod:poss(show, his)
amod(show, first)
compound(show, moneymaking)
obj(had, show)
punct(obsession, .)
amod(obsession, Melancholy)
obj(had, obsession)
punct(year, .)
det(sexuality, The)
amod(sexuality, unabashed)
nsubj(thing, sexuality)
case(many, of)
advmod(many, so)
nmod(sexuality, many)
case(paintings, of)
nmod:poss(paintings, his)
nmod(many, paintings)
cop(thing, was)
advmod(thing, not)
det(thing, the)
amod(thing, only)
root(ROOT, thing)
nsubj(kept, that)
acl:relcl(thing, kept)
det(public, the)
obj(kept, public)
case(bay, at)
obl(kept, bay)
punct(thing, :)
nmod:poss(view, his)
nsubj(one, view)
case(world, of)
det(world, the)
nmod(view, world)
cop(one, was)
parataxis(thing, one)
case(tragedy, of)
