nsubj(break, he)
nmod:poss(way, he)
parataxis(man, way)
case(gallop, at)
det(gallop, a)
nmod(way, gallop)
punct(man, .)
nsubj(run, Mike)
root(ROOT, run)
case(line, down)
det(line, the)
obl(run, line)
punct(run, ,)
advcl(run, slash)
compound(rope, picket)
obj(slash, rope)
case(bayonet, with)
det(bayonet, the)
obl(slash, bayonet)
punct(run, .)
nsubj(lift, he)
root(ROOT, lift)
det(whoop, a)
compound(war, screech)
compound(whoop, war)
obj(lift, whoop)
punct(lift, .)
nsubj(touch, that)
root(ROOT, touch)
compound:prt(touch, off)
det(total, a)
amod(stampede, total)
xcomp(touch, stampede)
punct(touch, .)
nsubj(dart, he)
root(ROOT, dart)
case(stockade, inside)
det(stockade, the)
obl(dart, stockade)
cc(freed, and)
conj(dart, freed)
det(horse, the)
obj(freed, horse)
advmod(freed, there)
punct(dart, .)
nsubj(pour, these)
root(ROOT, pour)
case(gate, through)
det(gate, the)
obl(pour, gate)
cc(join, and)
conj(pour, join)
det(flight, the)
obj(join, flight)
punct(pour, .)
det(animal, the)
nsubj(thunder, animal)
root(ROOT, thunder)
advmod(thunder, away)
case(moonlight, into)
det(moonlight, the)
obl(thunder, moonlight)
punct(thunder, ,)
advcl(thunder, head)
case(ridge, for)
det(ridge, the)
obl(head, ridge)
punct(thunder, .)
det(guerrilla, the)
nsubj(swarming, guerrilla)
aux(swarming, be)
root(ROOT, swarming)
case(bivouac, from)
nmod:poss(bivouac, they)
obl(swarming, bivouac)
case(end, at)
det(end, the)
amod(end, west)
obl(swarming, end)
case(enclosure, of)
det(enclosure, the)
nmod(end, enclosure)
punct(swarming, .)
punct(swarming, ``)
root(ROOT, apach)
punct(apach, '')
punct(apach, !)
punct(apach, !)
nsubj(yell, Mike)
root(ROOT, yell)
punct(yell, .)
punct(yell, ``)
nsubj(stealin', they)
aux(stealin', be)
root(ROOT, stealin')
det(stock, the)
obj(stealin', stock)
punct(stealin', '')
punct(stealin', !)
punct(stealin', !)
nsubj(scuttle, he)
root(ROOT, scuttle)
case(shadow, in)
obl(scuttle, shadow)
case(wall, along)
det(wall, the)
amod(wall, east)
obl(scuttle, wall)
case(stockade, of)
det(stockade, the)
nmod(wall, stockade)
cc(follow, and)
advmod(follow, then)
conj(scuttle, follow)
det(wall, the)
amod(wall, south)
obj(follow, wall)
mark(rear, until)
nsubj(rear, he)
cop(rear, be)
case(rear, at)
det(rear, the)
advcl(follow, rear)
case(building, of)
det(building, the)
nummod(building, two)
compound(building, frame)
nmod(rear, building)
punct(scuttle, .)
nsubj(crouch, he)
root(ROOT, crouch)
advmod(crouch, there)
punct(crouch, .)
nmod:poss(shout, he)
nsubj:pass(take, shout)
aux(take, have)
aux:pass(take, be)
root(ROOT, take)
compound:prt(take, up)
cc(repeat, and)
conj(take, repeat)
punct(take, .)
det(guerrilla, the)
nsubj(run, guerrilla)
aux(run, be)
root(ROOT, run)
case(ground, across)
det(ground, the)
compound(ground, parade)
obl(run, ground)
cc(gate, and)
case(gate, through)
det(gate, the)
compound(gate, rear)
conj(ground, gate)
case(wake, in)
det(wake, the)
nmod(gate, wake)
case(horse, of)
det(horse, the)
compound(horse, depart)
nmod(wake, horse)
punct(run, .)
nsubj(carry, all)
aux(carry, be)
root(ROOT, carry)
obj(carry, gun)
nsubj(seize, they)
aux(seize, have)
acl:relcl(gun, seize)
compound:prt(seize, up)
punct(clad, ,)
cc(clad, but)
nsubj(clad, they)
cop(clad, be)
advmod(clad, half)
punct(clad, -)
conj(carry, clad)
cc(clad, or)
advmod(clad, hardly)
conj(clad, clad)
case(all, at)
obl(clad, all)
punct(carry, .)
nsubj(come, Durkin)
cc(Calhoun, and)
conj(Durkin, Calhoun)
conj(carry, come)
xcomp(come, run)
case(post, from)
det(post, the)
obl(run, post)
punct(come, .)
nsubj(have, they)
root(ROOT, have)
obj(have, pistol)
case(hand, in)
nmod:poss(hand, they)
obl(have, hand)
punct(have, .)
nsubj(bawl, they)
root(ROOT, bawl)
obj(bawl, question)
nsubj:pass(answer, that)
aux:pass(answer, be)
advmod(answer, not)
acl:relcl(question, answer)
case(uproar, in)
det(uproar, the)
obl(answer, uproar)
punct(bawl, .)
nsubj(follow, they)
root(ROOT, follow)
det(other, the)
obj(follow, other)
case(gate, toward)
det(gate, the)
amod(gate, east)
obl(follow, gate)
punct(follow, .)
case(rifle, beyond)
det(rifle, the)
compound(rifle, stockade)
nsubj(begin, rifle)
root(ROOT, begin)
mark(explode, to)
xcomp(begin, explode)
mark(fire, as)
nsubj(fire, some)
case(guerrilla, of)
det(guerrilla, the)
nmod(some, guerrilla)
advcl(explode, fire)
case(shadow, at)
obl(fire, shadow)
obj(imagine, that)
nsubj(imagine, they)
acl:relcl(shadow, imagine)
cop(apach, be)
ccomp(imagine, apach)
punct(begin, .)
nsubj(make, Mike)
root(ROOT, make)
det(dash, a)
obj(make, dash)
case(rear, to)
det(rear, the)
obl(make, rear)
case(building, of)
det(building, the)
compound(building, frame)
nmod(rear, building)
punct(make, .)
nsubj(crawl, he)
root(ROOT, crawl)
case(wagon, beneath)
det(wagon, the)
nummod(wagon, two)
compound(wagon, supply)
obl(crawl, wagon)
nsubj(stand, which)
acl:relcl(wagon, stand)
case(building, between)
det(building, the)
obl(stand, building)
cc(peer, and)
conj(stand, peer)
case(corner, around)
det(corner, a)
obl(peer, corner)
punct(crawl, .)
det(area, the)
nsubj:pass(desert, area)
aux:pass(desert, be)
root(ROOT, desert)
punct(desert, . )
det(man, a)
nsubj(stand, man)
aux(stand, be)
root(ROOT, stand)
case(door, in)
det(door, the)
amod(door, open)
obl(stand, door)
case(room, of)
det(room, the)
amod(room, light)
amod(room, orderly)
nmod(door, room)
det(yard, a)
amod(yard, few)
nmod:tmod(room, yard)
case(leave, to)
nmod:poss(leave, Mike)
case(Mike, 's)
acl(yard, leave)
punct(make, ,)
cc(make, but)
nsubj(make, he)
punct(make, ,)
advmod(make, too)
punct(make, ,)
advmod(make, suddenly)
conj(stand, make)
compound:prt(make, up)
nmod:poss(mind, he)
obj(make, mind)
cc(racing, and)
nsubj(racing, we)
advmod(racing, not)
conj(make, racing)
mark(join, to)
xcomp(racing, join)
det(activity, the)
amod(activity, confuse)
obj(join, activity)
case(end, at)
det(end, the)
amod(end, east)
obl(join, end)
case(stockade, of)
det(stockade, the)
nmod(end, stockade)
punct(stand, .)
nsubj(crawl, Mike)
root(ROOT, crawl)
case(door, to)
det(door, the)
obl(crawl, door)
cc(peer, and)
conj(crawl, peer)
advmod(peer, in)
punct(crawl, .)
det(room, the)
amod(room, orderly)
nsubj(seem, room)
parataxis(crawl, seem)
mark(desert, to)
aux:pass(desert, be)
xcomp(seem, desert)
punct(crawl, . )
det(lantern, a)
nsubj(hang, lantern)
root(ROOT, hang)
case(peg, from)
det(peg, a)
obl(hang, peg)
punct(hang, ,)
advcl(hang, give)
obj(give, light)
punct(hang, .)
advcl(find, ducking)
advmod(ducking, inside)
punct(find, ,)
nsubj(find, he)
root(ROOT, find)
mark(stack, that)
nummod(rifle, three)
nsubj:pass(stack, rifle)
aux:pass(stack, be)
ccomp(find, stack)
case(corner, in)
det(corner, a)
obl(stack, corner)
punct(find, . )
det(brace, a)
root(ROOT, brace)
case(pistol, of)
nmod(brace, pistol)
punct(brace, ,)
acl(brace, holster)
case(belt, on)
obl(holster, belt)
punct(brace, ,)
acl(brace, hang)
case(peg, from)
det(peg, a)
obl(hang, peg)
punct(hang, ,)
case(pouch, along)
case(pouch, with)
compound(pouch, ammunition)
obl(hang, pouch)
punct(brace, .)
det(case, a)
compound(case, ammunition)
nsubj(stand, case)
root(ROOT, stand)
xcomp(stand, open)
punct(stand, ,)
advcl(stand, contain)
obj(contain, canister)
nsubj(contain, which)
acl:relcl(canister, contain)
compound(cartridge, powder)
obj(contain, cartridge)
punct(stand, .)
nsubj(seize, Mike)
root(ROOT, seize)
det(blanket, a)
obj(seize, blanket)
case(pallet, from)
det(pallet, a)
obl(seize, pallet)
case(corner, in)
det(corner, a)
obl(seize, corner)
punct(spread, ,)
conj(seize, spread)
obj(spread, it)
case(floor, on)
det(floor, the)
obl(spread, floor)
cc(use, and)
conj(seize, use)
obj(use, it)
mark(form, to)
xcomp(use, form)
det(bag, a)
obj(form, bag)
case(which, in)
obl(place, which)
nsubj(place, he)
acl:relcl(bag, place)
nmod:poss(booty, he)
obj(place, booty)
punct(seize, .)
root(ROOT, Shouldering)
det(load, the)
obj(Shouldering, load)
nsubj(peer, he)
acl:relcl(load, peer)
case(door, from)
det(door, the)
obl(peer, door)
punct(Shouldering, .)
nmod:poss(looting, he)
nsubj(take, looting)
case(room, of)
det(room, the)
amod(room, orderly)
nmod(looting, room)
aux(take, have)
root(ROOT, take)
advmod(minute, only)
det(minute, a)
obj(take, minute)
cc(two, or)
conj(minute, two)
cc(clear, and)
det(vicinity, the)
nsubj(clear, vicinity)
cop(clear, be)
advmod(clear, still)
conj(take, clear)
case(guerrilla, of)
obl(clear, guerrilla)
punct(take, .)
nsubj(look, he)
root(ROOT, look)
case(hood, at)
det(hood, the)
amod(hood, loom)
obl(look, hood)
case(wagon, of)
det(wagon, the)
compound(wagon, supply)
nmod(hood, wagon)
punct(wagon, ,)
acl(wagon, strike)
case(inspiration, by)
det(inspiration, a)
amod(inspiration, new)
obl(strike, inspiration)
punct(look, .)
nsubj(set, he)
root(ROOT, set)
nmod:poss(bundle, he)
obj(set, bundle)
compound:prt(set, down)
punct(set, .)
csubj(peg, snatch)
det(lantern, the)
obj(snatch, lantern)
mark(peg, from)
nsubj(peg, it)
cop(peg, be)
root(ROOT, peg)
punct(peg, ,)
nsubj(shattered, he)
parataxis(peg, shattered)
nsubj(globe, it)
cop(globe, be)
ccomp(shattered, globe)
case(blow, with)
det(blow, a)
obl(globe, blow)
case(post, against)
det(post, a)
nmod(blow, post)
punct(peg, .)
nsubj(pick, he)
root(ROOT, pick)
compound:prt(pick, up)
det(canister, the)
compound(canister, powder)
obj(pick, canister)
cc(run, and)
conj(pick, run)
compound:prt(run, out)
punct(pick, .)
amod(cartridge, burst)
compound(cartridge, paper)
obl(scatter, cartridge)
punct(scatter, ,)
nsubj(scatter, he)
root(ROOT, scatter)
obj(scatter, powder)
case(wagon, beneath)
det(wagon, the)
amod(wagon, nearest)
obl(scatter, wagon)
cc(dump, and)
conj(scatter, dump)
det(contents, the)
obj(dump, contents)
case(canister, of)
det(canister, the)
nmod(contents, canister)
case(it, upon)
obl(dump, it)
punct(scatter, .)
nsubj(shouldered, he)
root(ROOT, shouldered)
det(blanket, the)
obj(shouldered, blanket)
advmod(shouldered, again)
punct(back, ,)
conj(shouldered, back)
compound:prt(back, off)
punct(toss, ,)
cc(toss, and)
conj(shouldered, toss)
det(lantern, the)
obj(toss, lantern)
case(wick, with)
nmod:poss(wick, its)
amod(wick, open)
obl(toss, wick)
case(wagon, beneath)
det(wagon, the)
nmod(wick, wagon)
punct(shouldered, .)
nsubj(turn, he)
root(ROOT, turn)
cc(race, and)
conj(turn, race)
case(ground, across)
det(ground, the)
compound(ground, parade)
obl(race, ground)
case(house, toward)
det(house, the)
compound(house, rock)
obl(race, house)
punct(turn, .)
compound(flame, powder)
nsubj(gush, flame)
root(ROOT, gush)
case(wagon, beneath)
det(wagon, the)
obl(gush, wagon)
punct(gush, .)
det(stockade, the)
nsubj:pass(light, stockade)
aux:pass(light, be)
advmod(light, brilliantly)
root(ROOT, light)
cc(sight, and)
det(guerrilla, the)
nsubj(sight, guerrilla)
conj(light, sight)
obj(sight, he)
punct(light, .)
nsubj(realize, they)
root(ROOT, realize)
det(truth, the)
obj(realize, truth)
punct(realize, .)
nsubj(begin, Bullets)
ccomp(realize, begin)
mark(snap, to)
xcomp(begin, snap)
case(he, past)
obl(snap, he)
punct(realize, .)
nsubj(strike, one)
root(ROOT, strike)
det(muzzle, the)
obj(strike, muzzle)
case(one, of)
nmod(muzzle, one)
case(rifle, of)
det(rifle, the)
nmod(one, rifle)
nsubj(project, that)
acl:relcl(rifle, project)
case(pack, from)
det(pack, the)
compound(pack, shoulder)
obl(project, pack)
punct(strike, .)
nsubj(spun, it)
aux(spun, be)
nsubj(spun, force)
root(ROOT, spun)
obj(spun, he)
compound:prt(spun, around)
punct(recover, ,)
cc(recover, but)
nsubj(recover, he)
conj(spun, recover)
cc(get, and)
conj(recover, get)
case(stride, into)
obl(get, stride)
advmod(get, again)
punct(spun, . )
det(bullet, a)
nsubj(tore, bullet)
root(ROOT, tore)
det(earth, the)
obj(tore, earth)
case(foot, from)
case(foot, beneath)
nmod:poss(foot, he)
obl(tore, foot)
mark(stride, when)
nsubj(stride, he)
cop(stride, be)
det(stride, a)
advcl(tore, stride)
cc(two, or)
conj(stride, two)
case(safety, from)
nmod(stride, safety)
punct(tore, .)
nsubj(strike, another)
root(ROOT, strike)
obj(strike, he)
advmod(strike, heavily)
case(thigh, in)
det(thigh, the)
obl(strike, thigh)
cc(down, and)
nsubj(down, he)
nsubj(down, we)
advmod(down, not)
conj(strike, down)
punct(strike, .)
nsubj(racing, guerrilla)
aux(racing, be)
parataxis(strike, racing)
case(he, toward)
obl(racing, he)
punct(strike, .)
nsubj(come, Susan)
cc(Julia, and)
conj(Susan, Julia)
parataxis(strike, come)
case(door, from)
det(door, the)
obl(come, door)
cc(drag, and)
conj(come, drag)
obj(drag, he)
case(they, with)
obl(drag, they)
punct(strike, .)
det(three, the)
nsubj(flounder, three)
case(they, of)
nmod(three, they)
root(ROOT, flounder)
case(door, through)
det(door, the)
obl(flounder, door)
case(interior, into)
det(interior, the)
obl(flounder, interior)
cc(fall, and)
conj(flounder, fall)
case(heap, in)
det(heap, a)
obl(fall, heap)
punct(flounder, .)
nsubj(bounced, Susan)
parataxis(flounder, bounced)
case(foot, to)
nmod:poss(foot, she)
obl(bounced, foot)
cc(slam, and)
conj(bounced, slam)
det(door, the)
obj(slam, door)
punct(flounder, .)
nsubj(crouch, she)
root(ROOT, crouch)
advmod(crouch, aside)
mark(beat, as)
nsubj(beat, bullet)
advcl(crouch, beat)
case(portal, at)
det(portal, the)
obl(beat, portal)
punct(crouch, ,)
advcl(beat, chew)
case(plank, into)
det(plank, the)
obl(chew, plank)
punct(crouch, .)
nsubj(tore, some)
root(ROOT, tore)
advmod(tore, entirely)
case(oak, through)
det(oak, the)
amod(oak, whipsawe)
compound(oak, post)
obl(tore, oak)
punct(tore, .)
det(hinge, the)
compound(hinge, iron)
root(ROOT, hinge)
acl(hinge, hold)
punct(danger, ,)
cc(danger, but)
det(plank, the)
nsubj(danger, plank)
cop(danger, be)
case(danger, in)
conj(hinge, danger)
mark(tear, of)
aux:pass(tear, be)
advcl(danger, tear)
case(crossbar, from)
det(crossbar, the)
obl(tear, crossbar)
punct(hinge, .)
nsubj(roll, Mike)
root(ROOT, roll)
case(Susan, to)
obl(roll, Susan)
punct(roll, ,)
conj(roll, grasp)
obj(grasp, she)
case(knee, around)
det(knee, the)
obl(grasp, knee)
punct(roll, ,)
advcl(grasp, drag)
obj(drag, she)
compound:prt(drag, off)
nmod:poss(foot, she)
obj(drag, foot)
punct(roll, .)
nsubj(hover, he)
root(ROOT, hover)
compound:prt(hover, over)
obj(hover, she)
mark(shield, to)
advcl(hover, shield)
obj(shield, she)
punct(spend, ,)
cc(spend, for)
conj(hover, spend)
nsubj(thudding, bullet)
aux(thudding, be)
ccomp(spend, thudding)
case(wall, against)
det(wall, the)
compound(wall, rear)
obl(thudding, wall)
punct(hover, .)
nsubj(peer, he)
root(ROOT, peer)
case(loophole, from)
det(loophole, a)
obl(peer, loophole)
punct(peer, .)
nsubj(away, guerrilla)
cop(away, be)
advmod(yard, only)
det(yard, a)
compound(yard, dozen)
obl:npmod(away, yard)
parataxis(peer, away)
punct(away, ,)
advcl(away, charge)
det(house, the)
obj(charge, house)
punct(peer, .)
nsubj(snatch, Mike)
root(ROOT, snatch)
det(pistol, a)
obj(snatch, pistol)
case(heap, from)
det(heap, the)
obl(snatch, heap)
case(booty, of)
amod(booty, scatter)
nmod(heap, booty)
cc(fire, and)
conj(snatch, fire)
punct(snatch, .)
nsubj(drop, he)
root(ROOT, drop)
det(man, a)
obj(drop, man)
case(bullet, with)
det(bullet, the)
amod(bullet, first)
obl(drop, bullet)
punct(drop, .)
case(moment, at)
det(moment, the)
amod(moment, same)
obl(fire, moment)
nsubj(fire, wheeler)
flat(wheeler, Fiske)
root(ROOT, fire)
det(rifle, the)
obj(fire, rifle)
nsubj(give, Mike)
aux(give, have)
acl:relcl(rifle, give)
obj(give, he)
cc(hit, and)
det(guerrilla, another)
nsubj:pass(hit, guerrilla)
aux:pass(hit, be)
conj(give, hit)
punct(fire, .)
nsubj(halt, that)
root(ROOT, halt)
det(rush, the)
obj(halt, rush)
punct(halt, .)
det(guerrilla, the)
nsubj(scatter, guerrilla)
root(ROOT, scatter)
case(cover, for)
obl(scatter, cover)
punct(scatter, .)
det(wagon, the)
nsubj(burn, wagon)
aux(burn, be)
root(ROOT, burn)
advmod(burn, fiercely)
punct(burn, .)
det(mudwagon, the)
nsubj(catch, mudwagon)
aux(catch, have)
root(ROOT, catch)
obj(catch, fire)
advmod(catch, also)
punct(catch, .)
det(blaze, the)
nsubj(spread, blaze)
aux(spread, be)
root(ROOT, spread)
case(building, to)
det(building, the)
compound(building, frame)
obl(spread, building)
punct(spread, .)
det(guerrilla, the)
nsubj(realize, guerrilla)
root(ROOT, realize)
nsubj(face, they)
ccomp(realize, face)
det(problem, a)
amod(problem, new)
obj(face, problem)
punct(realize, .)
punct(realize, ``)
root(ROOT, Gawdamighty)
punct(Gawdamighty, '')
punct(Gawdamighty, !)
punct(Gawdamighty, !)
nsubj(screech, one)
root(ROOT, screech)
punct(screech, .)
punct(screech, ``)
expl(go, there)
root(ROOT, go)
nmod:poss(grub, we)
obj(go, grub)
det(ammunition, a)
punct(ammunition, ')
obj(go, ammunition)
punct(ammunition, '')
punct(go, !)
punct(go, !)
punct(go, ``)
root(ROOT, get)
det(line, a)
compound(line, bucket)
obj(get, line)
xcomp(get, go)
punct(get, '')
punct(get, !)
punct(get, !)
nsubj(shout, Calhoun)
root(ROOT, shout)
punct(shout, .)
punct(shout, ``)
root(ROOT, Hurry)
punct(Hurry, !)
punct(Hurry, !)
parataxis(Hurry, Hurry)
punct(Hurry, '')
punct(Hurry, !)
punct(Hurry, !)
det(guerrilla, the)
nsubj(begin, guerrilla)
root(ROOT, begin)
det(search, a)
amod(search, frantic)
obj(begin, search)
case(pail, for)
nmod(search, pail)
case(which, in)
obl(bring, which)
mark(bring, to)
acl(search, bring)
obj(bring, water)
case(spring, from)
det(spring, the)
obl(bring, spring)
punct(begin, .)
cc(inadequate, but)
det(container, what)
amod(container, few)
nsubj(inadequate, container)
nsubj(find, they)
acl:relcl(container, find)
cop(inadequate, be)
root(ROOT, inadequate)
punct(inadequate, .)
nsubj(come, many)
case(they, of)
nmod(many, they)
punct(come, ,)
mark(increase, in)
acl(many, increase)
obj(increase, panic)
punct(come, ,)
root(ROOT, come)
xcomp(come, run)
case(water, with)
obl(run, water)
case(hat, in)
nmod:poss(hat, they)
obl(run, hat)
case(effort, in)
det(effort, a)
amod(effort, ludicrous)
obl(run, effort)
punct(come, .)
det(building, both)
nsubj(flame, building)
cop(flame, be)
case(flame, in)
root(ROOT, flame)
punct(flame, .)
det(heat, the)
nsubj(drive, heat)
root(ROOT, drive)
det(guerrilla, the)
obj(drive, guerrilla)
advmod(drive, back)
punct(drive, .)
det(roof, the)
nsubj(begin, roof)
case(post, of)
det(post, the)
compound(post, command)
nmod(roof, post)
root(ROOT, begin)
mark(buckle, to)
xcomp(begin, buckle)
punct(begin, .)
punct(begin, ``)
root(ROOT, Drag)
det(wagon, the)
obj(Drag, wagon)
case(spring, to)
det(spring, the)
obl(Drag, spring)
punct(Drag, '')
punct(Drag, !)
punct(Drag, !)
nsubj(yell, Lew)
flat(Lew, Durkin)
root(ROOT, yell)
punct(yell, .)
punct(yell, ``)
root(ROOT, run)
obj(run, 'em)
advmod(spring, right)
case(spring, into)
det(spring, the)
obl(run, spring)
punct(run, !)
punct(hustle, !)
parataxis(run, hustle)
punct(hustle, '')
punct(run, !)
punct(run, !)
nsubj(erupt, one)
case(wagon, of)
det(wagon, the)
nmod(one, wagon)
root(ROOT, erupt)
det(pillar, a)
amod(pillar, massive)
obj(erupt, pillar)
case(flame, of)
nmod(pillar, flame)
punct(erupt, . )
det(supply, a)
amod(supply, sizable)
nsubj:pass(touch, supply)
case(powder, of)
nmod(supply, powder)
aux(touch, have)
aux:pass(touch, be)
root(ROOT, touch)
compound:prt(touch, off)
punct(touch, .)
det(wagon, the)
nsubj(be, wagon)
cc(coach, and)
det(coach, the)
conj(wagon, coach)
root(ROOT, be)
mark(save, beyond)
advcl(be, save)
cc(so, and)
conj(save, so)
cop(so, be)
det(building, the)
nsubj(so, building)
punct(be, .)
det(glow, the)
root(ROOT, glow)
case(fire, of)
det(fire, the)
nmod(glow, fire)
acl(fire, reach)
case(opening, through)
det(opening, the)
obl(reach, opening)
case(window, in)
det(window, the)
nmod(opening, window)
punct(reach, ,)
conj(reach, give)
obj(give, light)
advmod(give, enough)
mark(examine, to)
advcl(give, examine)
nmod:poss(wound, Mike)
case(Mike, 's)
obj(examine, wound)
punct(glow, .)
det(bullet, the)
nsubj(tear, bullet)
aux(tear, have)
root(ROOT, tear)
case(flesh, through)
det(flesh, the)
obl(tear, flesh)
advmod(knee, just)
case(knee, above)
det(knee, the)
obl(tear, knee)
punct(tear, ,)
advcl(tear, inflict)
det(gash, a)
amod(gash, ugly)
obj(inflict, gash)
nsubj(form, that)
aux(form, be)
acl:relcl(gash, form)
det(pool, a)
obj(form, pool)
case(blood, of)
nmod(pool, blood)
case(floor, on)
det(floor, the)
obl(form, floor)
punct(tear, .)
cc(miss, but)
nsubj(miss, it)
aux(miss, have)
root(ROOT, miss)
det(bone, the)
obj(miss, bone)
cc(pass, and)
aux(pass, have)
conj(miss, pass)
compound:prt(pass, on)
advmod(pass, through)
punct(miss, .)
nsubj(rip, Susan)
cc(Julia, and)
conj(Susan, Julia)
conj(miss, rip)
obj(rip, strip)
case(clothing, from)
nmod:poss(clothing, they)
obl(rip, clothing)
cc(bound, and)
conj(rip, bound)
det(injury, the)
obj(bound, injury)
punct(miss, .)
nsubj(test, Mike)
root(ROOT, test)
det(leg, the)
obj(test, leg)
cc(find, and)
conj(test, find)
mark(able, that)
nsubj(able, he)
cop(able, be)
ccomp(find, able)
mark(hobble, to)
xcomp(able, hobble)
advmod(hobble, around)
case(it, on)
obl(hobble, it)
punct(test, .)
punct(test, ``)
advmod(earthquake, so)
nsubj(earthquake, it)
cop(earthquake, be)
advmod(earthquake, not)
det(earthquake, the)
root(ROOT, earthquake)
nsubj(make, that)
acl:relcl(earthquake, make)
obj(make, he)
xcomp(make, return)
case(village, to)
nmod:poss(village, he)
obl(return, village)
punct(earthquake, '')
punct(earthquake, !)
punct(earthquake, !)
punct(earthquake, ``)
discourse(want, no)
punct(no, .)
advmod(want, now)
discourse(want, dammit)
punct(want, ,)
nsubj(want, I)
aux(want, do)
advmod(want, not)
root(ROOT, want)
mark(go, to)
xcomp(want, go)
case(explanation, into)
det(explanation, any)
amod(explanation, more)
obl(go, explanation)
punct(want, .)
advmod(come, here)
root(ROOT, come)
obj(come, Jason)
punct(here, .)
root(ROOT, keep)
obj(keep, this)
case(yourself, to)
obl(keep, yourself)
punct(keep, '')
punct(keep, .)
parataxis(keep, reverend)
flat(reverend, Jason)
punct(reverend, ,)
conj(keep, look)
xcomp(look, worried)
punct(hurry, ,)
conj(look, hurry)
case(we, toward)
obl(hurry, we)
punct(keep, .)
punct(keep, ``)
root(ROOT, anything)
amod(anything, wrong)
punct(anything, ,)
vocative(anything, cap'n)
punct(anything, ?)
punct(anything, ?)
det(man, the)
nsubj(seem, man)
root(ROOT, seem)
mark(think, to)
xcomp(seem, think)
advmod(think, so)
punct(seem, '')
punct(seem, .)
punct(seem, ``)
nsubj(find, Dirion)
ccomp(say, find)
det(party, a)
amod(party, large)
compound(party, war)
obj(find, party)
advmod(find, south)
case(we, of)
obl(south, we)
punct(find, .)
nsubj(attack, they)
aux(attack, will)
advmod(attack, probably)
parataxis(find, attack)
case(dawn, at)
obl(attack, dawn)
punct(attack, '')
punct(say, ,)
nsubj(say, Montero)
root(ROOT, say)
punct(say, .)
nsubj(brush, he)
root(ROOT, brush)
case(clergyman, past)
det(clergyman, the)
obl(brush, clergyman)
cc(walk, and)
conj(brush, walk)
case(center, into)
det(center, the)
obl(walk, center)
case(camp, of)
det(camp, the)
nmod(center, camp)
punct(brush, .)
advcl(shout, use)
nmod:poss(hand, he)
obj(use, hand)
case(trumpet, as)
det(trumpet, a)
obl(use, trumpet)
nsubj(shout, he)
root(ROOT, shout)
punct(shout, ,)
punct(shout, ``)
compound(up, Fort)
root(ROOT, up)
punct(up, !)
punct(up, !)
compound(up, Fort)
root(ROOT, up)
punct(up, !)
punct(up, !)
expl(be, there)
root(ROOT, be)
det(party, a)
amod(party, large)
compound(party, war)
nsubj(be, party)
case(way, on)
nmod:poss(way, they)
nmod(party, way)
punct(be, '')
punct(be, !)
punct(be, !)
case(second, for)
det(second, a)
obl(engage, second)
punct(engage, ,)
advcl(appear, engage)
punct(cook, ,)
conj(engage, cook)
punct(voyageur, ,)
conj(cook, voyageur)
root(ROOT, appear)
xcomp(appear, strike)
xcomp(strike, dumb)
punct(appear, .)
advmod(begin, then)
compound(Billy, Little)
nsubj(begin, Billy)
parataxis(appear, begin)
xcomp(begin, shout)
obj(shout, order)
mark(round, to)
advcl(shout, round)
compound:prt(round, up)
det(pony, the)
obj(round, pony)
cc(fill, and)
conj(round, fill)
det(bucket, the)
compound(bucket, water)
obj(fill, bucket)
cc(cook, and)
mark(hurry, for)
det(cook, the)
nsubj(hurry, cook)
mark(hurry, to)
advcl(fill, hurry)
compound:prt(hurry, up)
case(meal, with)
det(meal, the)
obl(hurry, meal)
punct(appear, .)
nsubj(fly, they)
det(they, all)
root(ROOT, fly)
case(action, into)
obl(fly, action)
punct(fly, .)
punct(fly, ``)
nsubj(thing, that)
cop(thing, be)
det(thing, a)
amod(thing, terrible)
root(ROOT, thing)
mark(do, to)
acl(thing, do)
punct(thing, '')
punct(thing, ,)
nsubj(say, I)
parataxis(thing, say)
case(Oso, to)
obl(say, Oso)
punct(say, .)
det(Aricaras, the)
nsubj(treat, Aricaras)
parataxis(thing, treat)
obj(treat, we)
case(friend, like)
obl(treat, friend)
punct(thing, .)
cc(give, and)
advmod(give, here)
det:predet(time, all)
det(time, the)
obl:tmod(here, time)
nsubj(know, you)
acl:relcl(time, know)
det(Sioux, the)
nsubj(use, Sioux)
aux(use, would)
aux(use, be)
parataxis(here, use)
nmod:poss(rifle, we)
obj(use, rifle)
case(they, on)
obl(use, they)
punct(use, !)
punct(use, !)
nsubj(give, God)
punct(God, ,)
conj(God, what)
det(world, a)
nsubj(what, world)
nsubj(live, you)
nsubj(live, people)
acl:relcl(world, live)
advmod(live, in)
punct(God, '')
punct(give, .)
nsubj(give, Oso)
root(ROOT, give)
iobj(give, I)
det(look, a)
amod(look, unruffled)
obj(give, look)
punct(give, .)
punct(give, ``)
amod(Knife, old)
nsubj(get, Knife)
case(Knife, 's)
root(ROOT, get)
det(party, the)
amod(party, largest)
compound(party, war)
obj(get, party)
advmod(see, ever)
acl(party, see)
case(river, on)
det(river, the)
obl(see, river)
punct(see, '')
punct(say, ,)
nsubj(say, he)
parataxis(get, say)
advmod(say, calmly)
punct(say, .)
punct(say, ``)
obj(do, what)
aux(do, would)
nsubj(do, you)
aux(do, have)
root(ROOT, do)
case(moccasin, in)
nmod:poss(moccasin, Montero)
case(Montero, 's)
